step,vx_50_50,vy_50_50
0,4.9994447827e-01,-4.9994447827e-01
1,5.0043177605e-01,-5.0036209822e-01
2,5.0037992001e-01,-5.0017720461e-01
3,5.0044429302e-01,-5.0000756979e-01
4,5.0054287910e-01,-5.0017333031e-01
5,5.0066906214e-01,-5.0018483400e-01
6,5.0077092648e-01,-5.0023716688e-01
7,5.0090038776e-01,-5.0036555529e-01
8,5.0096666813e-01,-5.0045341253e-01
9,5.0097471476e-01,-5.0057232380e-01
10,5.0097370148e-01,-5.0062006712e-01
11,5.0102853775e-01,-5.0062537193e-01
12,5.0096827745e-01,-5.0070285797e-01
13,5.0098544359e-01,-5.0073266029e-01
14,5.0095695257e-01,-5.0073683262e-01
15,5.0087523460e-01,-5.0073432922e-01
16,5.0080490112e-01,-5.0082701445e-01
17,5.0080925226e-01,-5.0081026554e-01
18,5.0063729286e-01,-5.0083273649e-01
19,5.0058603287e-01,-5.0085151196e-01
20,5.0057494640e-01,-5.0081008673e-01
21,5.0057965517e-01,-5.0084257126e-01
22,5.0057721138e-01,-5.0076586008e-01
23,5.0058835745e-01,-5.0075435638e-01
24,5.0057899952e-01,-5.0071924925e-01
25,5.0070053339e-01,-5.0069975853e-01
26,5.0050878525e-01,-5.0068956614e-01
27,5.0064915419e-01,-5.0063896179e-01
28,5.0064545870e-01,-5.0063937902e-01
29,5.0059849024e-01,-5.0060606003e-01
30,5.0067144632e-01,-5.0058603287e-01
31,5.0071126223e-01,-5.0053650141e-01
32,5.0077241659e-01,-5.0052690506e-01
33,5.0069814920e-01,-5.0046050549e-01
34,5.0072479248e-01,-5.0045543909e-01
35,5.0077068806e-01,-5.0046658516e-01
36,5.0080245733e-01,-5.0045412779e-01
37,5.0084340572e-01,-5.0049847364e-01
38,5.0085443258e-01,-5.0043994188e-01
39,5.0093024969e-01,-5.0052332878e-01
40,5.0089591742e-01,-5.0050216913e-01
41,5.0088351965e-01,-5.0051462650e-01
42,5.0092488527e-01,-5.0048577785e-01
43,5.0089293718e-01,-5.0052875280e-01
44,5.0091785192e-01,-5.0053316355e-01
45,5.0090271235e-01,-5.0054246187e-01
46,5.0086820126e-01,-5.0054693222e-01
47,5.0086760521e-01,-5.0057137012e-01
48,5.0081008673e-01,-5.0054395199e-01
49,5.0083684921e-01,-5.0056302547e-01
50,5.0082302094e-01,-5.0060170889e-01
51,5.0083625317e-01,-5.0057584047e-01
52,5.0082081556e-01,-5.0060188770e-01
53,5.0080490112e-01,-5.0061082840e-01
54,5.0079154968e-01,-5.0063365698e-01
55,5.0079113245e-01,-5.0064373016e-01
56,5.0080716610e-01,-5.0064206123e-01
57,5.0081074238e-01,-5.0064533949e-01
58,5.0078010559e-01,-5.0066995621e-01
59,5.0074690580e-01,-5.0064313412e-01
60,5.0073492527e-01,-5.0065571070e-01
61,5.0071501732e-01,-5.0064593554e-01
62,5.0072932243e-01,-5.0063985586e-01
63,5.0074481964e-01,-5.0065249205e-01
64,5.0074827671e-01,-5.0063997507e-01
65,5.0075209141e-01,-5.0064283609e-01
66,5.0078964233e-01,-5.0059217215e-01
67,5.0072050095e-01,-5.0059050322e-01
68,5.0075548887e-01,-5.0059825182e-01
69,5.0073826313e-01,-5.0056582689e-01
70,5.0083869696e-01,-5.0050884485e-01
71,5.0078111887e-01,-5.0054907799e-01
72,5.0075644255e-01,-5.0052303076e-01
73,5.0073528290e-01,-5.0048118830e-01
74,5.0076329708e-01,-5.0047349930e-01
75,5.0075763464e-01,-5.0043612719e-01
76,5.0076365471e-01,-5.0043153763e-01
77,5.0071001053e-01,-5.0041621923e-01
78,5.0074166059e-01,-5.0043928623e-01
79,5.0073117018e-01,-5.0042504072e-01
80,5.0077539682e-01,-5.0045132637e-01
81,5.0068593025e-01,-5.0048404932e-01
82,5.0064837933e-01,-5.0050157309e-01
83,5.0058853626e-01,-5.0055229664e-01
84,5.0054991245e-01,-5.0056594610e-01
85,5.0054538250e-01,-5.0053894520e-01
86,5.0051611662e-01,-5.0054675341e-01
87,5.0045436621e-01,-5.0046092272e-01
88,5.0048804283e-01,-5.0048255920e-01
89,5.0045460463e-01,-5.0045573711e-01
90,5.0037062168e-01,-5.0038844347e-01
91,5.0023144484e-01,-5.0038027763e-01
92,5.0022888184e-01,-5.0040668249e-01
93,5.0016719103e-01,-5.0039756298e-01
94,5.0019222498e-01,-5.0038468838e-01
95,5.0027656555e-01,-5.0039792061e-01
96,5.0027287006e-01,-5.0041186810e-01
97,5.0041097403e-01,-5.0034964085e-01
98,5.0044792891e-01,-5.0042504072e-01
99,5.0047594309e-01,-5.0037395954e-01
100,5.0052660704e-01,-5.0037389994e-01
101,5.0055253506e-01,-5.0036519766e-01
102,5.0057280064e-01,-5.0036501884e-01
103,5.0059783459e-01,-5.0033038855e-01
104,5.0063174963e-01,-5.0033414364e-01
105,5.0061666965e-01,-5.0039529800e-01
106,5.0063377619e-01,-5.0036662817e-01
107,5.0062394142e-01,-5.0036233664e-01
108,5.0063592196e-01,-5.0039947033e-01
109,5.0062143803e-01,-5.0040978193e-01
110,5.0061106682e-01,-5.0041079521e-01
111,5.0058990717e-01,-5.0042867661e-01
112,5.0053745508e-01,-5.0048083067e-01
113,5.0056648254e-01,-5.0043326616e-01
114,5.0053399801e-01,-5.0047153234e-01
115,5.0049060583e-01,-5.0048714876e-01
116,4.9999290705e-01,-5.0018388033e-01
117,5.0010776520e-01,-5.0017005205e-01
118,5.0017619133e-01,-5.0012505054e-01
119,5.0026506186e-01,-5.0009751320e-01
120,5.0029116869e-01,-5.0012874603e-01
121,5.0039052963e-01,-5.0013583899e-01
122,5.0048589706e-01,-5.0007921457e-01
123,5.0053101778e-01,-5.0005370378e-01
124,5.0054788589e-01,-5.0011253357e-01
125,5.0061345100e-01,-5.0004553795e-01
126,5.0061559677e-01,-5.0014579296e-01
127,5.0067907572e-01,-5.0015646219e-01
128,5.0064724684e-01,-5.0020533800e-01
129,5.0066387653e-01,-5.0020861626e-01
130,5.0068998337e-01,-5.0026524067e-01
131,5.0060379505e-01,-5.0034737587e-01
132,5.0062608719e-01,-5.0036132336e-01
133,5.0062304735e-01,-5.0040841103e-01
134,5.0060820580e-01,-5.0044083595e-01
135,5.0059729815e-01,-5.0045543909e-01
136,5.0060862303e-01,-5.0051307678e-01
