step,vx_37_37,vy_37_37,pressure_37_37,energy
0,4.9999997020e-01,-4.9999997020e-01,0.0000000000e+00,5.4749277344e+03
1,5.0142723322e-01,-5.0122475624e-01,9.0962511301e-01,5.5683061523e+03
2,5.0106638670e-01,-5.0133979321e-01,1.1282472610e+01,5.5680151367e+03
3,5.0133270025e-01,-5.0103652477e-01,9.9942865372e+00,5.5677163086e+03
4,5.0123256445e-01,-5.0125110149e-01,9.9989881516e+00,5.5674106445e+03
5,5.0105202198e-01,-5.0140333176e-01,9.6216974258e+00,5.5671240234e+03
6,5.0095170736e-01,-5.0137960911e-01,9.9920578003e+00,5.5668090820e+03
7,5.0085562468e-01,-5.0145852566e-01,9.4744272232e+00,5.5664990234e+03
8,5.0081712008e-01,-5.0113528967e-01,9.9204826355e+00,5.5662099609e+03
9,5.0103670359e-01,-5.0109547377e-01,1.0147441864e+01,5.5659023438e+03
10,5.0117111206e-01,-5.0113397837e-01,9.9585018158e+00,5.5656054688e+03
11,5.0124055147e-01,-5.0113731623e-01,9.8673677444e+00,5.5653041992e+03
12,5.0127923489e-01,-5.0121873617e-01,1.0367848396e+01,5.5650048828e+03
13,5.0126826763e-01,-5.0127971172e-01,1.0334288597e+01,5.5647099609e+03
14,5.0123786926e-01,-5.0129348040e-01,1.0482383728e+01,5.5644116211e+03
15,5.0117826462e-01,-5.0134223700e-01,1.0265470505e+01,5.5641152344e+03
16,5.0113296509e-01,-5.0130146742e-01,1.0360756874e+01,5.5638237305e+03
17,5.0105911493e-01,-5.0123566389e-01,1.0337370872e+01,5.5635361328e+03
18,5.0111103058e-01,-5.0116235018e-01,1.0209810257e+01,5.5632441406e+03
19,5.0111532211e-01,-5.0112134218e-01,9.9621162415e+00,5.5629516602e+03
20,5.0117158890e-01,-5.0110071898e-01,9.8899269104e+00,5.5626582031e+03
21,5.0118929148e-01,-5.0104129314e-01,9.9803485870e+00,5.5623720703e+03
22,5.0118631124e-01,-5.0099116564e-01,1.0058351517e+01,5.5620830078e+03
23,5.0119173527e-01,-5.0094372034e-01,9.9217948914e+00,5.5617988281e+03
24,5.0116527081e-01,-5.0085276365e-01,1.0073737144e+01,5.5615112305e+03
25,5.0115734339e-01,-5.0083434582e-01,1.0013480186e+01,5.5612275391e+03
26,5.0110167265e-01,-5.0079703331e-01,1.0133602142e+01,5.5609428711e+03
27,5.0104802847e-01,-5.0075995922e-01,1.0101256371e+01,5.5606694336e+03
28,5.0104469061e-01,-5.0075238943e-01,1.0180088043e+01,5.5603969727e+03
29,5.0094240904e-01,-5.0083088875e-01,1.0084707260e+01,5.5601181641e+03
30,5.0090366602e-01,-5.0079309940e-01,1.0108335495e+01,5.5598374023e+03
31,5.0085657835e-01,-5.0086671114e-01,9.9836015701e+00,5.5595654297e+03
32,5.0075101852e-01,-5.0093990564e-01,9.9366664886e+00,5.5592915039e+03
33,5.0071251392e-01,-5.0099050999e-01,9.9766864777e+00,5.5590146484e+03
34,5.0069481134e-01,-5.0093644857e-01,9.9877901077e+00,5.5587412109e+03
35,5.0064420700e-01,-5.0101244450e-01,9.9164552689e+00,5.5584624023e+03
36,5.0069689751e-01,-5.0098413229e-01,1.0052503586e+01,5.5581977539e+03
37,5.0070232153e-01,-5.0090581179e-01,9.9201850891e+00,5.5579321289e+03
38,5.0079137087e-01,-5.0086927414e-01,1.0016684532e+01,5.5576640625e+03
39,5.0079524517e-01,-5.0091642141e-01,9.7303600311e+00,5.5573955078e+03
40,5.0086069107e-01,-5.0089633465e-01,1.0081078529e+01,5.5571274414e+03
41,5.0076395273e-01,-5.0086069107e-01,9.7941846848e+00,5.5568701172e+03
42,5.0088131428e-01,-5.0078779459e-01,1.0170495033e+01,5.5566044922e+03
43,5.0084090233e-01,-5.0072431564e-01,1.0052805901e+01,5.5563427734e+03
44,5.0082296133e-01,-5.0066411495e-01,1.0101985931e+01,5.5560844727e+03
45,5.0078237057e-01,-5.0062102079e-01,9.8928203583e+00,5.5558256836e+03
46,5.0086802244e-01,-5.0064951181e-01,1.0048851967e+01,5.5555703125e+03
47,5.0084102154e-01,-5.0061160326e-01,9.9267930984e+00,5.5553076172e+03
48,5.0078982115e-01,-5.0064796209e-01,1.0005921364e+01,5.5550527344e+03
49,5.0072252750e-01,-5.0062680244e-01,9.8019800186e+00,5.5547998047e+03
50,5.0066220760e-01,-5.0064361095e-01,9.8216314316e+00,5.5545483398e+03
51,5.0061649084e-01,-5.0060820580e-01,1.0120091438e+01,5.5542954102e+03
52,5.0053894520e-01,-5.0062346458e-01,9.7299823761e+00,5.5540478516e+03
53,5.0051730871e-01,-5.0058895350e-01,9.8731956482e+00,5.5537968750e+03
54,5.0050824881e-01,-5.0060361624e-01,9.8413047791e+00,5.5535434570e+03
55,5.0052410364e-01,-5.0052988529e-01,1.0106703758e+01,5.5532954102e+03
56,5.0048893690e-01,-5.0056487322e-01,9.6868562698e+00,5.5530541992e+03
57,5.0049382448e-01,-5.0062388182e-01,9.8446826935e+00,5.5528090820e+03
58,5.0051236153e-01,-5.0045335293e-01,9.9567871094e+00,5.5525644531e+03
59,5.0050824881e-01,-5.0046914816e-01,9.9718494415e+00,5.5523232422e+03
60,5.0047761202e-01,-5.0047659874e-01,9.7866525650e+00,5.5520791016e+03
61,5.0040829182e-01,-5.0044590235e-01,9.7862052917e+00,5.5518398438e+03
62,5.0039857626e-01,-5.0047504902e-01,9.9387645721e+00,5.5515986328e+03
63,5.0033164024e-01,-5.0056701899e-01,9.6793184280e+00,5.5513554688e+03
64,5.0032252073e-01,-5.0056928396e-01,9.7255754471e+00,5.5511166992e+03
65,5.0032937527e-01,-5.0053465366e-01,9.7382898331e+00,5.5508813477e+03
66,5.0025045872e-01,-5.0051033497e-01,9.7136306763e+00,5.5506503906e+03
67,5.0029093027e-01,-5.0059211254e-01,9.6912479401e+00,5.5504106445e+03
68,5.0025182962e-01,-5.0064539909e-01,9.7678222656e+00,5.5501772461e+03
69,5.0022417307e-01,-5.0067913532e-01,9.6762361526e+00,5.5499418945e+03
70,5.0020956993e-01,-5.0069993734e-01,9.7944765091e+00,5.5497104492e+03
71,5.0021445751e-01,-5.0066500902e-01,9.7974500656e+00,5.5494809570e+03
72,5.0017774105e-01,-5.0068747997e-01,9.5761756897e+00,5.5492509766e+03
73,5.0009799004e-01,-5.0073230267e-01,9.6655321121e+00,5.5490175781e+03
74,5.0016409159e-01,-5.0069075823e-01,9.8699693680e+00,5.5487885742e+03
75,5.0006341934e-01,-5.0068241358e-01,9.6884803772e+00,5.5485605469e+03
76,5.0004494190e-01,-5.0067538023e-01,9.6484603882e+00,5.5483334961e+03
77,5.0014686584e-01,-5.0067847967e-01,9.6749124527e+00,5.5481049805e+03
78,5.0003874302e-01,-5.0068479776e-01,9.5053853989e+00,5.5478813477e+03
79,5.0007569790e-01,-5.0065976381e-01,9.6579494476e+00,5.5476572266e+03
80,5.0005978346e-01,-5.0060087442e-01,9.6415548325e+00,5.5474345703e+03
81,5.0002312660e-01,-5.0057977438e-01,9.4977254868e+00,5.5472104492e+03
82,5.0012022257e-01,-5.0056147575e-01,9.7063550949e+00,5.5469853516e+03
83,5.0015437603e-01,-5.0051254034e-01,9.5403223038e+00,5.5467617188e+03
