step,vx_25_25,vy_25_25,pressure_25_25,energy
0,4.9975326657e-01,-4.9975326657e-01,0.0000000000e+00,2.3998942871e+03
1,5.0338917971e-01,-5.0320082903e-01,1.9226633012e-01,2.4614775391e+03
2,5.0127828121e-01,-5.0098311901e-01,-1.0213943720e+00,2.4595942383e+03
3,5.0207942724e-01,-5.0017660856e-01,-3.4475263953e-01,2.4576557617e+03
4,5.0098603964e-01,-5.0105780363e-01,-5.8058291674e-01,2.4556530762e+03
5,5.0030475855e-01,-5.0021404028e-01,-1.1295477152e+00,2.4537062988e+03
6,5.0065416098e-01,-4.9990963936e-01,-7.7512109280e-01,2.4518049316e+03
7,5.0037467480e-01,-5.0027680397e-01,-1.5262557268e+00,2.4498735352e+03
8,5.0001609325e-01,-5.0042665005e-01,-7.9323709011e-01,2.4480009766e+03
9,4.9948784709e-01,-5.0044775009e-01,-1.5098910332e+00,2.4461162109e+03
10,4.9919742346e-01,-5.0007277727e-01,-1.2945504189e+00,2.4442563477e+03
11,4.9915343523e-01,-4.9954199791e-01,-5.1591539383e-01,2.4424116211e+03
12,4.9846354127e-01,-4.9972304702e-01,-9.2698091269e-01,2.4405729980e+03
13,4.9847397208e-01,-4.9917247891e-01,-9.9157047272e-01,2.4387397461e+03
14,4.9867475033e-01,-4.9872604012e-01,-1.1571222544e+00,2.4369140625e+03
15,4.9876165390e-01,-4.9821349978e-01,-8.2832419872e-01,2.4350954590e+03
16,4.9842798710e-01,-4.9787425995e-01,-1.4408318996e+00,2.4332958984e+03
17,4.9793162942e-01,-4.9802055955e-01,-1.5676118135e+00,2.4314931641e+03
18,4.9764040112e-01,-4.9869227409e-01,-1.7534563541e+00,2.4297265625e+03
19,4.9682298303e-01,-4.9899601936e-01,-1.5971676111e+00,2.4279663086e+03
20,4.9646162987e-01,-4.9891752005e-01,-2.2441208363e+00,2.4262302246e+03
21,4.9638715386e-01,-4.9858349562e-01,-1.9869990349e+00,2.4244692383e+03
22,4.9632513523e-01,-4.9803882837e-01,-2.2100687027e+00,2.4227319336e+03
23,4.9677571654e-01,-4.9729034305e-01,-1.9926346540e+00,2.4210173340e+03
24,4.9691733718e-01,-4.9697446823e-01,-2.2531414032e+00,2.4193154297e+03
25,4.9659642577e-01,-4.9692550302e-01,-2.1838717461e+00,2.4176052246e+03
26,4.9625355005e-01,-4.9677380919e-01,-2.6026785374e+00,2.4159057617e+03
27,4.9591499567e-01,-4.9720865488e-01,-2.4462249279e+00,2.4142097168e+03
28,4.9559986591e-01,-4.9708333611e-01,-2.5861189365e+00,2.4125214844e+03
29,4.9501720071e-01,-4.9746522307e-01,-2.4416992664e+00,2.4108371582e+03
30,4.9548131227e-01,-4.9711018801e-01,-2.7960069180e+00,2.4091806641e+03
31,4.9519103765e-01,-4.9719566107e-01,-2.6840436459e+00,2.4075234375e+03
32,4.9473232031e-01,-4.9716636539e-01,-2.8867046833e+00,2.4058481445e+03
33,4.9451971054e-01,-4.9693611264e-01,-3.2003269196e+00,2.4041904297e+03
34,4.9459075928e-01,-4.9623593688e-01,-3.3758492470e+00,2.4025402832e+03
35,4.9463894963e-01,-4.9635443091e-01,-3.4564063549e+00,2.4008779297e+03
36,4.9414822459e-01,-4.9641573429e-01,-3.5094978809e+00,2.3992373047e+03
37,4.9374124408e-01,-4.9631243944e-01,-3.7434790134e+00,2.3975859375e+03
38,4.9384129047e-01,-4.9586486816e-01,-3.5871322155e+00,2.3959406738e+03
39,4.9364453554e-01,-4.9622470140e-01,-4.1286520958e+00,2.3942922363e+03
40,4.9311998487e-01,-4.9600771070e-01,-3.7607460022e+00,2.3926477051e+03
41,4.9296095967e-01,-4.9564498663e-01,-4.2966918945e+00,2.3909919434e+03
42,4.9345913529e-01,-4.9509695172e-01,-3.9244337082e+00,2.3893435059e+03
43,4.9364915490e-01,-4.9511414766e-01,-4.1112132072e+00,2.3876853027e+03
44,4.9356648326e-01,-4.9532955885e-01,-3.9166936874e+00,2.3860197754e+03
45,4.9223127961e-01,-4.9579095840e-01,-4.3276085854e+00,2.3843476562e+03
46,4.9244099855e-01,-4.9482297897e-01,-3.8207790852e+00,2.3826862793e+03
47,4.9262735248e-01,-4.9440741539e-01,-4.6630539894e+00,2.3810219727e+03
48,4.9330970645e-01,-4.9434784055e-01,-4.2250213623e+00,2.3793479004e+03
49,4.9318063259e-01,-4.9442154169e-01,-4.2213964462e+00,2.3776809082e+03
50,4.9340012670e-01,-4.9428454041e-01,-5.2682557106e+00,2.3760039062e+03
51,4.9326151609e-01,-4.9415361881e-01,-4.8962364197e+00,2.3743239746e+03
52,4.9308797717e-01,-4.9393543601e-01,-5.0945916176e+00,2.3726440430e+03
53,4.9274155498e-01,-4.9398916960e-01,-5.0010685921e+00,2.3709616699e+03
54,4.9253737926e-01,-4.9397066236e-01,-5.6419382095e+00,2.3692709961e+03
55,4.9291574955e-01,-4.9347546697e-01,-5.1658344269e+00,2.3675705566e+03
56,4.9315235019e-01,-4.9332571030e-01,-5.9283561707e+00,2.3658820801e+03
57,4.9304151535e-01,-4.9319618940e-01,-5.3294386864e+00,2.3641835938e+03
58,4.9313157797e-01,-4.9275171757e-01,-6.2973265648e+00,2.3624753418e+03
59,4.9316063523e-01,-4.9257525802e-01,-5.6524257660e+00,2.3607639160e+03
60,4.9320662022e-01,-4.9235624075e-01,-5.8457880020e+00,2.3590532227e+03
61,4.9322161078e-01,-4.9214318395e-01,-5.8086585999e+00,2.3573332520e+03
62,4.9321535230e-01,-4.9176496267e-01,-5.9242324829e+00,2.3556025391e+03
63,4.9298515916e-01,-4.9149557948e-01,-5.9553022385e+00,2.3538696289e+03
64,4.9276506901e-01,-4.9129316211e-01,-6.2421712875e+00,2.3521367188e+03
65,4.9283441901e-01,-4.9112442136e-01,-5.9593310356e+00,2.3503942871e+03
66,4.9319422245e-01,-4.9084895849e-01,-6.5121650696e+00,2.3486384277e+03
67,4.9323233962e-01,-4.9069747329e-01,-6.0260510445e+00,2.3468764648e+03
68,4.9306386709e-01,-4.9037355185e-01,-6.8036460876e+00,2.3451184082e+03
69,4.9294888973e-01,-4.9002161622e-01,-6.6761798859e+00,2.3433522949e+03
70,4.9278777838e-01,-4.8965683579e-01,-7.4810247421e+00,2.3415888672e+03
71,4.9248903990e-01,-4.8928686976e-01,-6.6005668640e+00,2.3398103027e+03
72,4.9229431152e-01,-4.8942163587e-01,-8.0868520737e+00,2.3380346680e+03
73,4.9295347929e-01,-4.8842921853e-01,-6.6615753174e+00,2.3362565918e+03
74,4.9278676510e-01,-4.8846158385e-01,-7.4489550591e+00,2.3344682617e+03
75,4.9258488417e-01,-4.8816394806e-01,-7.8201761246e+00,2.3326704102e+03
76,4.9218386412e-01,-4.8815760016e-01,-7.4258680344e+00,2.3308757324e+03
