step,vx_12_12,vy_12_12,pressure_12_12,energy
0,4.9999997020e-01,-4.9999997020e-01,0.0000000000e+00,5.7480023193e+02
1,5.0291472673e-01,-5.0269937515e-01,-1.1643766403e+01,6.0474847412e+02
2,5.0239127874e-01,-5.0241428614e-01,2.6237377167e+01,6.0471960449e+02
3,5.0230538845e-01,-5.0240778923e-01,2.8675470352e+01,6.0468774414e+02
4,5.0245404243e-01,-5.0253725052e-01,2.8859674454e+01,6.0465576172e+02
5,5.0268447399e-01,-5.0259345770e-01,2.8859674454e+01,6.0462322998e+02
6,5.0260102749e-01,-5.0273734331e-01,3.2460887909e+01,6.0459124756e+02
7,5.0289607048e-01,-5.0278902054e-01,3.0982179642e+01,6.0456304932e+02
8,5.0297296047e-01,-5.0309842825e-01,2.8998229980e+01,6.0453155518e+02
9,5.0298106670e-01,-5.0316572189e-01,3.0127342224e+01,6.0450549316e+02
10,5.0337147713e-01,-5.0314414501e-01,2.9381546021e+01,6.0447808838e+02
11,5.0313985348e-01,-5.0344067812e-01,2.7157648087e+01,6.0445275879e+02
12,5.0334519148e-01,-5.0327461958e-01,2.9873573303e+01,6.0442742920e+02
13,5.0336879492e-01,-5.0326496363e-01,2.9295736313e+01,6.0439916992e+02
14,5.0335836411e-01,-5.0335109234e-01,2.9606359482e+01,6.0437219238e+02
15,5.0335961580e-01,-5.0330448151e-01,2.9780691147e+01,6.0434356689e+02
16,5.0289952755e-01,-5.0327831507e-01,2.7664487839e+01,6.0431616211e+02
17,5.0301831961e-01,-5.0343370438e-01,2.8542182922e+01,6.0428924561e+02
18,5.0303435326e-01,-5.0297707319e-01,3.1689537048e+01,6.0426470947e+02
19,5.0289916992e-01,-5.0290077925e-01,2.8093648911e+01,6.0424176025e+02
20,5.0307440758e-01,-5.0289785862e-01,3.1824340820e+01,6.0421643066e+02
21,5.0266373158e-01,-5.0280958414e-01,2.7697145462e+01,6.0419195557e+02
22,5.0275295973e-01,-5.0259327888e-01,3.4597679138e+01,6.0416259766e+02
23,5.0223517418e-01,-5.0290542841e-01,2.6082567215e+01,6.0413806152e+02
24,5.0296026468e-01,-5.0256198645e-01,3.3280437469e+01,6.0411102295e+02
25,5.0256687403e-01,-5.0282853842e-01,2.7949594498e+01,6.0408660889e+02
26,5.0257736444e-01,-5.0288313627e-01,2.7866374969e+01,6.0406243896e+02
27,5.0236505270e-01,-5.0294429064e-01,3.0978166580e+01,6.0403875732e+02
28,5.0273203850e-01,-5.0283467770e-01,2.7289194107e+01,6.0401446533e+02
29,5.0266468525e-01,-5.0310045481e-01,3.0512742996e+01,6.0398913574e+02
30,5.0303184986e-01,-5.0281244516e-01,2.9555665970e+01,6.0396405029e+02
31,5.0276219845e-01,-5.0308966637e-01,2.8146739960e+01,6.0393750000e+02
32,5.0313371420e-01,-5.0290822983e-01,3.1580684662e+01,6.0391455078e+02
33,5.0271636248e-01,-5.0351542234e-01,2.7085178375e+01,6.0389093018e+02
34,5.0323486328e-01,-5.0254833698e-01,3.3795139313e+01,6.0386761475e+02
35,5.0260907412e-01,-5.0335526466e-01,2.7572305679e+01,6.0384643555e+02
36,5.0307303667e-01,-5.0281798840e-01,3.0290824890e+01,6.0382446289e+02
37,5.0267922878e-01,-5.0309598446e-01,3.0645786285e+01,6.0380249023e+02
38,5.0297510624e-01,-5.0283908844e-01,2.8432544708e+01,6.0377941895e+02
39,5.0251746178e-01,-5.0332355499e-01,2.9863830566e+01,6.0375659180e+02
40,5.0313770771e-01,-5.0271397829e-01,3.2424057007e+01,6.0373303223e+02
41,5.0264149904e-01,-5.0326001644e-01,2.6835830688e+01,6.0371197510e+02
42,5.0305944681e-01,-5.0278741121e-01,3.2288383484e+01,6.0369268799e+02
43,5.0246125460e-01,-5.0349944830e-01,2.6308309555e+01,6.0367486572e+02
44,5.0314509869e-01,-5.0288665295e-01,3.0150348663e+01,6.0365411377e+02
45,5.0248074532e-01,-5.0366699696e-01,3.0410049438e+01,6.0363214111e+02
46,5.0305724144e-01,-5.0312793255e-01,2.5107957840e+01,6.0361083984e+02
47,5.0246590376e-01,-5.0363242626e-01,3.4986320496e+01,6.0359161377e+02
48,5.0299233198e-01,-5.0328415632e-01,2.2641136169e+01,6.0357434082e+02
49,5.0253909826e-01,-5.0377678871e-01,3.5720237732e+01,6.0355792236e+02
50,5.0312483311e-01,-5.0320833921e-01,2.4179576874e+01,6.0353961182e+02
51,5.0276851654e-01,-5.0339663029e-01,3.5127304077e+01,6.0351843262e+02
52,5.0296175480e-01,-5.0327700377e-01,2.3696683884e+01,6.0349859619e+02
53,5.0236356258e-01,-5.0357204676e-01,3.2352771759e+01,6.0347973633e+02
54,5.0295716524e-01,-5.0339543819e-01,2.8103055954e+01,6.0346179199e+02
55,5.0240170956e-01,-5.0369095802e-01,2.8728389740e+01,6.0344317627e+02
56,5.0304514170e-01,-5.0322908163e-01,3.3521377563e+01,6.0342712402e+02
57,5.0238811970e-01,-5.0381541252e-01,2.3182165146e+01,6.0341107178e+02
58,5.0292992592e-01,-5.0340968370e-01,3.4289756775e+01,6.0339294434e+02
59,5.0219273567e-01,-5.0387173891e-01,2.5193773270e+01,6.0337585449e+02
60,5.0310730934e-01,-5.0340849161e-01,3.2267997742e+01,6.0335858154e+02
61,5.0204616785e-01,-5.0400900841e-01,2.6992515564e+01,6.0334332275e+02
62,5.0238770247e-01,-5.0392627716e-01,2.7970134735e+01,6.0332604980e+02
63,5.0243395567e-01,-5.0403159857e-01,3.0401773453e+01,6.0331134033e+02
64,5.0272375345e-01,-5.0398445129e-01,2.9467321396e+01,6.0329571533e+02
65,5.0280475616e-01,-5.0400197506e-01,2.8263677597e+01,6.0328033447e+02
66,5.0269514322e-01,-5.0401389599e-01,2.7725318909e+01,6.0326196289e+02
67,5.0263738632e-01,-5.0409573317e-01,3.0215108871e+01,6.0324554443e+02
68,5.0223553181e-01,-5.0412297249e-01,2.6456226349e+01,6.0323223877e+02
69,5.0238913298e-01,-5.0443339348e-01,2.8766838074e+01,6.0321765137e+02
70,5.0216877460e-01,-5.0433951616e-01,3.0267751694e+01,6.0320361328e+02
71,5.0261312723e-01,-5.0398010015e-01,2.9218580246e+01,6.0318780518e+02
72,5.0212204456e-01,-5.0449180603e-01,2.9211071014e+01,6.0317266846e+02
73,5.0242239237e-01,-5.0440233946e-01,2.7394123077e+01,6.0315820312e+02
74,5.0236749649e-01,-5.0440865755e-01,3.1110717773e+01,6.0314459229e+02
75,5.0260895491e-01,-5.0417542458e-01,2.8978569031e+01,6.0313116455e+02
76,5.0253552198e-01,-5.0423681736e-01,3.0138372421e+01,6.0311840820e+02
77,5.0260448456e-01,-5.0432074070e-01,2.7659830093e+01,6.0310504150e+02
78,5.0209909678e-01,-5.0486767292e-01,2.5612377167e+01,6.0309149170e+02
79,5.0246870518e-01,-5.0448042154e-01,3.1812185287e+01,6.0307818604e+02
80,5.0213009119e-01,-5.0494569540e-01,2.5154279709e+01,6.0306274414e+02
81,5.0247800350e-01,-5.0469934940e-01,3.0123067856e+01,6.0304962158e+02
82,5.0201076269e-01,-5.0484144688e-01,2.7977651596e+01,6.0303613281e+02
83,5.0236052275e-01,-5.0503826141e-01,2.5956308365e+01,6.0302386475e+02
84,5.0204128027e-01,-5.0509870052e-01,3.1591773987e+01,6.0301043701e+02
85,5.0264793634e-01,-5.0486063957e-01,2.7911760330e+01,6.0299798584e+02
86,5.0183933973e-01,-5.0539118052e-01,2.4864786148e+01,6.0298474121e+02
87,5.0238031149e-01,-5.0495457649e-01,3.3614772797e+01,6.0297161865e+02
88,5.0187569857e-01,-5.0556194782e-01,2.2543151855e+01,6.0296008301e+02
89,5.0248736143e-01,-5.0508767366e-01,3.4033744812e+01,6.0294689941e+02
90,5.0192368031e-01,-5.0549894571e-01,2.2429059982e+01,6.0293615723e+02
91,5.0271886587e-01,-5.0503861904e-01,3.3940715790e+01,6.0292535400e+02
92,5.0187277794e-01,-5.0595492125e-01,2.4259748459e+01,6.0291473389e+02
93,5.0253784657e-01,-5.0526905060e-01,2.9089097977e+01,6.0290161133e+02
94,5.0207430124e-01,-5.0590842962e-01,2.9218887329e+01,6.0288946533e+02
95,5.0275266171e-01,-5.0539392233e-01,2.6799905777e+01,6.0287780762e+02
96,5.0177353621e-01,-5.0618934631e-01,2.8191038132e+01,6.0286462402e+02
97,5.0217425823e-01,-5.0599008799e-01,2.3751899719e+01,6.0285192871e+02
98,5.0189644098e-01,-5.0620770454e-01,2.9130895615e+01,6.0284014893e+02
99,5.0235128403e-01,-5.0593686104e-01,3.3996768951e+01,6.0282849121e+02
100,5.0249803066e-01,-5.0577270985e-01,2.2146352768e+01,6.0281658936e+02
101,5.0239026546e-01,-5.0588423014e-01,3.0993154526e+01,6.0280432129e+02
102,5.0242888927e-01,-5.0599640608e-01,2.7139360428e+01,6.0279345703e+02
103,5.0240379572e-01,-5.0582599640e-01,2.5744199753e+01,6.0278222656e+02
104,5.0236046314e-01,-5.0608193874e-01,2.7167694092e+01,6.0277056885e+02
105,5.0243896246e-01,-5.0570148230e-01,2.9867372513e+01,6.0275842285e+02
106,5.0240558386e-01,-5.0618433952e-01,2.4648057938e+01,6.0274560547e+02
107,5.0241309404e-01,-5.0630193949e-01,2.8167686462e+01,6.0273382568e+02
108,5.0248157978e-01,-5.0594192743e-01,2.8670967102e+01,6.0272247314e+02
109,5.0235295296e-01,-5.0650739670e-01,2.5249185562e+01,6.0271093750e+02
110,5.0234931707e-01,-5.0628167391e-01,2.9152021408e+01,6.0269958496e+02
111,5.0237870216e-01,-5.0653386116e-01,2.6541419983e+01,6.0268792725e+02
112,5.0260102749e-01,-5.0643116236e-01,2.7864688873e+01,6.0267614746e+02
113,5.0219368935e-01,-5.0615024567e-01,2.8954942703e+01,6.0266400146e+02
114,5.0245749950e-01,-5.0643974543e-01,2.5720867157e+01,6.0265332031e+02
115,5.0253325701e-01,-5.0637012720e-01,2.8776916504e+01,6.0264465332e+02
116,5.0264143944e-01,-5.0630682707e-01,2.5390195847e+01,6.0263500977e+02
117,5.0239431858e-01,-5.0644165277e-01,2.7740964890e+01,6.0262322998e+02
118,5.0259995461e-01,-5.0649702549e-01,2.8951232910e+01,6.0261157227e+02
119,5.0248396397e-01,-5.0650477409e-01,2.3939687729e+01,6.0259942627e+02
120,5.0252282619e-01,-5.0661480427e-01,2.9131277084e+01,6.0258740234e+02
121,5.0270664692e-01,-5.0648093224e-01,2.7378650665e+01,6.0257653809e+02
122,5.0212979317e-01,-5.0674819946e-01,2.4362882614e+01,6.0256713867e+02
123,5.0251740217e-01,-5.0679737329e-01,2.6709642410e+01,6.0255639648e+02
124,5.0208103657e-01,-5.0681430101e-01,2.7408330917e+01,6.0254394531e+02
125,5.0267577171e-01,-5.0671774149e-01,2.6836528778e+01,6.0253155518e+02
126,5.0229227543e-01,-5.0714564323e-01,2.6124851227e+01,6.0252014160e+02
127,5.0302612782e-01,-5.0656253099e-01,2.9006603241e+01,6.0250842285e+02
128,5.0215512514e-01,-5.0727236271e-01,2.5129661560e+01,6.0249768066e+02
129,5.0304514170e-01,-5.0671851635e-01,2.7217458725e+01,6.0248822021e+02
130,5.0268387794e-01,-5.0691902637e-01,2.8585269928e+01,6.0247784424e+02
131,5.0307697058e-01,-5.0675928593e-01,2.6614576340e+01,6.0246630859e+02
132,5.0276303291e-01,-5.0738310814e-01,2.0810892105e+01,6.0245416260e+02
133,5.0298768282e-01,-5.0730413198e-01,3.2354679108e+01,6.0244165039e+02
134,5.0292426348e-01,-5.0724953413e-01,2.3534849167e+01,6.0242889404e+02
135,5.0282180309e-01,-5.0746595860e-01,2.6081558228e+01,6.0241796875e+02
136,5.0297224522e-01,-5.0712937117e-01,2.7949396133e+01,6.0240557861e+02
137,5.0308650732e-01,-5.0715607405e-01,2.8194374084e+01,6.0239410400e+02
138,5.0318080187e-01,-5.0712400675e-01,2.3600601196e+01,6.0238281250e+02
139,5.0288599730e-01,-5.0782483816e-01,2.7677635193e+01,6.0237036133e+02
140,5.0312119722e-01,-5.0751656294e-01,2.4970767975e+01,6.0235711670e+02
141,5.0302684307e-01,-5.0769913197e-01,2.7216592789e+01,6.0234545898e+02
142,5.0326001644e-01,-5.0743079185e-01,2.7396823883e+01,6.0233233643e+02
143,5.0321328640e-01,-5.0756579638e-01,2.4280376434e+01,6.0231964111e+02
144,5.0318610668e-01,-5.0756525993e-01,2.7791084290e+01,6.0230694580e+02
145,5.0307941437e-01,-5.0779569149e-01,2.4177556992e+01,6.0229443359e+02
146,5.0308191776e-01,-5.0790339708e-01,2.5146354675e+01,6.0228088379e+02
147,5.0325661898e-01,-5.0776439905e-01,2.8300981522e+01,6.0226849365e+02
148,5.0326359272e-01,-5.0776433945e-01,2.3813598633e+01,6.0225463867e+02
149,5.0326496363e-01,-5.0790792704e-01,2.5893117905e+01,6.0224108887e+02
150,5.0395929813e-01,-5.0770139694e-01,2.8342187881e+01,6.0222680664e+02
151,5.0346773863e-01,-5.0791919231e-01,2.2724498749e+01,6.0221368408e+02
152,5.0395900011e-01,-5.0777006149e-01,2.8999723434e+01,6.0219934082e+02
153,5.0392556190e-01,-5.0751864910e-01,2.5402770996e+01,6.0218505859e+02
154,5.0408363342e-01,-5.0761783123e-01,2.7702070236e+01,6.0217175293e+02
155,5.0360137224e-01,-5.0800609589e-01,2.1379625320e+01,6.0215844727e+02
156,5.0383949280e-01,-5.0776684284e-01,2.8438100815e+01,6.0214538574e+02
157,5.0406777859e-01,-5.0774246454e-01,2.5696063995e+01,6.0213085938e+02
158,5.0377643108e-01,-5.0776159763e-01,2.5170318604e+01,6.0211730957e+02
159,5.0413125753e-01,-5.0763702393e-01,2.6128990173e+01,6.0210308838e+02
160,5.0423419476e-01,-5.0782960653e-01,2.5846284866e+01,6.0208673096e+02
161,5.0423705578e-01,-5.0785219669e-01,2.5510663986e+01,6.0207055664e+02
162,5.0404429436e-01,-5.0774717331e-01,2.4636234283e+01,6.0205517578e+02
163,5.0425344706e-01,-5.0787931681e-01,2.6749794006e+01,6.0203955078e+02
164,5.0452548265e-01,-5.0792068243e-01,2.5051879883e+01,6.0202520752e+02
165,5.0451320410e-01,-5.0785458088e-01,2.5891109467e+01,6.0201086426e+02
166,5.0431817770e-01,-5.0782287121e-01,2.4520370483e+01,6.0199609375e+02
