step,vx_100_100,vy_100_100
0,4.9998757243e-01,-4.9998757243e-01
1,5.0060552359e-01,-5.0051915646e-01
2,5.0064015388e-01,-5.0064831972e-01
3,5.0025904179e-01,-5.0047379732e-01
4,5.0006759167e-01,-5.0025057793e-01
5,4.9996137619e-01,-5.0011044741e-01
6,4.9998641014e-01,-5.0008636713e-01
7,5.0014883280e-01,-5.0007688999e-01
8,5.0038719177e-01,-5.0021588802e-01
9,5.0064432621e-01,-5.0040018559e-01
10,5.0082266331e-01,-5.0055688620e-01
11,5.0081008673e-01,-5.0067025423e-01
12,5.0071036816e-01,-5.0070381165e-01
13,5.0064045191e-01,-5.0068193674e-01
14,5.0049751997e-01,-5.0054413080e-01
15,5.0032401085e-01,-5.0038087368e-01
16,5.0019401312e-01,-5.0031012297e-01
17,5.0022792816e-01,-5.0033891201e-01
18,5.0034588575e-01,-5.0045543909e-01
19,5.0046265125e-01,-5.0048959255e-01
20,5.0053471327e-01,-5.0048327446e-01
21,5.0049567223e-01,-5.0045365095e-01
22,5.0045889616e-01,-5.0036925077e-01
23,5.0041919947e-01,-5.0030475855e-01
24,5.0040137768e-01,-5.0025659800e-01
25,5.0037074089e-01,-5.0019240379e-01
26,5.0033545494e-01,-5.0019431114e-01
27,5.0033253431e-01,-5.0026839972e-01
28,5.0039523840e-01,-5.0037807226e-01
29,5.0044810772e-01,-5.0047504902e-01
30,5.0040310621e-01,-5.0045120716e-01
31,5.0036817789e-01,-5.0043255091e-01
32,5.0033015013e-01,-5.0037670135e-01
33,5.0035470724e-01,-5.0039744377e-01
34,5.0036954880e-01,-5.0045007467e-01
35,5.0035917759e-01,-5.0048708916e-01
36,5.0033283234e-01,-5.0040948391e-01
37,5.0030452013e-01,-5.0029903650e-01
38,5.0030726194e-01,-5.0025999546e-01
39,5.0031077862e-01,-5.0029242039e-01
40,5.0037872791e-01,-5.0037360191e-01
41,5.0041610003e-01,-5.0037670135e-01
42,5.0040447712e-01,-5.0036317110e-01
43,5.0036406517e-01,-5.0039196014e-01
44,5.0038182735e-01,-5.0046449900e-01
45,5.0046849251e-01,-5.0054889917e-01
46,5.0052678585e-01,-5.0047290325e-01
47,5.0044649839e-01,-5.0033116341e-01
48,5.0037121773e-01,-5.0023233891e-01
49,5.0034952164e-01,-5.0031071901e-01
50,5.0041192770e-01,-5.0039815903e-01
51,5.0054979324e-01,-5.0045782328e-01
52,5.0048327446e-01,-5.0042164326e-01
53,5.0040227175e-01,-5.0030517578e-01
54,5.0027930737e-01,-5.0016534328e-01
55,5.0030183792e-01,-5.0005728006e-01
56,5.0041925907e-01,-5.0010567904e-01
57,5.0056457520e-01,-5.0023043156e-01
58,5.0068354607e-01,-5.0028651953e-01
59,5.0067108870e-01,-5.0034749508e-01
60,5.0055080652e-01,-5.0043302774e-01
61,5.0041353703e-01,-5.0048738718e-01
62,5.0034034252e-01,-5.0051140785e-01
63,5.0030887127e-01,-5.0042492151e-01
64,5.0027537346e-01,-5.0029414892e-01
65,5.0026732683e-01,-5.0018662214e-01
66,5.0031107664e-01,-5.0014257431e-01
67,5.0043916702e-01,-5.0017303228e-01
68,5.0055992603e-01,-5.0018316507e-01
69,5.0065398216e-01,-5.0023949146e-01
70,5.0067538023e-01,-5.0029867887e-01
71,5.0064361095e-01,-5.0039190054e-01
72,5.0062835217e-01,-5.0039398670e-01
73,5.0048768520e-01,-5.0036227703e-01
74,5.0039440393e-01,-5.0021392107e-01
75,5.0034254789e-01,-5.0009870529e-01
76,5.0035214424e-01,-5.0007796288e-01
77,5.0045460463e-01,-5.0014632940e-01
78,5.0057393312e-01,-5.0026208162e-01
79,5.0065493584e-01,-5.0028616190e-01
80,5.0067633390e-01,-5.0032544136e-01
81,5.0063490868e-01,-5.0041568279e-01
82,5.0054103136e-01,-5.0045901537e-01
83,5.0046890974e-01,-5.0045794249e-01
84,5.0037914515e-01,-5.0037515163e-01
85,5.0023639202e-01,-5.0024288893e-01
86,5.0015920401e-01,-5.0010383129e-01
87,5.0021290779e-01,-5.0004363060e-01
88,5.0032007694e-01,-5.0012481213e-01
89,5.0046092272e-01,-5.0023013353e-01
90,5.0057566166e-01,-5.0031906366e-01
91,5.0055086613e-01,-5.0032746792e-01
92,5.0044953823e-01,-5.0025689602e-01
93,5.0030231476e-01,-5.0018745661e-01
94,5.0027322769e-01,-5.0016528368e-01
95,5.0037485361e-01,-5.0027006865e-01
96,5.0052219629e-01,-5.0039601326e-01
97,5.0058549643e-01,-5.0040709972e-01
98,5.0052738190e-01,-5.0037252903e-01
99,5.0042909384e-01,-5.0033766031e-01
100,5.0042414665e-01,-5.0026965141e-01
101,5.0043821335e-01,-5.0014340878e-01
102,5.0040000677e-01,-5.0008702278e-01
103,5.0034552813e-01,-5.0010228157e-01
104,5.0039529800e-01,-5.0013720989e-01
105,5.0048768520e-01,-5.0018066168e-01
106,5.0052911043e-01,-5.0025856495e-01
107,5.0054383278e-01,-5.0033634901e-01
108,5.0052607059e-01,-5.0036346912e-01
109,5.0049811602e-01,-5.0031012297e-01
110,5.0043368340e-01,-5.0021880865e-01
111,5.0037169456e-01,-5.0017708540e-01
112,5.0041055679e-01,-5.0024849176e-01
113,5.0047421455e-01,-5.0033390522e-01
114,5.0053966045e-01,-5.0039207935e-01
115,5.0053972006e-01,-5.0036627054e-01
116,5.0046402216e-01,-5.0032168627e-01
117,5.0041908026e-01,-5.0025147200e-01
118,5.0039267540e-01,-5.0015181303e-01
119,5.0039565563e-01,-5.0008696318e-01
120,5.0044387579e-01,-5.0012814999e-01
121,5.0045323372e-01,-5.0013494492e-01
122,5.0044524670e-01,-5.0014483929e-01
123,5.0038868189e-01,-5.0008976460e-01
124,5.0032097101e-01,-5.0006896257e-01
125,5.0031185150e-01,-5.0006258488e-01
126,5.0038456917e-01,-5.0013446808e-01
127,5.0049376488e-01,-5.0018495321e-01
128,5.0052428246e-01,-5.0025057793e-01
129,5.0050765276e-01,-5.0025957823e-01
130,5.0046139956e-01,-5.0023686886e-01
131,5.0036466122e-01,-5.0019210577e-01
132,5.0030267239e-01,-5.0007551908e-01
133,5.0025027990e-01,-4.9989047647e-01
134,5.0023591518e-01,-4.9977692962e-01
135,5.0033378601e-01,-4.9975821376e-01
136,5.0049710274e-01,-4.9987712502e-01
137,5.0062394142e-01,-4.9999907613e-01
138,5.0066798925e-01,-5.0012195110e-01
139,5.0061124563e-01,-5.0019347668e-01
140,5.0046730042e-01,-5.0026845932e-01
141,5.0043576956e-01,-5.0034391880e-01
142,5.0044572353e-01,-5.0035440922e-01
143,5.0044971704e-01,-5.0028562546e-01
144,5.0039047003e-01,-5.0018346310e-01
145,5.0037938356e-01,-5.0012737513e-01
146,5.0041145086e-01,-5.0019031763e-01
147,5.0049304962e-01,-5.0027000904e-01
148,5.0055164099e-01,-5.0029301643e-01
149,5.0051993132e-01,-5.0021088123e-01
150,5.0036901236e-01,-5.0009453297e-01
151,5.0031071901e-01,-5.0005340576e-01
152,5.0033265352e-01,-5.0007569790e-01
153,5.0046163797e-01,-5.0013571978e-01
154,5.0053763390e-01,-5.0018966198e-01
155,5.0055402517e-01,-5.0022882223e-01
156,5.0051558018e-01,-5.0017666817e-01
157,5.0048315525e-01,-5.0010007620e-01
158,5.0042742491e-01,-4.9998617172e-01
159,5.0044190884e-01,-5.0001031160e-01
160,5.0049543381e-01,-5.0009763241e-01
161,5.0054126978e-01,-5.0024378300e-01
162,5.0052630901e-01,-5.0028598309e-01
163,5.0041615963e-01,-5.0029599667e-01
164,5.0026559830e-01,-5.0017094612e-01
165,5.0016671419e-01,-5.0008720160e-01
166,5.0019907951e-01,-5.0002890825e-01
167,5.0027573109e-01,-5.0008296967e-01
168,5.0042074919e-01,-5.0017642975e-01
