step,vx_37_37,vy_37_37,pressure_37_37,energy
0,4.9999997020e-01,-4.9999997020e-01,0.0000000000e+00,5.4749282227e+03
1,5.0232136250e-01,-5.0116455555e-01,-4.0957856178e-01,5.5692924805e+03
2,5.0151532888e-01,-5.0091147423e-01,9.4442653656e+00,5.5807099609e+03
3,5.0166100264e-01,-5.0117331743e-01,9.1420602798e+00,5.5892602539e+03
4,5.0190240145e-01,-5.0173813105e-01,8.4746627808e+00,5.5957094727e+03
5,5.0111579895e-01,-5.0142520666e-01,9.5744190216e+00,5.6005351562e+03
6,5.0086891651e-01,-5.0132858753e-01,1.0002355576e+01,5.6041655273e+03
7,5.0116741657e-01,-5.0115078688e-01,1.0618000031e+01,5.6068579102e+03
8,5.0123423338e-01,-5.0141423941e-01,1.0662012100e+01,5.6088442383e+03
9,5.0127732754e-01,-5.0189411640e-01,1.0700732231e+01,5.6103027344e+03
10,5.0113993883e-01,-5.0134420395e-01,1.0188387871e+01,5.6113525391e+03
11,5.0110805035e-01,-5.0069743395e-01,9.8583593369e+00,5.6120834961e+03
12,5.0200104713e-01,-5.0108212233e-01,9.4424734116e+00,5.6125649414e+03
13,5.0285726786e-01,-5.0212663412e-01,1.0069832802e+01,5.6128627930e+03
14,5.0222641230e-01,-5.0169074535e-01,1.0235053062e+01,5.6130385742e+03
15,5.0082409382e-01,-5.0082856417e-01,1.0392244339e+01,5.6130864258e+03
16,5.0072526932e-01,-5.0097852945e-01,9.7193880081e+00,5.6130571289e+03
17,5.0153273344e-01,-5.0155788660e-01,1.0011754990e+01,5.6129677734e+03
18,5.0148493052e-01,-5.0136798620e-01,9.6639328003e+00,5.6128291016e+03
19,5.0124609470e-01,-5.0132644176e-01,1.0212543488e+01,5.6126547852e+03
20,5.0142151117e-01,-5.0146257877e-01,1.0368124962e+01,5.6124521484e+03
21,5.0143319368e-01,-5.0099742413e-01,1.0035477638e+01,5.6122119141e+03
22,5.0144326687e-01,-5.0077813864e-01,9.4454231262e+00,5.6119555664e+03
23,5.0191992521e-01,-5.0093692541e-01,1.0010266304e+01,5.6116933594e+03
24,5.0235867500e-01,-5.0131058693e-01,1.0215573311e+01,5.6114130859e+03
25,5.0196468830e-01,-5.0117814541e-01,1.0372309685e+01,5.6111254883e+03
26,5.0091230869e-01,-5.0057858229e-01,9.6287565231e+00,5.6108364258e+03
27,5.0057035685e-01,-5.0039881468e-01,9.5845813751e+00,5.6105424805e+03
28,5.0110566616e-01,-5.0074845552e-01,9.4242792130e+00,5.6102387695e+03
29,5.0181692839e-01,-5.0129646063e-01,1.0091827393e+01,5.6099350586e+03
30,5.0156039000e-01,-5.0132161379e-01,9.9773092270e+00,5.6096313477e+03
31,5.0084739923e-01,-5.0043553114e-01,1.0675897598e+01,5.6093232422e+03
32,5.0048178434e-01,-4.9953979254e-01,9.9506959915e+00,5.6090126953e+03
33,5.0055801868e-01,-4.9942520261e-01,9.8131437302e+00,5.6086987305e+03
34,5.0142967701e-01,-5.0006932020e-01,9.5031032562e+00,5.6083852539e+03
35,5.0207042694e-01,-5.0080877542e-01,9.8673362732e+00,5.6080742188e+03
36,5.0200319290e-01,-5.0124192238e-01,9.7683792114e+00,5.6077626953e+03
37,5.0169211626e-01,-5.0136339664e-01,1.0596456528e+01,5.6074511719e+03
38,5.0123298168e-01,-5.0060629845e-01,1.0327216148e+01,5.6071430664e+03
39,5.0086635351e-01,-5.0016629696e-01,9.7146472931e+00,5.6068266602e+03
40,5.0144803524e-01,-5.0091683865e-01,9.5889921188e+00,5.6065053711e+03
41,5.0197839737e-01,-5.0107818842e-01,9.7347593307e+00,5.6061904297e+03
42,5.0132393837e-01,-5.0036489964e-01,9.6021089554e+00,5.6058789062e+03
43,5.0090467930e-01,-5.0017154217e-01,1.0024620056e+01,5.6055708008e+03
44,5.0130546093e-01,-5.0044751167e-01,9.6831474304e+00,5.6052524414e+03
45,5.0114065409e-01,-5.0033247471e-01,9.6248912811e+00,5.6049409180e+03
46,5.0094491243e-01,-5.0018560886e-01,9.9731569290e+00,5.6046337891e+03
47,5.0110375881e-01,-5.0035387278e-01,1.0417820930e+01,5.6043227539e+03
48,5.0128281116e-01,-5.0047093630e-01,9.6355533600e+00,5.6040083008e+03
49,5.0123512745e-01,-4.9992695451e-01,9.7490129471e+00,5.6036962891e+03
50,5.0115716457e-01,-5.0002956390e-01,9.8171958923e+00,5.6033818359e+03
51,5.0139641762e-01,-5.0029665232e-01,9.7923536301e+00,5.6030688477e+03
52,5.0130772591e-01,-5.0049710274e-01,1.0079540253e+01,5.6027617188e+03
53,5.0109684467e-01,-5.0093299150e-01,9.6182403564e+00,5.6024497070e+03
54,5.0119948387e-01,-5.0119596720e-01,9.6875600815e+00,5.6021367188e+03
55,5.0117921829e-01,-5.0099778175e-01,9.5953893661e+00,5.6018193359e+03
56,5.0111043453e-01,-5.0042957067e-01,9.6063423157e+00,5.6015117188e+03
57,5.0105124712e-01,-4.9972936511e-01,9.8342742920e+00,5.6011962891e+03
58,5.0141459703e-01,-4.9979367852e-01,1.0035678864e+01,5.6008842773e+03
59,5.0166505575e-01,-5.0057029724e-01,9.9336309433e+00,5.6005688477e+03
60,5.0157481432e-01,-5.0067514181e-01,9.8470754623e+00,5.6002578125e+03
61,5.0080955029e-01,-5.0011992455e-01,9.7510213852e+00,5.5999448242e+03
62,5.0062584877e-01,-4.9953901768e-01,9.4460659027e+00,5.5996357422e+03
63,5.0106865168e-01,-4.9976661801e-01,9.5238103867e+00,5.5993232422e+03
64,5.0153839588e-01,-5.0013899803e-01,1.0086554527e+01,5.5990126953e+03
65,5.0115722418e-01,-4.9974822998e-01,1.0214281082e+01,5.5987016602e+03
66,5.0065368414e-01,-4.9954515696e-01,9.8825778961e+00,5.5983959961e+03
67,5.0090831518e-01,-4.9970346689e-01,9.3092365265e+00,5.5980922852e+03
68,5.0095081329e-01,-4.9943631887e-01,9.2111921310e+00,5.5977836914e+03
69,5.0083124638e-01,-4.9983283877e-01,9.8296813965e+00,5.5974697266e+03
70,5.0115978718e-01,-5.0060951710e-01,1.0193861008e+01,5.5971660156e+03
71,5.0115847588e-01,-5.0048160553e-01,1.0001660347e+01,5.5968569336e+03
72,5.0051391125e-01,-4.9954453111e-01,9.6025648117e+00,5.5965517578e+03
73,5.0052988529e-01,-4.9929854274e-01,9.5172595978e+00,5.5962377930e+03
74,5.0129157305e-01,-5.0002080202e-01,9.3375635147e+00,5.5959394531e+03
75,5.0135004520e-01,-5.0034558773e-01,9.4919748306e+00,5.5956333008e+03
76,5.0086635351e-01,-5.0015240908e-01,9.5524749756e+00,5.5953251953e+03
77,5.0062626600e-01,-4.9971616268e-01,9.9357337952e+00,5.5950205078e+03
78,5.0091105700e-01,-4.9950513244e-01,9.8212728500e+00,5.5947119141e+03
79,5.0127422810e-01,-4.9960130453e-01,9.5218982697e+00,5.5944121094e+03
80,5.0137788057e-01,-4.9978733063e-01,9.8821725845e+00,5.5941103516e+03
81,5.0108176470e-01,-4.9993014336e-01,9.9584007263e+00,5.5937998047e+03
82,5.0088387728e-01,-4.9986198545e-01,9.6942911148e+00,5.5934975586e+03
83,5.0062400103e-01,-4.9966049194e-01,9.6193161011e+00,5.5931938477e+03
84,5.0022256374e-01,-4.9965220690e-01,9.5655059814e+00,5.5928881836e+03
85,5.0040680170e-01,-4.9967309833e-01,9.6325349808e+00,5.5925834961e+03
86,5.0067955256e-01,-4.9963727593e-01,9.4572057724e+00,5.5922758789e+03
87,5.0068664551e-01,-4.9943408370e-01,9.9361314774e+00,5.5919682617e+03
88,5.0047951937e-01,-4.9974009395e-01,9.6120538712e+00,5.5916684570e+03
89,5.0055724382e-01,-4.9943011999e-01,9.4351139069e+00,5.5913662109e+03
90,5.0026983023e-01,-4.9907529354e-01,9.1359672546e+00,5.5910551758e+03
91,5.0029367208e-01,-4.9933025241e-01,9.4981651306e+00,5.5907500000e+03
92,5.0098252296e-01,-4.9952012300e-01,9.8338279724e+00,5.5904482422e+03
93,5.0102978945e-01,-4.9975156784e-01,9.9444599152e+00,5.5901425781e+03
94,5.0067609549e-01,-4.9963310361e-01,9.2327098846e+00,5.5898383789e+03
95,5.0034397840e-01,-4.9925735593e-01,9.3841085434e+00,5.5895361328e+03
96,5.0032454729e-01,-4.9900209904e-01,9.4499521255e+00,5.5892280273e+03
97,5.0050723553e-01,-4.9953156710e-01,9.4312219620e+00,5.5889287109e+03
98,5.0056809187e-01,-4.9988022447e-01,9.7343845367e+00,5.5886230469e+03
99,5.0015372038e-01,-4.9962434173e-01,9.2416229248e+00,5.5883188477e+03
100,5.0007027388e-01,-4.9907001853e-01,9.4862880707e+00,5.5880175781e+03
101,5.0065922737e-01,-4.9936261773e-01,9.5292034149e+00,5.5877133789e+03
102,5.0116211176e-01,-4.9989637733e-01,9.5763320923e+00,5.5874116211e+03
103,5.0081259012e-01,-4.9940922856e-01,9.6782846451e+00,5.5871054688e+03
104,5.0017797947e-01,-4.9897667766e-01,9.3262481689e+00,5.5868022461e+03
105,5.0045233965e-01,-4.9923536181e-01,9.7804498672e+00,5.5865000000e+03
106,5.0077134371e-01,-4.9928122759e-01,9.3430814743e+00,5.5861977539e+03
