step,vx_25_25,vy_25_25,pressure_25_25,energy
0,4.9975326657e-01,-4.9975326657e-01,0.0000000000e+00,2.3998942871e+03
1,5.0306928158e-01,-5.0137603283e-01,-5.4514279366e+00,2.4612099609e+03
2,5.0270634890e-01,-5.0169110298e-01,3.5046899319e+00,2.4691174316e+03
3,5.0260704756e-01,-5.0166451931e-01,2.3274841309e+00,2.4751501465e+03
4,5.0200587511e-01,-5.0141251087e-01,1.0394877195e+00,2.4797387695e+03
5,5.0176405907e-01,-5.0134098530e-01,-3.7613984942e-01,2.4832187500e+03
6,5.0159674883e-01,-5.0151044130e-01,-1.4618282318e+00,2.4858759766e+03
7,5.0187826157e-01,-5.0182384253e-01,-1.3816878796e+00,2.4879023438e+03
8,5.0202870369e-01,-5.0211077929e-01,-2.5814802647e+00,2.4894565430e+03
9,5.0231081247e-01,-5.0223088264e-01,-3.9592230320e+00,2.4906506348e+03
10,5.0255006552e-01,-5.0232332945e-01,-3.3865981102e+00,2.4915642090e+03
11,5.0270175934e-01,-5.0244963169e-01,-2.5715305805e+00,2.4922646484e+03
12,5.0272321701e-01,-5.0235205889e-01,-1.6156029701e+00,2.4927958984e+03
13,5.0251805782e-01,-5.0251537561e-01,-1.3995960951e+00,2.4932023926e+03
14,5.0246417522e-01,-5.0242865086e-01,1.1463447809e+00,2.4935109863e+03
15,5.0224143267e-01,-5.0242722034e-01,-1.4684936404e-01,2.4937424316e+03
16,5.0212901831e-01,-5.0225669146e-01,1.5437424183e+00,2.4939160156e+03
17,5.0219535828e-01,-5.0229495764e-01,-1.3713017702e+00,2.4940449219e+03
18,5.0224208832e-01,-5.0198888779e-01,7.5509279966e-01,2.4941396484e+03
19,5.0217962265e-01,-5.0167322159e-01,-1.4468760490e+00,2.4942070312e+03
20,5.0202828646e-01,-5.0146216154e-01,1.2460676432e+00,2.4942495117e+03
21,5.0189048052e-01,-5.0108551979e-01,-3.0583810806e+00,2.4942768555e+03
22,5.0181275606e-01,-5.0093376637e-01,2.1500928402e+00,2.4942927246e+03
23,5.0174701214e-01,-5.0090444088e-01,-5.7141718864e+00,2.4942978516e+03
24,5.0165158510e-01,-5.0113999844e-01,5.7678890228e-01,2.4942958984e+03
25,5.0180238485e-01,-5.0127774477e-01,-8.3421249390e+00,2.4942885742e+03
26,5.0193893909e-01,-5.0170201063e-01,3.6630797386e+00,2.4942739258e+03
27,5.0211817026e-01,-5.0214046240e-01,-5.2072577477e+00,2.4942561035e+03
28,5.0255054235e-01,-5.0247508287e-01,1.2710360289e+00,2.4942343750e+03
29,5.0265890360e-01,-5.0288105011e-01,-4.1288352013e+00,2.4942114258e+03
30,5.0277048349e-01,-5.0292772055e-01,1.9984121323e+00,2.4941879883e+03
