step,vx_50_50,vy_50_50,pressure_50_50,energy
0,4.9993833899e-01,-4.9993833899e-01,0.0000000000e+00,9.7999462891e+03
1,5.0103449821e-01,-5.0072628260e-01,8.5258924961e-01,9.9272548828e+03
2,5.0147378445e-01,-5.0117629766e-01,8.3802980185e-01,9.9422363281e+03
3,5.0128746033e-01,-5.0121498108e-01,-6.6539233923e-01,9.9534492188e+03
4,5.0095480680e-01,-5.0156050920e-01,-7.6753914356e-01,9.9618378906e+03
5,5.0028240681e-01,-5.0109714270e-01,-8.7429690361e-01,9.9681347656e+03
6,5.0052565336e-01,-5.0094640255e-01,-6.2637799978e-01,9.9728017578e+03
7,5.0148701668e-01,-5.0182181597e-01,1.3983957469e-01,9.9762597656e+03
8,5.0083136559e-01,-5.0112921000e-01,-3.1313505769e-01,9.9787851562e+03
9,5.0034779310e-01,-5.0058317184e-01,-2.1104189754e-01,9.9806083984e+03
10,5.0163173676e-01,-5.0090754032e-01,-1.4951103926e-01,9.9818896484e+03
11,5.0174129009e-01,-5.0120151043e-01,1.1445240118e-02,9.9827470703e+03
12,5.0140506029e-01,-5.0160527229e-01,3.5439729691e-01,9.9832988281e+03
13,5.0105911493e-01,-5.0148862600e-01,-8.1297948956e-02,9.9836113281e+03
14,5.0050270557e-01,-5.0081753731e-01,-2.5127997994e-01,9.9837343750e+03
15,5.0082516670e-01,-5.0097137690e-01,-2.9029846191e-01,9.9837265625e+03
16,5.0117194653e-01,-5.0135630369e-01,-5.9989228845e-02,9.9836015625e+03
17,5.0102287531e-01,-5.0121599436e-01,1.5368154645e-01,9.9833710938e+03
18,5.0109940767e-01,-5.0107699633e-01,-1.2358725071e-01,9.9830830078e+03
19,5.0118863583e-01,-5.0058656931e-01,-1.3474480808e-01,9.9827529297e+03
20,5.0103032589e-01,-5.0024038553e-01,-1.4019295573e-01,9.9823798828e+03
21,5.0147235394e-01,-5.0031632185e-01,-2.6783311367e-01,9.9819814453e+03
22,5.0167697668e-01,-5.0056499243e-01,-2.8946092725e-01,9.9815478516e+03
23,5.0126558542e-01,-5.0074249506e-01,-2.5738742948e-01,9.9811152344e+03
24,5.0054132938e-01,-5.0020533800e-01,1.2642578222e-02,9.9806650391e+03
25,5.0046491623e-01,-4.9989220500e-01,-4.4444251060e-01,9.9801923828e+03
26,5.0141078234e-01,-5.0103849173e-01,-6.3110667467e-01,9.9797080078e+03
27,5.0152426958e-01,-5.0144129992e-01,-2.5407642126e-01,9.9792285156e+03
28,5.0040280819e-01,-5.0025987625e-01,-3.0475831032e-01,9.9787431641e+03
29,5.0022470951e-01,-4.9967333674e-01,-4.6356540173e-02,9.9782470703e+03
30,5.0122475624e-01,-5.0016367435e-01,-2.6348429918e-01,9.9777548828e+03
31,5.0143665075e-01,-5.0060647726e-01,-3.3704516292e-01,9.9772578125e+03
32,5.0138795376e-01,-5.0084459782e-01,2.2867473960e-01,9.9767617188e+03
33,5.0146859884e-01,-5.0108617544e-01,-3.7022662163e-01,9.9762578125e+03
34,5.0114119053e-01,-5.0103795528e-01,-9.6930973232e-02,9.9757636719e+03
35,5.0041770935e-01,-5.0027632713e-01,4.0681216866e-02,9.9752578125e+03
36,5.0054007769e-01,-5.0013804436e-01,-3.1990605593e-01,9.9747607422e+03
37,5.0114727020e-01,-5.0082290173e-01,-2.4835184216e-01,9.9742539062e+03
38,5.0106865168e-01,-5.0093734264e-01,9.4106579199e-03,9.9737607422e+03
39,5.0053894520e-01,-5.0036001205e-01,-4.2880201340e-01,9.9732509766e+03
40,5.0074756145e-01,-5.0022590160e-01,-2.3924767971e-01,9.9727500000e+03
41,5.0091820955e-01,-5.0092411041e-01,-2.9952353239e-01,9.9722451172e+03
42,5.0077813864e-01,-5.0085645914e-01,-4.5144709945e-01,9.9717480469e+03
43,5.0057941675e-01,-5.0045257807e-01,-5.9962689877e-01,9.9712382812e+03
44,5.0091457367e-01,-4.9982690811e-01,-6.2458693981e-02,9.9707363281e+03
45,5.0091046095e-01,-4.9909457564e-01,-3.1846648455e-01,9.9702324219e+03
46,5.0070267916e-01,-4.9927872419e-01,-3.7113103271e-01,9.9697265625e+03
47,5.0117760897e-01,-5.0037503242e-01,-3.4120357037e-01,9.9692285156e+03
48,5.0107032061e-01,-5.0067734718e-01,-2.4964347482e-01,9.9687197266e+03
49,5.0062453747e-01,-5.0024431944e-01,-3.1445487402e-03,9.9682197266e+03
50,5.0045043230e-01,-5.0005072355e-01,-4.0843206644e-01,9.9677167969e+03
51,5.0073844194e-01,-5.0052219629e-01,-1.8973386288e-01,9.9672148438e+03
52,5.0086969137e-01,-5.0040888786e-01,-1.8817204237e-01,9.9667089844e+03
53,5.0083756447e-01,-5.0033062696e-01,-2.3630176485e-01,9.9662119141e+03
54,5.0095796585e-01,-5.0043267012e-01,-8.0486692488e-02,9.9657089844e+03
55,5.0046968460e-01,-4.9986192584e-01,-2.6961645484e-01,9.9651972656e+03
56,5.0027567148e-01,-4.9956712127e-01,-6.0826176405e-01,9.9647080078e+03
57,5.0096178055e-01,-5.0014495850e-01,-3.3494701982e-01,9.9642050781e+03
58,5.0134438276e-01,-5.0052189827e-01,-1.7469109595e-01,9.9637041016e+03
59,5.0092494488e-01,-4.9992728233e-01,-3.8519671559e-01,9.9632080078e+03
60,5.0050199032e-01,-4.9945023656e-01,-5.2630072832e-01,9.9627128906e+03
61,5.0070273876e-01,-4.9984800816e-01,-5.8168923855e-01,9.9622138672e+03
62,5.0069129467e-01,-4.9977543950e-01,-1.7329904437e-01,9.9617197266e+03
63,5.0025439262e-01,-4.9959722161e-01,-2.4316142499e-01,9.9612167969e+03
64,5.0033700466e-01,-4.9983087182e-01,-4.8788222671e-01,9.9607099609e+03
65,5.0029921532e-01,-4.9965921044e-01,-3.1011664867e-01,9.9602148438e+03
66,5.0026255846e-01,-4.9956965446e-01,-2.3910199106e-01,9.9597187500e+03
67,5.0082170963e-01,-4.9983021617e-01,-3.5758018494e-01,9.9592226562e+03
68,5.0060606003e-01,-5.0009030104e-01,-5.3204381466e-01,9.9587207031e+03
69,5.0039196014e-01,-5.0010061264e-01,-1.7000585794e-01,9.9582285156e+03
70,5.0040256977e-01,-5.0006872416e-01,-1.2487253547e-01,9.9577333984e+03
71,5.0017577410e-01,-4.9928691983e-01,-1.5905074775e-01,9.9572333984e+03
72,5.0006729364e-01,-4.9885398149e-01,-4.4586399198e-01,9.9567353516e+03
73,5.0056344271e-01,-4.9915817380e-01,-3.4924924374e-01,9.9562392578e+03
74,5.0064277649e-01,-4.9995389581e-01,-6.1831140518e-01,9.9557412109e+03
75,5.0062751770e-01,-5.0030839443e-01,-2.8654435277e-01,9.9552509766e+03
76,5.0018912554e-01,-4.9966222048e-01,-3.1336224079e-01,9.9547597656e+03
77,5.0031590462e-01,-4.9958592653e-01,-5.1572734118e-01,9.9542714844e+03
78,5.0059795380e-01,-4.9953296781e-01,-5.1924538612e-01,9.9537812500e+03
79,5.0040394068e-01,-4.9964216352e-01,-4.7275453806e-01,9.9532871094e+03
80,5.0035941601e-01,-5.0002634525e-01,-4.2298173904e-01,9.9527939453e+03
81,5.0004863739e-01,-4.9928733706e-01,-4.2946267128e-01,9.9523007812e+03
82,5.0027453899e-01,-4.9942731857e-01,-5.4144358635e-01,9.9518066406e+03
83,5.0068843365e-01,-4.9991878867e-01,-1.3831277192e-01,9.9513134766e+03
84,5.0030606985e-01,-4.9987331033e-01,-3.5066795349e-01,9.9508232422e+03
85,5.0031238794e-01,-4.9938958883e-01,-5.5511718988e-01,9.9503330078e+03
86,5.0071394444e-01,-4.9944281578e-01,-3.3071747422e-01,9.9498408203e+03
87,5.0078481436e-01,-4.9952521920e-01,-3.0074352026e-01,9.9493437500e+03
88,4.9979719520e-01,-4.9907255173e-01,-3.8491141796e-01,9.9488486328e+03
89,4.9980732799e-01,-4.9918228388e-01,-5.7322525978e-01,9.9483574219e+03
90,5.0041747093e-01,-4.9953222275e-01,-4.5365116000e-01,9.9478740234e+03
91,5.0020062923e-01,-4.9947437644e-01,-3.5800439119e-01,9.9473808594e+03
92,5.0017315149e-01,-4.9955189228e-01,-6.0860699415e-01,9.9468994141e+03
93,5.0027906895e-01,-4.9963417649e-01,-1.3504387438e-01,9.9463984375e+03
94,5.0022047758e-01,-4.9924561381e-01,-5.6283235550e-01,9.9459091797e+03
95,5.0031739473e-01,-4.9931269884e-01,-3.4551683068e-01,9.9454169922e+03
96,5.0021505356e-01,-4.9918603897e-01,-5.6588160992e-01,9.9449248047e+03
97,4.9958020449e-01,-4.9889922142e-01,-6.0968834162e-01,9.9444316406e+03
98,4.9997371435e-01,-4.9926316738e-01,-7.2255033255e-01,9.9439394531e+03
99,5.0021940470e-01,-4.9907684326e-01,-3.8926231861e-01,9.9434511719e+03
100,5.0023120642e-01,-4.9919638038e-01,-4.3640771508e-01,9.9429658203e+03
