step,vx_50_50,vy_50_50
0,4.9994447827e-01,-4.9994447827e-01
1,5.0124639273e-01,-5.0089991093e-01
2,5.0085222721e-01,-5.0036776066e-01
3,5.0073957443e-01,-5.0002777576e-01
4,5.0052851439e-01,-4.9974402785e-01
5,5.0044417381e-01,-4.9965500832e-01
6,5.0065892935e-01,-4.9990534782e-01
7,5.0105327368e-01,-5.0038987398e-01
8,5.0132602453e-01,-5.0077319145e-01
9,5.0133877993e-01,-5.0086492300e-01
10,5.0108551979e-01,-5.0063449144e-01
11,5.0067967176e-01,-5.0010377169e-01
12,5.0052011013e-01,-4.9977058172e-01
13,5.0044077635e-01,-4.9980369210e-01
14,5.0054293871e-01,-5.0017595291e-01
15,5.0063800812e-01,-5.0048106909e-01
16,5.0048261881e-01,-5.0058478117e-01
17,5.0017726421e-01,-5.0037330389e-01
18,4.9989873171e-01,-5.0014597178e-01
19,4.9978405237e-01,-5.0010937452e-01
20,4.9974763393e-01,-5.0020849705e-01
21,4.9979919195e-01,-5.0038141012e-01
22,4.9974238873e-01,-5.0045126677e-01
23,4.9963265657e-01,-5.0038427114e-01
24,4.9937662482e-01,-5.0011759996e-01
25,4.9923032522e-01,-4.9984043837e-01
26,4.9926719069e-01,-4.9955978990e-01
27,4.9955773354e-01,-4.9949398637e-01
28,4.9990865588e-01,-4.9955660105e-01
29,5.0011676550e-01,-4.9973013997e-01
30,5.0002890825e-01,-4.9977213144e-01
31,4.9969306588e-01,-4.9953240156e-01
32,4.9921932817e-01,-4.9926319718e-01
33,4.9887937307e-01,-4.9918049574e-01
34,4.9887570739e-01,-4.9925577641e-01
35,4.9918717146e-01,-4.9946841598e-01
36,4.9951356649e-01,-4.9974316359e-01
37,4.9950712919e-01,-4.9980440736e-01
38,4.9918481708e-01,-4.9960747361e-01
39,4.9867919087e-01,-4.9928611517e-01
40,4.9830648303e-01,-4.9912726879e-01
41,4.9820104241e-01,-4.9906966090e-01
42,4.9831080437e-01,-4.9914342165e-01
43,4.9853616953e-01,-4.9921873212e-01
44,4.9885091186e-01,-4.9933627248e-01
45,4.9900943041e-01,-4.9930247664e-01
46,4.9898868799e-01,-4.9915930629e-01
47,4.9877187610e-01,-4.9892395735e-01
48,4.9859872460e-01,-4.9880850315e-01
49,4.9856221676e-01,-4.9872842431e-01
50,4.9858245254e-01,-4.9859300256e-01
51,4.9861407280e-01,-4.9842944741e-01
52,4.9861371517e-01,-4.9843659997e-01
53,4.9865421653e-01,-4.9864193797e-01
54,4.9865674973e-01,-4.9889838696e-01
55,4.9858367443e-01,-4.9900215864e-01
56,4.9826306105e-01,-4.9885571003e-01
57,4.9792507291e-01,-4.9866732955e-01
58,4.9767729640e-01,-4.9853318930e-01
59,4.9780818820e-01,-4.9845549464e-01
60,4.9807521701e-01,-4.9840518832e-01
61,4.9835494161e-01,-4.9829214811e-01
62,4.9841684103e-01,-4.9801257253e-01
63,4.9834907055e-01,-4.9787792563e-01
64,4.9818328023e-01,-4.9772655964e-01
65,4.9809369445e-01,-4.9777480960e-01
66,4.9803009629e-01,-4.9769189954e-01
