step,vx_12_12,vy_12_12,pressure_12_12,energy
0,4.9999997020e-01,-4.9999997020e-01,0.0000000000e+00,5.7480023193e+02
1,5.0417143106e-01,-5.0391167402e-01,2.5259740353e+00,6.0448089600e+02
2,5.0356900692e-01,-5.0220406055e-01,3.2586631775e+01,6.0408087158e+02
3,5.0292223692e-01,-5.0057619810e-01,2.9909954071e+01,6.0312054443e+02
4,5.0164031982e-01,-5.0079119205e-01,2.8145713806e+01,6.0183062744e+02
5,5.0169461966e-01,-5.0064367056e-01,2.7134559631e+01,6.0033398438e+02
6,5.0081771612e-01,-5.0093662739e-01,2.9138017654e+01,5.9870996094e+02
7,4.9885523319e-01,-5.0105386972e-01,2.9536170959e+01,5.9699755859e+02
8,4.9756893516e-01,-4.9955862761e-01,3.0182830811e+01,5.9523040771e+02
9,4.9676054716e-01,-4.9891665578e-01,2.9326066971e+01,5.9341009521e+02
10,4.9543070793e-01,-4.9796959758e-01,2.8409732819e+01,5.9156201172e+02
11,4.9374803901e-01,-4.9533116817e-01,2.7492589951e+01,5.8971032715e+02
12,4.9249053001e-01,-4.9322992563e-01,2.8507360458e+01,5.8785986328e+02
13,4.9292126298e-01,-4.9320510030e-01,2.9190877914e+01,5.8598559570e+02
14,4.9306091666e-01,-4.9372708797e-01,2.7988210678e+01,5.8409802246e+02
15,4.9217635393e-01,-4.9279719591e-01,2.8906166077e+01,5.8220977783e+02
16,4.9091267586e-01,-4.9210762978e-01,2.7921550751e+01,5.8032666016e+02
17,4.9027132988e-01,-4.9207258224e-01,2.8354475021e+01,5.7843890381e+02
18,4.8944830894e-01,-4.9174728990e-01,2.6480457306e+01,5.7655627441e+02
19,4.8749518394e-01,-4.9135249853e-01,2.6279935837e+01,5.7467694092e+02
20,4.8645502329e-01,-4.9102473259e-01,2.5540960312e+01,5.7279644775e+02
21,4.8711958528e-01,-4.9047231674e-01,2.6276882172e+01,5.7091503906e+02
22,4.8754537106e-01,-4.8889666796e-01,2.7811779022e+01,5.6903259277e+02
23,4.8743337393e-01,-4.8821315169e-01,2.7415109634e+01,5.6715484619e+02
24,4.8735845089e-01,-4.8840817809e-01,2.6858491898e+01,5.6527465820e+02
25,4.8593869805e-01,-4.8780226707e-01,2.5626455307e+01,5.6341040039e+02
26,4.8378106952e-01,-4.8671191931e-01,2.6420536041e+01,5.6154290771e+02
27,4.8359388113e-01,-4.8627445102e-01,2.7715705872e+01,5.5969177246e+02
28,4.8419049382e-01,-4.8688387871e-01,2.8472707748e+01,5.5783850098e+02
29,4.8316204548e-01,-4.8657876253e-01,2.8177082062e+01,5.5599871826e+02
30,4.8048263788e-01,-4.8433804512e-01,2.6505146027e+01,5.5415795898e+02
31,4.7888046503e-01,-4.8188087344e-01,2.6595829010e+01,5.5232580566e+02
