step,vx_25_25,vy_25_25,pressure_25_25,energy
0,4.9975326657e-01,-4.9975326657e-01,0.0000000000e+00,2.3998945312e+03
1,5.0249308348e-01,-5.0222182274e-01,3.7764542103e+00,2.4608264160e+03
2,5.0220638514e-01,-5.0232434273e-01,1.2005668879e+00,2.4623679199e+03
3,5.0154834986e-01,-5.0227606297e-01,-1.0804466009e+00,2.4627089844e+03
4,5.0126463175e-01,-5.0208783150e-01,-1.0627169609e+00,2.4623398438e+03
5,5.0105297565e-01,-5.0063645840e-01,-2.2810595110e-03,2.4615395508e+03
6,5.0057327747e-01,-4.9916338921e-01,-2.8926417232e-01,2.4604392090e+03
7,5.0132536888e-01,-4.9974822998e-01,-3.3607918024e-01,2.4591601562e+03
8,5.0228810310e-01,-5.0098359585e-01,-1.2305281162e+00,2.4577458496e+03
9,5.0151944160e-01,-5.0086480379e-01,-2.3425361514e-01,2.4562441406e+03
10,5.0009250641e-01,-5.0011491776e-01,-5.8971452713e-01,2.4546633301e+03
11,4.9938225746e-01,-4.9941587448e-01,-5.6178689003e-01,2.4530187988e+03
12,4.9959036708e-01,-4.9936038256e-01,-7.6505720615e-01,2.4513278809e+03
13,4.9986398220e-01,-4.9999293685e-01,-4.6214294434e-01,2.4496071777e+03
14,5.0000059605e-01,-5.0025087595e-01,2.9676103592e-01,2.4478535156e+03
15,4.9902090430e-01,-4.9981540442e-01,-7.7916061878e-01,2.4460878906e+03
16,4.9796199799e-01,-4.9847969413e-01,-9.1355997324e-01,2.4442905273e+03
17,4.9774417281e-01,-4.9752527475e-01,-1.7939852476e+00,2.4424794922e+03
18,4.9834215641e-01,-4.9767836928e-01,-1.6795455217e+00,2.4406562500e+03
19,4.9928754568e-01,-4.9886479974e-01,-8.5222041607e-01,2.4388154297e+03
20,4.9923071265e-01,-4.9927312136e-01,-8.9228641987e-01,2.4369616699e+03
21,4.9804201722e-01,-4.9854299426e-01,-1.5085054636e+00,2.4351035156e+03
22,4.9722701311e-01,-4.9756854773e-01,-1.3391275406e+00,2.4332414551e+03
23,4.9741145968e-01,-4.9700474739e-01,-7.4243450165e-01,2.4313764648e+03
24,4.9800792336e-01,-4.9769669771e-01,-3.2784536481e-01,2.4295026855e+03
25,4.9780333042e-01,-4.9801367521e-01,-6.2365239859e-01,2.4276191406e+03
26,4.9662238359e-01,-4.9716383219e-01,-4.0544033051e-01,2.4257302246e+03
27,4.9582090974e-01,-4.9646893144e-01,-1.3590391874e+00,2.4238432617e+03
28,4.9614256620e-01,-4.9684479833e-01,-1.2960275412e+00,2.4219401855e+03
29,4.9648562074e-01,-4.9742677808e-01,-1.5682594776e+00,2.4200476074e+03
30,4.9574580789e-01,-4.9671804905e-01,-9.4966065884e-01,2.4181552734e+03
31,4.9518772960e-01,-4.9588841200e-01,-6.2096613646e-01,2.4162578125e+03
32,4.9591803551e-01,-4.9557998776e-01,-1.0817220062e-01,2.4143598633e+03
33,4.9656820297e-01,-4.9560931325e-01,-1.2613760233e+00,2.4124626465e+03
34,4.9650400877e-01,-4.9600726366e-01,-1.8587195873e+00,2.4105566406e+03
35,4.9573403597e-01,-4.9630853534e-01,-2.2502133846e+00,2.4086582031e+03
36,4.9499931931e-01,-4.9603113532e-01,-1.0142589808e+00,2.4067587891e+03
37,4.9443238974e-01,-4.9544250965e-01,-4.4426393509e-01,2.4048552246e+03
38,4.9450519681e-01,-4.9498054385e-01,-5.8644843102e-01,2.4029519043e+03
39,4.9469211698e-01,-4.9508941174e-01,-5.2939242125e-01,2.4010510254e+03
40,4.9459111691e-01,-4.9531790614e-01,-9.4514584541e-01,2.3991459961e+03
41,4.9403184652e-01,-4.9473410845e-01,-5.3923809528e-01,2.3972436523e+03
42,4.9324545264e-01,-4.9421787262e-01,-9.8935699463e-01,2.3953415527e+03
43,4.9295133352e-01,-4.9382156134e-01,-1.3006845713e+00,2.3934316406e+03
44,4.9309036136e-01,-4.9350419641e-01,-1.2804809809e+00,2.3915288086e+03
45,4.9311637878e-01,-4.9383431673e-01,-1.3573029041e+00,2.3896308594e+03
46,4.9330517650e-01,-4.9387499690e-01,-1.3158454895e+00,2.3877321777e+03
47,4.9299615622e-01,-4.9404659867e-01,-1.7094568014e+00,2.3858342285e+03
48,4.9252489209e-01,-4.9378260970e-01,-2.0611274242e+00,2.3839309082e+03
49,4.9175515771e-01,-4.9315750599e-01,-1.6815887690e+00,2.3820297852e+03
50,4.9187403917e-01,-4.9278926849e-01,-1.0990275145e+00,2.3801350098e+03
51,4.9227407575e-01,-4.9276569486e-01,-6.7622184753e-01,2.3782358398e+03
52,4.9249023199e-01,-4.9261921644e-01,-8.9270323515e-01,2.3763376465e+03
53,4.9201551080e-01,-4.9193292856e-01,-8.8747012615e-01,2.3744453125e+03
54,4.9150744081e-01,-4.9116584659e-01,-1.9177769423e+00,2.3725463867e+03
55,4.9158087373e-01,-4.9147585034e-01,-1.3111844063e+00,2.3706501465e+03
