step,vx_25_25,vy_25_25,pressure_25_25,energy
0,4.9975326657e-01,-4.9975326657e-01,0.0000000000e+00,2.3998947754e+03
1,5.0268143415e-01,-5.0274276733e-01,1.6129201651e-01,2.4616674805e+03
2,5.0173962116e-01,-5.0085717440e-01,-1.3470032215e+00,2.4615031738e+03
3,5.0059330463e-01,-5.0071167946e-01,-3.6209654063e-02,2.4601049805e+03
4,5.0104683638e-01,-5.0081259012e-01,-1.4776226282e+00,2.4580393066e+03
5,4.9991750717e-01,-4.9908804893e-01,-1.7483316660e+00,2.4555500488e+03
6,5.0021553040e-01,-4.9874332547e-01,-1.0304114819e+00,2.4528298340e+03
7,4.9988090992e-01,-5.0077307224e-01,-7.0809179544e-01,2.4499243164e+03
8,4.9894389510e-01,-4.9906662107e-01,-7.3859137297e-01,2.4468930664e+03
9,5.0039726496e-01,-4.9889886379e-01,-1.4701092243e+00,2.4437387695e+03
10,4.9785012007e-01,-4.9832743406e-01,-9.2756289244e-01,2.4405200195e+03
11,4.9844655395e-01,-4.9840316176e-01,-1.6578103304e+00,2.4372739258e+03
12,4.9669009447e-01,-4.9791613221e-01,-1.3365713358e+00,2.4339650879e+03
13,4.9754089117e-01,-4.9811998010e-01,-1.1166039705e+00,2.4306494141e+03
14,4.9601754546e-01,-4.9555292726e-01,-1.4977847338e+00,2.4273205566e+03
15,4.9624964595e-01,-4.9695178866e-01,-1.4919377565e+00,2.4239726562e+03
16,4.9515542388e-01,-4.9580168724e-01,-1.7117633820e+00,2.4205991211e+03
17,4.9579036236e-01,-4.9614045024e-01,-1.3638862371e+00,2.4172084961e+03
18,4.9432009459e-01,-4.9506330490e-01,-1.6726927757e+00,2.4138151855e+03
19,4.9492827058e-01,-4.9406981468e-01,-2.0698392391e+00,2.4104284668e+03
20,4.9620905519e-01,-4.9424108863e-01,-1.4308322668e+00,2.4070073242e+03
21,4.9362978339e-01,-4.9535140395e-01,-2.1204712391e+00,2.4036018066e+03
22,4.9353861809e-01,-4.9465352297e-01,-1.6084603071e+00,2.4001906738e+03
23,4.9318856001e-01,-4.9445769191e-01,-1.9800568819e+00,2.3968005371e+03
24,4.9201834202e-01,-4.9535661936e-01,-2.7215874195e+00,2.3934086914e+03
25,4.9102434516e-01,-4.9549579620e-01,-2.0812003613e+00,2.3899965820e+03
26,4.9356952310e-01,-4.9242398143e-01,-1.7975796461e+00,2.3865839844e+03
27,4.9223574996e-01,-4.9200528860e-01,-2.8017375469e+00,2.3831611328e+03
28,4.9229574203e-01,-4.9335947633e-01,-2.6473605633e+00,2.3797661133e+03
29,4.9083763361e-01,-4.9298593402e-01,-2.2963809967e+00,2.3763691406e+03
30,4.9090287089e-01,-4.9191597104e-01,-2.8345863819e+00,2.3729611816e+03
31,4.9118757248e-01,-4.9250918627e-01,-2.8267223835e+00,2.3695563965e+03
32,4.9053588510e-01,-4.9249464273e-01,-2.5418848991e+00,2.3661721191e+03
33,4.8951309919e-01,-4.9317526817e-01,-2.5310151577e+00,2.3627783203e+03
34,4.8782053590e-01,-4.9032044411e-01,-2.3572132587e+00,2.3593999023e+03
35,4.8973998427e-01,-4.9021819234e-01,-2.8710315228e+00,2.3560185547e+03
36,4.8965689540e-01,-4.8966425657e-01,-3.3886547089e+00,2.3526564941e+03
37,4.8946833611e-01,-4.8887479305e-01,-3.2466170788e+00,2.3493007812e+03
38,4.8960879445e-01,-4.8973995447e-01,-3.1542818546e+00,2.3459484863e+03
39,4.8841691017e-01,-4.8818647861e-01,-3.2657260895e+00,2.3426044922e+03
40,4.8866021633e-01,-4.8908928037e-01,-3.4680919647e+00,2.3392626953e+03
