step,vx_25_25,vy_25_25,pressure_25_25,energy
0,4.9975326657e-01,-4.9975326657e-01,0.0000000000e+00,2.3998945312e+03
1,5.0280922651e-01,-5.0193065405e-01,-3.3382606506e-01,2.4623481445e+03
2,5.0259357691e-01,-5.0148129463e-01,-1.4772086143e+00,2.4640100098e+03
3,5.0223416090e-01,-5.0145214796e-01,-1.9660004377e+00,2.4644814453e+03
4,5.0199615955e-01,-5.0188666582e-01,-1.4853234291e+00,2.4642336426e+03
5,5.0155240297e-01,-5.0191462040e-01,-1.6677232981e+00,2.4635588379e+03
6,5.0092869997e-01,-5.0161904097e-01,-3.5791257024e-01,2.4626098633e+03
7,5.0029069185e-01,-5.0115722418e-01,1.2497594208e-01,2.4614746094e+03
8,5.0011694431e-01,-5.0050723553e-01,1.2504194975e+00,2.4602131348e+03
9,4.9990871549e-01,-4.9998101592e-01,-2.7926057577e-01,2.4588508301e+03
10,4.9977535009e-01,-4.9966827035e-01,-5.2554559708e-01,2.4574155273e+03
11,5.0001275539e-01,-4.9965739250e-01,-8.7963056564e-01,2.4559255371e+03
12,5.0025254488e-01,-5.0002181530e-01,-1.6349500418e+00,2.4544033203e+03
13,5.0010138750e-01,-5.0024515390e-01,-1.4361829758e+00,2.4528383789e+03
14,4.9965199828e-01,-5.0029021502e-01,-1.4694191217e+00,2.4512558594e+03
15,4.9876698852e-01,-4.9988859892e-01,-9.7298854589e-01,2.4496540527e+03
16,4.9789190292e-01,-4.9945977330e-01,-8.1140083075e-01,2.4480314941e+03
17,4.9744695425e-01,-4.9911737442e-01,-3.1073120236e-01,2.4463847656e+03
18,4.9756902456e-01,-4.9913838506e-01,3.5892802477e-01,2.4447280273e+03
19,4.9801704288e-01,-4.9925902486e-01,1.1058326811e-01,2.4430583496e+03
20,4.9832397699e-01,-4.9895799160e-01,4.2016041279e-01,2.4413764648e+03
21,4.9796605110e-01,-4.9819642305e-01,-6.4785772562e-01,2.4396872559e+03
22,4.9735096097e-01,-4.9733304977e-01,-8.4180033207e-01,2.4379963379e+03
23,4.9710550904e-01,-4.9684497714e-01,-1.0131168365e+00,2.4362939453e+03
24,4.9729681015e-01,-4.9708315730e-01,-1.0786197186e+00,2.4345793457e+03
25,4.9749824405e-01,-4.9763321877e-01,-1.8263612986e+00,2.4328645020e+03
26,4.9765580893e-01,-4.9825835228e-01,-1.5680121183e+00,2.4311433105e+03
27,4.9733313918e-01,-4.9823737144e-01,-2.0065412521e+00,2.4294174805e+03
28,4.9680310488e-01,-4.9798896909e-01,-2.4450166225e+00,2.4276901855e+03
29,4.9627619982e-01,-4.9735462666e-01,-1.7344182730e+00,2.4259653320e+03
30,4.9623864889e-01,-4.9668195844e-01,-6.9248414040e-01,2.4242399902e+03
31,4.9659964442e-01,-4.9621379375e-01,-3.2295051217e-01,2.4225112305e+03
32,4.9692970514e-01,-4.9631792307e-01,1.6052800417e-01,2.4207785645e+03
33,4.9688109756e-01,-4.9670946598e-01,-4.4265913963e-01,2.4190441895e+03
34,4.9649807811e-01,-4.9698844552e-01,-1.3218573332e+00,2.4173093262e+03
35,4.9595761299e-01,-4.9663427472e-01,-1.3822010756e+00,2.4155705566e+03
36,4.9531269073e-01,-4.9578565359e-01,-8.1567156315e-01,2.4138317871e+03
37,4.9486312270e-01,-4.9509370327e-01,-1.0541430712e+00,2.4120927734e+03
38,4.9487677217e-01,-4.9491599202e-01,-5.7887297869e-01,2.4103510742e+03
39,4.9527296424e-01,-4.9511745572e-01,-4.6230012178e-01,2.4086093750e+03
40,4.9576854706e-01,-4.9523204565e-01,-3.9844143391e-01,2.4068671875e+03
41,4.9574941397e-01,-4.9518978596e-01,-1.3721112907e-01,2.4051250000e+03
42,4.9513188004e-01,-4.9507725239e-01,-6.1210525036e-01,2.4033842773e+03
43,4.9441060424e-01,-4.9503013492e-01,-7.6094853878e-01,2.4016411133e+03
44,4.9396774173e-01,-4.9507048726e-01,-1.4059869051e+00,2.3999001465e+03
45,4.9366107583e-01,-4.9481230974e-01,-1.8791129589e+00,2.3981591797e+03
46,4.9331074953e-01,-4.9430698156e-01,-2.1379566193e+00,2.3964174805e+03
47,4.9288529158e-01,-4.9400681257e-01,-1.6803053617e+00,2.3946770020e+03
48,4.9257585406e-01,-4.9408739805e-01,-1.2201873064e+00,2.3929365234e+03
49,4.9258086085e-01,-4.9427056313e-01,-6.6174763441e-01,2.3911960449e+03
50,4.9258440733e-01,-4.9425500631e-01,-1.0826795101e+00,2.3894565430e+03
51,4.9224531651e-01,-4.9389928579e-01,-1.3893603086e+00,2.3877131348e+03
52,4.9184358120e-01,-4.9368125200e-01,-1.0663392544e+00,2.3859709473e+03
53,4.9171164632e-01,-4.9368321896e-01,-1.3058475256e+00,2.3842336426e+03
54,4.9213162065e-01,-4.9367201328e-01,-5.2302128077e-01,2.3824968262e+03
55,4.9251502752e-01,-4.9343392253e-01,-5.8474183083e-01,2.3807595215e+03
56,4.9242150784e-01,-4.9280911684e-01,-8.5136932135e-01,2.3790236816e+03
57,4.9212852120e-01,-4.9195408821e-01,-6.8990898132e-01,2.3772888184e+03
58,4.9170848727e-01,-4.9134811759e-01,-3.1305575371e-01,2.3755505371e+03
59,4.9180588126e-01,-4.9135309458e-01,-1.0769381523e+00,2.3738181152e+03
60,4.9201667309e-01,-4.9160814285e-01,-1.4006909132e+00,2.3720854492e+03
61,4.9228322506e-01,-4.9172696471e-01,-1.7860593796e+00,2.3703510742e+03
62,4.9205148220e-01,-4.9160930514e-01,-1.9744796753e+00,2.3686166992e+03
63,4.9158829451e-01,-4.9101716280e-01,-1.6660147905e+00,2.3668862305e+03
64,4.9115082622e-01,-4.9052500725e-01,-7.4672764540e-01,2.3651572266e+03
65,4.9097260833e-01,-4.9049416184e-01,-3.0445367098e-02,2.3634267578e+03
66,4.9126547575e-01,-4.9068301916e-01,-1.1794064939e-01,2.3616987305e+03
67,4.9159398675e-01,-4.9078977108e-01,-1.8161162734e-01,2.3599697266e+03
68,4.9134662747e-01,-4.9068313837e-01,-5.0325626135e-01,2.3582436523e+03
69,4.9068519473e-01,-4.9043470621e-01,-1.5001161098e+00,2.3565192871e+03
70,4.8990026116e-01,-4.9017387629e-01,-2.0222167969e+00,2.3547924805e+03
71,4.8968923092e-01,-4.9032145739e-01,-1.4955493212e+00,2.3530659180e+03
72,4.8970690370e-01,-4.9073681235e-01,-1.6024985313e+00,2.3513442383e+03
73,4.8985284567e-01,-4.9111676216e-01,-8.5881590843e-01,2.3496264648e+03
74,4.8954710364e-01,-4.9121439457e-01,-3.8898169994e-01,2.3479023438e+03
75,4.8896896839e-01,-4.9080312252e-01,2.4478125572e-01,2.3461794434e+03
76,4.8854562640e-01,-4.9017548561e-01,4.3990504742e-01,2.3444645996e+03
77,4.8823207617e-01,-4.8935779929e-01,-4.5712199807e-01,2.3427482910e+03
78,4.8817321658e-01,-4.8880267143e-01,-1.0529402494e+00,2.3410307617e+03
79,4.8813924193e-01,-4.8861175776e-01,-1.0694938898e+00,2.3393137207e+03
80,4.8820629716e-01,-4.8881754279e-01,-1.5553239584e+00,2.3376044922e+03
81,4.8823672533e-01,-4.8928737640e-01,-1.1478974819e+00,2.3358933105e+03
82,4.8835355043e-01,-4.8933854699e-01,-9.1620814800e-01,2.3341779785e+03
83,4.8806324601e-01,-4.8899516463e-01,-1.1472276449e+00,2.3324638672e+03
84,4.8732584715e-01,-4.8828652501e-01,-1.2976359129e+00,2.3307568359e+03
85,4.8681983352e-01,-4.8754221201e-01,-8.3849227428e-01,2.3290478516e+03
86,4.8650273681e-01,-4.8713487387e-01,-2.1908700466e+00,2.3273403320e+03
87,4.8670372367e-01,-4.8716214299e-01,-1.8234164715e+00,2.3256325684e+03
88,4.8707255721e-01,-4.8739090562e-01,-1.6742635965e+00,2.3239296875e+03
89,4.8719361424e-01,-4.8764771223e-01,-1.3936474323e+00,2.3222243652e+03
90,4.8695328832e-01,-4.8744136095e-01,-1.1992579699e+00,2.3205249023e+03
91,4.8646816611e-01,-4.8693853617e-01,-1.1637309790e+00,2.3188254395e+03
92,4.8605620861e-01,-4.8655706644e-01,-5.3434681892e-01,2.3171252441e+03
