step,vx_25_25,vy_25_25
0,4.9976587296e-01,-4.9976587296e-01
1,5.0245541334e-01,-5.0245541334e-01
2,5.0205516815e-01,-5.0202488899e-01
3,5.0200808048e-01,-5.0193548203e-01
4,5.0196224451e-01,-5.0184476376e-01
5,5.0191771984e-01,-5.0175273418e-01
6,5.0187444687e-01,-5.0165945292e-01
7,5.0183242559e-01,-5.0156497955e-01
8,5.0179165602e-01,-5.0146931410e-01
9,5.0175213814e-01,-5.0137245655e-01
10,5.0171381235e-01,-5.0127440691e-01
11,5.0167673826e-01,-5.0117522478e-01
12,5.0164085627e-01,-5.0107485056e-01
13,5.0160616636e-01,-5.0097334385e-01
14,5.0157272816e-01,-5.0087070465e-01
15,5.0154042244e-01,-5.0076699257e-01
16,5.0150930882e-01,-5.0066220760e-01
17,5.0147938728e-01,-5.0055629015e-01
18,5.0145065784e-01,-5.0044935942e-01
19,5.0142312050e-01,-5.0034135580e-01
20,5.0139677525e-01,-5.0023227930e-01
21,5.0137150288e-01,-5.0012218952e-01
22,5.0134736300e-01,-5.0001114607e-01
23,5.0132441521e-01,-4.9989902973e-01
24,5.0130254030e-01,-4.9978601933e-01
25,5.0128179789e-01,-4.9967193604e-01
26,5.0126212835e-01,-4.9955695868e-01
27,5.0124359131e-01,-4.9944108725e-01
28,5.0122618675e-01,-4.9932426214e-01
29,5.0120979548e-01,-4.9920648336e-01
30,5.0119453669e-01,-4.9908781052e-01
31,5.0118035078e-01,-4.9896830320e-01
32,5.0116717815e-01,-4.9884796143e-01
33,5.0115507841e-01,-4.9872672558e-01
34,5.0114405155e-01,-4.9860471487e-01
35,5.0113403797e-01,-4.9848186970e-01
36,5.0112503767e-01,-4.9835824966e-01
37,5.0111705065e-01,-4.9823391438e-01
38,5.0111007690e-01,-4.9810874462e-01
39,5.0110411644e-01,-4.9798285961e-01
40,5.0109916925e-01,-4.9785619974e-01
41,5.0025767088e-01,-4.9875837564e-01
42,5.0016683340e-01,-4.9876567721e-01
43,5.0008487701e-01,-4.9875080585e-01
44,5.0001406670e-01,-4.9872601032e-01
45,4.9994939566e-01,-4.9869590998e-01
46,4.9988839030e-01,-4.9866300821e-01
47,4.9987435341e-01,-4.9859654903e-01
48,4.9987229705e-01,-4.9844935536e-01
49,4.9985268712e-01,-4.9830338359e-01
50,4.9980318546e-01,-4.9817597866e-01
51,4.9973809719e-01,-4.9806797504e-01
52,4.9954354763e-01,-4.9798715115e-01
53,4.9965098500e-01,-4.9776229262e-01
54,4.9939170480e-01,-4.9772936106e-01
55,4.9940228462e-01,-4.9756607413e-01
56,4.9931663275e-01,-4.9747559428e-01
57,4.9928206205e-01,-4.9731510878e-01
58,4.9918973446e-01,-4.9730414152e-01
59,4.9921140075e-01,-4.9713370204e-01
60,4.9917611480e-01,-4.9707886577e-01
61,4.9914425611e-01,-4.9702370167e-01
62,4.9889555573e-01,-4.9713367224e-01
63,4.9901998043e-01,-4.9694660306e-01
64,4.9877479672e-01,-4.9706774950e-01
65,4.9893027544e-01,-4.9678641558e-01
66,4.9863621593e-01,-4.9696934223e-01
67,4.9884054065e-01,-4.9658322334e-01
68,4.9844855070e-01,-4.9685063958e-01
69,4.9842134118e-01,-4.9668174982e-01
70,4.9836620688e-01,-4.9655818939e-01
71,4.9841091037e-01,-4.9633461237e-01
72,4.9845156074e-01,-4.9614202976e-01
73,4.9822893739e-01,-4.9618151784e-01
74,4.9822789431e-01,-4.9602800608e-01
75,4.9809616804e-01,-4.9602544308e-01
76,4.9823284149e-01,-4.9572300911e-01
77,4.9780285358e-01,-4.9605867267e-01
78,4.9784341455e-01,-4.9588191509e-01
79,4.9782994390e-01,-4.9576115608e-01
80,4.9783101678e-01,-4.9564233422e-01
81,4.9784603715e-01,-4.9554058909e-01
82,4.9768427014e-01,-4.9554130435e-01
83,4.9768811464e-01,-4.9542409182e-01
84,4.9768713117e-01,-4.9526610970e-01
85,4.9755847454e-01,-4.9522516131e-01
86,4.9757298827e-01,-4.9509489536e-01
87,4.9730548263e-01,-4.9519664049e-01
88,4.9734374881e-01,-4.9500072002e-01
89,4.9721369147e-01,-4.9499246478e-01
90,4.9726146460e-01,-4.9477404356e-01
91,4.9695974588e-01,-4.9493724108e-01
92,4.9704000354e-01,-4.9472093582e-01
93,4.9685886502e-01,-4.9473160505e-01
94,4.9699085951e-01,-4.9447393417e-01
95,4.9678820372e-01,-4.9454754591e-01
96,4.9683323503e-01,-4.9434891343e-01
97,4.9661204219e-01,-4.9446183443e-01
98,4.9679934978e-01,-4.9412658811e-01
99,4.9669882655e-01,-4.9409592152e-01
100,4.9656230211e-01,-4.9412080646e-01
101,4.9642056227e-01,-4.9414512515e-01
102,4.9630054832e-01,-4.9414852262e-01
103,4.9633440375e-01,-4.9392563105e-01
104,4.9623438716e-01,-4.9390655756e-01
105,4.9612203240e-01,-4.9388423562e-01
106,4.9622699618e-01,-4.9361899495e-01
107,4.9584302306e-01,-4.9387684464e-01
108,4.9587574601e-01,-4.9368688464e-01
109,4.9583205581e-01,-4.9358120561e-01
110,4.9585980177e-01,-4.9341678619e-01
111,4.9579983950e-01,-4.9333208799e-01
112,4.9565508962e-01,-4.9332782626e-01
113,4.9560743570e-01,-4.9323353171e-01
114,4.9546438456e-01,-4.9325335026e-01
115,4.9569323659e-01,-4.9288862944e-01
116,4.9556854367e-01,-4.9288001657e-01
117,4.9537810683e-01,-4.9294701219e-01
118,4.9523559213e-01,-4.9297201633e-01
119,4.9522215128e-01,-4.9286717176e-01
120,4.9508342147e-01,-4.9289587140e-01
121,4.9513155222e-01,-4.9267628789e-01
122,4.9493297935e-01,-4.9278327823e-01
123,4.9505686760e-01,-4.9250623584e-01
124,4.9473744631e-01,-4.9268147349e-01
125,4.9484539032e-01,-4.9243423343e-01
126,4.9474000931e-01,-4.9239230156e-01
127,4.9465793371e-01,-4.9235236645e-01
128,4.9455204606e-01,-4.9230632186e-01
129,4.9467772245e-01,-4.9205428362e-01
130,4.9457454681e-01,-4.9201595783e-01
