step,vx_12_12,vy_12_12,pressure_12_12,energy
0,4.9999997020e-01,-4.9999997020e-01,0.0000000000e+00,5.7480023193e+02
1,5.0543117523e-01,-5.0543117523e-01,-4.5357483032e-05,6.2462445068e+02
2,5.0441038609e-01,-5.0443249941e-01,2.9044044495e+01,6.2354412842e+02
3,5.0384950638e-01,-5.0341355801e-01,2.9329547882e+01,6.2246185303e+02
4,5.0356537104e-01,-5.0280845165e-01,2.9316596985e+01,6.2138409424e+02
5,5.0331205130e-01,-5.0217163563e-01,2.9316596985e+01,6.2030969238e+02
6,5.0308632851e-01,-5.0150775909e-01,2.9316596985e+01,6.1923944092e+02
7,5.0288701057e-01,-5.0081884861e-01,2.9316596985e+01,6.1817456055e+02
8,5.0271332264e-01,-5.0010609627e-01,2.9316596985e+01,6.1711584473e+02
9,5.0256460905e-01,-4.9937078357e-01,2.9316596985e+01,6.1606420898e+02
10,5.0244009495e-01,-4.9861386418e-01,2.9316596985e+01,6.1502087402e+02
11,5.0233900547e-01,-4.9783650041e-01,2.9316596985e+01,6.1398657227e+02
12,5.0140303373e-01,-4.9844449759e-01,2.7210742950e+01,6.1295153809e+02
13,5.0050979853e-01,-4.9901640415e-01,2.7210742950e+01,6.1189050293e+02
14,4.9968844652e-01,-4.9950444698e-01,2.7144388199e+01,6.1080590820e+02
15,5.0038230419e-01,-4.9733734131e-01,2.8328296661e+01,6.0971380615e+02
16,5.0099527836e-01,-4.9527040124e-01,2.8330680847e+01,6.0867700195e+02
17,4.9975392222e-01,-4.9615582824e-01,2.8495786667e+01,6.0765899658e+02
18,4.9917328358e-01,-4.9570247531e-01,2.9935461044e+01,6.0661627197e+02
19,4.9878072739e-01,-4.9507513642e-01,2.9340465546e+01,6.0556915283e+02
20,4.9839386344e-01,-4.9445387721e-01,2.9340465546e+01,6.0452569580e+02
21,4.9803036451e-01,-4.9382147193e-01,2.9340465546e+01,6.0348699951e+02
22,4.9749588966e-01,-4.9322098494e-01,2.9214517593e+01,6.0245416260e+02
23,4.9701401591e-01,-4.9256134033e-01,2.9329801559e+01,6.0142352295e+02
24,4.9657085538e-01,-4.9184900522e-01,2.9329801559e+01,6.0039514160e+02
25,4.9615305662e-01,-4.9109792709e-01,2.9329801559e+01,5.9937011719e+02
26,4.9598938227e-01,-4.9091780186e-01,2.6816785812e+01,5.9834246826e+02
27,4.9548533559e-01,-4.9072313309e-01,2.6504705429e+01,5.9732238770e+02
28,4.9499478936e-01,-4.9053448439e-01,2.6504705429e+01,5.9630151367e+02
29,4.9489742517e-01,-4.9018672109e-01,2.7083488464e+01,5.9528613281e+02
30,4.9433055520e-01,-4.8992675543e-01,2.5893135071e+01,5.9426788330e+02
31,4.9425688386e-01,-4.8925304413e-01,2.7945123672e+01,5.9324975586e+02
32,4.9412143230e-01,-4.8863756657e-01,2.7945123672e+01,5.9224084473e+02
33,4.9349209666e-01,-4.8843854666e-01,2.6312755585e+01,5.9123718262e+02
34,4.9284133315e-01,-4.8824423552e-01,2.7946111679e+01,5.9023559570e+02
35,4.9230119586e-01,-4.8796713352e-01,2.7946111679e+01,5.8923321533e+02
36,4.9175429344e-01,-4.8759734631e-01,2.8623846054e+01,5.8823168945e+02
37,4.9123311043e-01,-4.8720330000e-01,2.8623846054e+01,5.8723156738e+02
38,4.9124997854e-01,-4.8608803749e-01,2.9480035782e+01,5.8623626709e+02
39,4.9037608504e-01,-4.8592764139e-01,2.7678394318e+01,5.8524865723e+02
40,4.9029985070e-01,-4.8499867320e-01,2.7691421509e+01,5.8426287842e+02
41,4.8982080817e-01,-4.8463609815e-01,2.9798137665e+01,5.8327740479e+02
42,4.8933121562e-01,-4.8428660631e-01,2.9798137665e+01,5.8229534912e+02
43,4.8896703124e-01,-4.8374801874e-01,2.6446706772e+01,5.8131903076e+02
44,4.8827701807e-01,-4.8366373777e-01,2.6278146744e+01,5.8034472656e+02
45,4.8769003153e-01,-4.8344868422e-01,2.7137022018e+01,5.7937152100e+02
