step,vx_25_25,vy_25_25,pressure_25_25,energy
0,4.9975326657e-01,-4.9975326657e-01,0.0000000000e+00,2.3998945312e+03
1,5.0267070532e-01,-5.0267070532e-01,8.5747033154e-06,2.4999938965e+03
2,5.0217306614e-01,-5.0211542845e-01,-1.0898286104e+00,2.4972480469e+03
3,5.0170379877e-01,-5.0152754784e-01,-1.0898286104e+00,2.4945017090e+03
4,5.0186526775e-01,-5.0137764215e-01,-1.2892887592e+00,2.4917509766e+03
5,5.0204449892e-01,-5.0121158361e-01,-1.2892887592e+00,2.4890183105e+03
6,5.0222980976e-01,-5.0103712082e-01,-1.2892887592e+00,2.4863071289e+03
7,5.0241959095e-01,-5.0085633993e-01,-1.2892887592e+00,2.4836208496e+03
8,5.0159204006e-01,-5.0045633316e-01,1.0424752235e+00,2.4809433594e+03
9,5.0081300735e-01,-5.0001251698e-01,1.0424752235e+00,2.4782214355e+03
10,5.0094085932e-01,-4.9942761660e-01,-2.1888558865e+00,2.4754665527e+03
11,5.0107401609e-01,-4.9883502722e-01,-2.1888558865e+00,2.4727724609e+03
12,5.0086683035e-01,-4.9898433685e-01,-1.5057674050e-01,2.4701098633e+03
13,5.0068986416e-01,-4.9910444021e-01,-1.5057674050e-01,2.4674069824e+03
14,5.0053095818e-01,-4.9852201343e-01,-1.5143562555e+00,2.4646940918e+03
15,5.0036644936e-01,-4.9795296788e-01,-1.5143562555e+00,2.4620166016e+03
16,5.0012803078e-01,-4.9777811766e-01,5.7478630543e-01,2.4593464355e+03
17,4.9993962049e-01,-4.9753737450e-01,5.8805477619e-01,2.4566618652e+03
18,4.9974423647e-01,-4.9729406834e-01,5.8805477619e-01,2.4539626465e+03
19,4.9934053421e-01,-4.9681305885e-01,-2.2010042667e+00,2.4512949219e+03
20,4.9916762114e-01,-4.9644845724e-01,-4.5238491893e-01,2.4486235352e+03
21,4.9899902940e-01,-4.9607318640e-01,-4.5238491893e-01,2.4459729004e+03
22,4.9884590507e-01,-4.9568748474e-01,-4.5238491893e-01,2.4433454590e+03
23,4.9870857596e-01,-4.9529200792e-01,-4.5238491893e-01,2.4407446289e+03
24,4.9828442931e-01,-4.9539899826e-01,-1.3380569220e+00,2.4381540527e+03
25,4.9790328741e-01,-4.9545973539e-01,-1.3380569220e+00,2.4355070801e+03
26,4.9783620238e-01,-4.9509489536e-01,-5.2219873667e-01,2.4328317871e+03
27,4.9776870012e-01,-4.9474948645e-01,-5.2219873667e-01,2.4302102051e+03
28,4.9744600058e-01,-4.9463576078e-01,-1.1563209295e+00,2.4276159668e+03
29,4.9722129107e-01,-4.9440312386e-01,-3.2443141937e-01,2.4250004883e+03
30,4.9697399139e-01,-4.9419802427e-01,-3.2443141937e-01,2.4223803711e+03
31,4.9676632881e-01,-4.9401587248e-01,-3.9740958810e-01,2.4197612305e+03
32,4.9657300115e-01,-4.9381357431e-01,-3.9740958810e-01,2.4171528320e+03
33,4.9639573693e-01,-4.9359309673e-01,-3.9740958810e-01,2.4145556641e+03
34,4.9606060982e-01,-4.9326282740e-01,-7.2468984127e-01,2.4119753418e+03
35,4.9579039216e-01,-4.9290323257e-01,-7.2468984127e-01,2.4093969727e+03
36,4.9555736780e-01,-4.9253237247e-01,-7.2468984127e-01,2.4068222656e+03
37,4.9538451433e-01,-4.9254113436e-01,1.6908333302e+00,2.4042507324e+03
38,4.9507659674e-01,-4.9240532517e-01,-2.3103427887e-01,2.4016892090e+03
39,4.9480092525e-01,-4.9224182963e-01,-2.3103427887e-01,2.3991240234e+03
