step,vx_37_37,vy_37_37,pressure_37_37,energy
0,4.9999997020e-01,-4.9999997020e-01,0.0000000000e+00,5.4749282227e+03
1,5.0187188387e-01,-5.0187188387e-01,-6.1086917412e-05,5.6251157227e+03
2,5.0163942575e-01,-5.0167763233e-01,1.0011907578e+01,5.6241132812e+03
3,5.0158637762e-01,-5.0153940916e-01,9.9554710388e+00,5.6231064453e+03
4,5.0156253576e-01,-5.0146788359e-01,1.0039840698e+01,5.6221040039e+03
5,5.0154066086e-01,-5.0139427185e-01,1.0039840698e+01,5.6211005859e+03
6,5.0151997805e-01,-5.0131940842e-01,1.0039840698e+01,5.6201015625e+03
7,5.0150030851e-01,-5.0124347210e-01,1.0039840698e+01,5.6191015625e+03
8,5.0147813559e-01,-5.0121372938e-01,1.0152904510e+01,5.6181059570e+03
9,5.0145798922e-01,-5.0118184090e-01,1.0152904510e+01,5.6171049805e+03
10,5.0143855810e-01,-5.0115299225e-01,1.0155387878e+01,5.6161059570e+03
11,5.0141918659e-01,-5.0112420321e-01,1.0155387878e+01,5.6151083984e+03
12,5.0140029192e-01,-5.0109487772e-01,1.0155387878e+01,5.6141064453e+03
13,5.0138211250e-01,-5.0106501579e-01,1.0155387878e+01,5.6131059570e+03
14,5.0136458874e-01,-5.0103443861e-01,1.0155387878e+01,5.6121035156e+03
15,5.0134778023e-01,-5.0100332499e-01,1.0155387878e+01,5.6111025391e+03
16,5.0133162737e-01,-5.0097155571e-01,1.0155387878e+01,5.6100981445e+03
17,5.0131613016e-01,-5.0093924999e-01,1.0155387878e+01,5.6090961914e+03
18,5.0130134821e-01,-5.0090634823e-01,1.0155387878e+01,5.6080937500e+03
19,5.0128728151e-01,-5.0087285042e-01,1.0155387878e+01,5.6070917969e+03
20,5.0127398968e-01,-5.0083887577e-01,1.0155387878e+01,5.6060869141e+03
21,5.0126135349e-01,-5.0080430508e-01,1.0155387878e+01,5.6050874023e+03
22,5.0124949217e-01,-5.0076919794e-01,1.0155387878e+01,5.6040830078e+03
23,5.0123822689e-01,-5.0073355436e-01,1.0155387878e+01,5.6030815430e+03
24,5.0122767687e-01,-5.0069737434e-01,1.0155387878e+01,5.6020815430e+03
25,5.0121790171e-01,-5.0066071749e-01,1.0155387878e+01,5.6010791016e+03
26,5.0120884180e-01,-5.0062358379e-01,1.0155387878e+01,5.6000791016e+03
27,5.0120043755e-01,-5.0058597326e-01,1.0155387878e+01,5.5990805664e+03
28,5.0119262934e-01,-5.0054788589e-01,1.0155387878e+01,5.5980834961e+03
29,5.0118553638e-01,-5.0050932169e-01,1.0155387878e+01,5.5970844727e+03
30,5.0117903948e-01,-5.0047028065e-01,1.0155387878e+01,5.5960908203e+03
31,5.0117319822e-01,-5.0043076277e-01,1.0155387878e+01,5.5950942383e+03
32,5.0116795301e-01,-5.0039076805e-01,1.0155387878e+01,5.5941010742e+03
33,5.0116336346e-01,-5.0035035610e-01,1.0155387878e+01,5.5931064453e+03
34,5.0068515539e-01,-4.9990263581e-01,9.6515102386e+00,5.5921201172e+03
35,5.0046122074e-01,-4.9960327148e-01,1.2671544075e+01,5.5911240234e+03
36,5.0042223930e-01,-4.9955195189e-01,1.0226978302e+01,5.5901298828e+03
37,5.0039184093e-01,-4.9950593710e-01,1.0062313080e+01,5.5891318359e+03
38,5.0036144257e-01,-4.9945998192e-01,1.0062313080e+01,5.5881367188e+03
39,5.0033384562e-01,-4.9940925837e-01,9.8594846725e+00,5.5871401367e+03
40,5.0030702353e-01,-4.9935781956e-01,9.8594846725e+00,5.5861455078e+03
41,5.0028079748e-01,-4.9930572510e-01,9.8594846725e+00,5.5851484375e+03
42,5.0025534630e-01,-4.9925303459e-01,9.8594846725e+00,5.5841542969e+03
43,5.0023055077e-01,-4.9919974804e-01,9.8594846725e+00,5.5831582031e+03
44,5.0020635128e-01,-4.9914586544e-01,9.8594846725e+00,5.5821621094e+03
45,5.0018292665e-01,-4.9909144640e-01,9.8594846725e+00,5.5811684570e+03
46,5.0016015768e-01,-4.9903655052e-01,9.8594846725e+00,5.5801757812e+03
47,5.0013810396e-01,-4.9898105860e-01,9.8594846725e+00,5.5791850586e+03
48,5.0011664629e-01,-4.9892508984e-01,9.8594846725e+00,5.5781943359e+03
49,5.0009578466e-01,-4.9886870384e-01,9.8594846725e+00,5.5772055664e+03
50,5.0007563829e-01,-4.9881184101e-01,9.8594846725e+00,5.5762148438e+03
