step,vx_150_50,vy_150_50,pressure_150_50,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.2250000000e+03
1,4.9205937386e+00,-1.4375000028e-03,4.8202471875e+05,1.2113765717e+01,-6.3333328580e-04,2.4664878125e+05
2,5.0475444794e+00,9.1447745217e-04,1.2734577148e+04,1.6208922863e+00,1.0727082379e-02,2.5552039062e+05
3,5.0358886719e+00,9.7089924384e-04,-1.0834899902e+03,1.4015285969e+00,-1.6868488165e-03,2.5484392188e+05
4,5.0241255760e+00,5.1304511726e-04,-1.1714006348e+03,1.3453615904e+00,9.4058588147e-03,2.5416884375e+05
5,5.0123600960e+00,2.8092326829e-04,-1.2042106934e+03,1.3188258410e+00,-8.5695954040e-03,2.5350970312e+05
6,5.0001654625e+00,-3.4311306081e-05,-1.2075727539e+03,1.2928512096e+00,5.4712886922e-03,2.5288654688e+05
7,4.9886789322e+00,-6.1291747261e-04,-1.1534428711e+03,1.2744885683e+00,-1.1356119066e-03,2.5228050000e+05
8,4.9783344269e+00,-3.6388618173e-04,-1.0610761719e+03,1.2437973022e+00,2.9480531812e-02,2.5172373438e+05
9,4.9698829651e+00,-7.1159412619e-04,-9.1540600586e+02,1.2203029394e+00,1.1321092956e-02,2.5122992188e+05
10,4.9648919106e+00,-8.4613356739e-04,-4.7540600586e+02,1.1927356720e+00,1.4534504153e-02,2.5095670312e+05
11,4.9649648666e+00,-3.5559528624e-04,6.7119247437e+01,1.1738491058e+00,1.3877407648e-02,2.5107981250e+05
12,4.9664220810e+00,-4.9682863755e-04,1.7229827881e+02,1.1573290825e+00,1.6740363091e-02,2.5129940625e+05
13,4.9689269066e+00,-9.7404117696e-06,2.4610189819e+02,1.1427766085e+00,2.2480206564e-02,2.5159895312e+05
14,4.9724755287e+00,6.1423308216e-04,3.0712622070e+02,1.1352311373e+00,2.2701105103e-02,2.5195625000e+05
15,4.9736762047e+00,-1.7088892637e-03,3.4880172729e+02,1.1169852018e+00,2.0576691255e-02,2.5235339062e+05
16,4.9789972305e+00,1.1091628112e-03,3.9952249146e+02,1.0957098007e+00,2.7579555288e-02,2.5280656250e+05
17,4.9842300415e+00,3.3509661444e-04,4.3757315063e+02,1.0896704197e+00,3.0174737796e-02,2.5327987500e+05
18,4.9880208969e+00,2.5689005270e-04,4.7329705811e+02,1.0813578367e+00,1.6632193699e-02,2.5378006250e+05
19,4.9931349754e+00,4.7532614553e-04,5.0145004272e+02,1.0720973015e+00,1.9675292075e-02,2.5427029688e+05
20,4.9985060692e+00,-2.2514179000e-04,5.1814196777e+02,1.0526537895e+00,2.3558754474e-02,2.5476739062e+05
21,5.0037221909e+00,1.7747201491e-04,5.2675762939e+02,1.0474760532e+00,1.4109048992e-02,2.5525067188e+05
22,5.0073089600e+00,8.3911803085e-04,5.2157159424e+02,1.0459340811e+00,1.1053482071e-02,2.5571621875e+05
