step,vx_112_50,vy_112_50,pressure_112_50,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9600000000e+02
1,1.9717251062e+00,-6.7500001751e-04,3.6470909375e+05,7.6581550598e+01,-4.1796877049e-03,2.9759562500e+04
2,2.0083918571e+00,2.6930047898e-04,6.9219418945e+03,3.0448198318e+00,-2.3113403469e-02,3.0535673828e+04
3,2.0092852116e+00,3.0572156538e-04,1.7584701538e+02,1.4899765253e+00,4.4026947580e-03,3.0556029297e+04
4,2.0095522404e+00,3.0827638693e-04,5.6803668976e+01,1.2621268034e+00,2.7768706903e-02,3.0560574219e+04
5,2.0094416142e+00,3.1606617267e-04,-1.7121067047e+01,1.1266621351e+00,2.4025268853e-02,3.0556435547e+04
6,2.0088980198e+00,3.0744989635e-04,-9.5279922485e+01,1.1159511805e+00,-5.5604554713e-02,3.0548238281e+04
7,2.0081005096e+00,2.6303311461e-04,-1.5335437012e+02,1.0910583735e+00,-4.5094911009e-02,3.0534152344e+04
8,2.0069811344e+00,2.3485251586e-04,-2.0601103210e+02,1.0692099333e+00,-3.1176453456e-02,3.0514705078e+04
9,2.0058021545e+00,1.0422279593e-04,-2.2941429138e+02,9.9149155617e-01,-3.6676939577e-02,3.0492949219e+04
10,2.0045068264e+00,9.1486348538e-05,-2.4261598206e+02,1.0135263205e+00,-4.0446473286e-03,3.0468474609e+04
11,2.0031952858e+00,3.8973616029e-05,-2.4889135742e+02,1.0759613514e+00,1.3291168027e-02,3.0440205078e+04
12,2.0018503666e+00,3.7292647903e-05,-2.5844128418e+02,1.0234893560e+00,-2.3263396695e-02,3.0413005859e+04
13,2.0003728867e+00,7.0834044891e-05,-2.5884823608e+02,1.0453925133e+00,-5.8306120336e-02,3.0384523438e+04
14,1.9989638329e+00,-4.8154543038e-06,-2.5936688232e+02,1.1010816097e+00,1.4131927863e-02,3.0356060547e+04
15,1.9975454807e+00,-1.4187813576e-05,-2.5476750183e+02,1.0506274700e+00,1.3983764686e-02,3.0329917969e+04
16,1.9963093996e+00,-1.6377624706e-04,-2.4596501160e+02,1.0823516846e+00,-7.4989320710e-03,3.0304798828e+04
17,1.9950139523e+00,-1.1601491860e-04,-2.4448289490e+02,1.0810971260e+00,2.6343079284e-02,3.0283013672e+04
18,1.9938412905e+00,-2.2701526177e-04,-2.2646273804e+02,1.2128112316e+00,1.8118286505e-02,3.0262390625e+04
19,1.9927634001e+00,-2.1367476438e-04,-1.9707717896e+02,1.2288432121e+00,2.1944886073e-02,3.0246742188e+04
20,1.9919683933e+00,-2.2160471417e-04,-1.4753326416e+02,1.1944947243e+00,-7.4467468075e-03,3.0236996094e+04
21,1.9913892746e+00,-1.6090131248e-04,-1.0546028137e+02,1.2735143900e+00,4.8072054051e-03,3.0232037109e+04
22,1.9911075830e+00,-2.0508113084e-04,-6.0718559265e+01,1.1764656305e+00,-5.1006316207e-03,3.0233117188e+04
23,1.9910627604e+00,-2.9881420778e-04,-1.4252274513e+01,1.2363576889e+00,1.5411835164e-02,3.0237480469e+04
24,1.9912431240e+00,-2.7655556914e-04,3.9042369843e+01,1.2419482470e+00,5.7712554932e-02,3.0247802734e+04
25,1.9917646646e+00,-2.0523578860e-04,9.8258850098e+01,1.2996870279e+00,3.8110122085e-02,3.0263292969e+04
26,1.9924374819e+00,-2.3169636552e-04,1.3746258545e+02,1.2460453510e+00,-4.6543120407e-03,3.0282835938e+04
27,1.9933178425e+00,-7.2301969340e-05,1.7133259583e+02,1.2760684490e+00,-6.1325835995e-03,3.0305935547e+04
28,1.9943412542e+00,-1.2233038433e-05,1.9419305420e+02,1.2348685265e+00,-1.8224334344e-02,3.0332421875e+04
29,1.9954465628e+00,-8.3650214947e-05,2.1293275452e+02,1.2467846870e+00,-1.1448059231e-02,3.0361175781e+04
30,1.9966052771e+00,2.9693552278e-05,2.2197671509e+02,1.3043191433e+00,-6.3390349969e-03,3.0391169922e+04
31,1.9978526831e+00,-2.1243202355e-05,2.3298951721e+02,1.2782385349e+00,-1.5041809529e-02,3.0422619141e+04
32,1.9990738630e+00,-6.1223130615e-05,2.2915611267e+02,1.2227221727e+00,-2.3176727816e-02,3.0455306641e+04
33,2.0002696514e+00,5.8867597545e-05,2.2906455994e+02,1.2013206482e+00,-2.4586105719e-02,3.0486833984e+04
34,2.0013794899e+00,2.1417496100e-05,2.1400607300e+02,1.2528622150e+00,-6.7207333632e-04,3.0517015625e+04
35,2.0024735928e+00,9.6646923339e-05,2.1002253723e+02,1.2217264175e+00,9.7132110968e-03,3.0546605469e+04
36,2.0035154819e+00,-8.1729849626e-06,1.9270252991e+02,1.1432899237e+00,-1.2112884782e-02,3.0574638672e+04
37,2.0044054985e+00,3.3359465306e-05,1.6934350586e+02,1.2291370630e+00,1.5304031782e-02,3.0598173828e+04
38,2.0051097870e+00,1.3100408250e-04,1.3923634338e+02,1.2026503086e+00,3.0086899176e-02,3.0618490234e+04
39,2.0056586266e+00,1.9713137590e-04,1.1382936096e+02,1.1390712261e+00,4.4050674886e-02,3.0635597656e+04
40,2.0060164928e+00,1.3113797468e-04,7.5593208313e+01,1.2337663174e+00,4.1645355523e-02,3.0647361328e+04
41,2.0062403679e+00,4.5294505981e-05,3.8338436127e+01,1.1610743999e+00,5.0391159952e-02,3.0656626953e+04
42,2.0061681271e+00,2.8082914650e-04,-1.5884869099e+00,1.2509469986e+00,5.1757050678e-03,3.0660490234e+04
43,2.0059454441e+00,1.6397517174e-04,-4.3183803558e+01,1.2119005919e+00,1.5459976159e-02,3.0661031250e+04
44,2.0054743290e+00,1.1503932910e-04,-7.6791496277e+01,1.1477785110e+00,1.6831208020e-02,3.0657890625e+04
45,2.0049488544e+00,1.7233408289e-04,-1.1074346924e+02,1.1013041735e+00,1.9578017294e-02,3.0652015625e+04
46,2.0041673183e+00,2.2794416873e-04,-1.3155484009e+02,1.1447205544e+00,-5.5158231407e-03,3.0642128906e+04
47,2.0033476353e+00,8.6492611445e-05,-1.5408575439e+02,1.1931314468e+00,4.8848267645e-02,3.0628761719e+04
48,2.0025365353e+00,-1.2264747056e-05,-1.6233491516e+02,1.1897966862e+00,3.0508270487e-02,3.0612826172e+04
49,2.0015411377e+00,8.9450979431e-05,-1.7556517029e+02,1.1791030169e+00,1.2112426339e-03,3.0596763672e+04
50,2.0005207062e+00,4.4712520321e-05,-1.8375328064e+02,1.1257060766e+00,4.9801636487e-03,3.0579900391e+04
51,1.9995164871e+00,-5.7789293351e-09,-1.9021217346e+02,1.0916321278e+00,1.9000016153e-02,3.0562685547e+04
52,1.9984744787e+00,-6.2269209593e-06,-1.9641464233e+02,1.1207042933e+00,3.4271241166e-03,3.0545203125e+04
53,1.9974871874e+00,-1.0578872025e-04,-1.8815910339e+02,1.0580064058e+00,8.5103604943e-03,3.0529386719e+04
54,1.9965474606e+00,-6.8475179432e-05,-1.7787110901e+02,1.1007714272e+00,1.2063064612e-02,3.0514757812e+04
55,1.9956958294e+00,-8.6341737187e-05,-1.5604269409e+02,1.1183227301e+00,1.0216827504e-02,3.0502183594e+04
56,1.9949188232e+00,-1.2021220755e-04,-1.3676959229e+02,1.0711942911e+00,2.6619721204e-02,3.0492123047e+04
57,1.9943459034e+00,-9.8492819234e-05,-1.0849317169e+02,1.0757751465e+00,6.7636638880e-02,3.0483341797e+04
58,1.9938946962e+00,-1.6719446285e-04,-8.5008529663e+01,1.0886092186e+00,6.4067460597e-02,3.0477033203e+04
59,1.9936678410e+00,-1.1023314437e-04,-4.8396869659e+01,1.0208334923e+00,3.3170320094e-02,3.0473384766e+04
60,1.9935418367e+00,-7.7721073467e-05,-1.8747791290e+01,1.0596350431e+00,5.3081892431e-02,3.0473816406e+04
61,1.9936034679e+00,-4.7785029892e-05,9.2365493774e+00,1.0571397543e+00,2.2917633876e-02,3.0478531250e+04
62,1.9937881231e+00,-8.4183862782e-05,3.7834339142e+01,1.0684881210e+00,-1.4381942339e-02,3.0486734375e+04
63,1.9940626621e+00,-5.8830330090e-05,5.9972625732e+01,1.0136214495e+00,6.2506407499e-02,3.0497732422e+04
64,1.9945601225e+00,-6.5605869167e-05,8.3834030151e+01,1.1088644266e+00,5.3184814751e-02,3.0510853516e+04
65,1.9950546026e+00,3.8234556996e-05,1.0399635315e+02,1.0565479994e+00,3.7636641413e-02,3.0526789062e+04
66,1.9957226515e+00,4.6995432058e-05,1.2921026611e+02,1.0022579432e+00,1.9292602316e-02,3.0546039062e+04
67,1.9964412451e+00,4.8728761612e-05,1.3896206665e+02,1.0213819742e+00,2.2830734029e-02,3.0565080078e+04
68,1.9972474575e+00,-5.0653898143e-06,1.5671206665e+02,1.0695481300e+00,2.3876190186e-02,3.0585126953e+04
69,1.9982173443e+00,-5.3854684666e-05,1.6155877686e+02,1.0551501513e+00,4.3764496222e-03,3.0606451172e+04
70,1.9990221262e+00,-5.5699289078e-05,1.6588587952e+02,1.0355476141e+00,-3.9250184782e-03,3.0627371094e+04
71,1.9997987747e+00,5.1570139476e-05,1.5772309875e+02,1.0374637842e+00,-5.0723113120e-02,3.0649335938e+04
72,2.0006353855e+00,5.4527969041e-05,1.5698204041e+02,1.0405457020e+00,-9.6335597336e-03,3.0670675781e+04
73,2.0014266968e+00,1.1325744708e-04,1.4446571350e+02,1.0362408161e+00,1.0618591681e-02,3.0690183594e+04
74,2.0020513535e+00,1.5620225167e-04,1.2725929260e+02,1.0094741583e+00,8.4701535525e-04,3.0708099609e+04
75,2.0026910305e+00,2.3278487788e-05,1.1300260162e+02,1.0036734343e+00,1.7433548346e-02,3.0725199219e+04
76,2.0031478405e+00,1.1887979053e-04,9.2790740967e+01,9.8121809959e-01,-3.2036513090e-02,3.0740019531e+04
77,2.0035378933e+00,1.8632000138e-04,7.5059783936e+01,9.9748384953e-01,-1.0596466018e-03,3.0751546875e+04
78,2.0038073063e+00,1.6768955902e-05,5.0012393951e+01,1.0641325712e+00,7.4983979575e-03,3.0760679688e+04
79,2.0039627552e+00,1.7312455748e-04,3.4071331024e+01,1.0066608191e+00,6.3054654747e-03,3.0768183594e+04
80,2.0039515495e+00,2.1881761495e-04,6.9587440491e+00,9.9619138241e-01,-1.3553924859e-02,3.0772158203e+04
81,2.0038585663e+00,1.6855142894e-04,-1.5873750687e+01,1.0118983984e+00,3.3670198172e-02,3.0774103516e+04
82,2.0036783218e+00,1.1574127711e-04,-4.0851520538e+01,1.0277395248e+00,1.6323700547e-02,3.0772781250e+04
83,2.0032992363e+00,1.8888378690e-04,-6.2103164673e+01,9.9796068668e-01,1.0864791460e-02,3.0769984375e+04
84,2.0029218197e+00,1.2707493443e-04,-8.2189254761e+01,9.7362905741e-01,5.4464265704e-02,3.0764550781e+04
85,2.0023808479e+00,1.7153299996e-04,-9.4964477539e+01,9.7673416138e-01,1.7871169373e-02,3.0757611328e+04
86,2.0018298626e+00,1.8261038349e-05,-1.0744875336e+02,9.8725420237e-01,2.2845916450e-02,3.0748636719e+04
87,2.0011508465e+00,1.8319739320e-04,-1.1154366302e+02,9.6428865194e-01,-2.6836242527e-02,3.0738371094e+04
88,2.0006058216e+00,8.4907180280e-05,-1.2087634277e+02,9.5189118385e-01,-1.2767639011e-02,3.0727960938e+04
89,1.9999155998e+00,5.8658617490e-05,-1.1987023163e+02,9.5204484463e-01,3.7650682032e-02,3.0717609375e+04
90,1.9992445707e+00,-2.1029603886e-05,-1.3119480896e+02,9.3179076910e-01,5.8061674237e-02,3.0706234375e+04
91,1.9985666275e+00,-4.4411528506e-05,-1.2116068268e+02,9.7518312931e-01,1.0932769626e-02,3.0695136719e+04
92,1.9979164600e+00,1.2317937217e-04,-1.1945588684e+02,9.6618682146e-01,6.2770843506e-03,3.0685740234e+04
93,1.9973471165e+00,9.4262599305e-05,-1.0365117645e+02,9.8057359457e-01,3.4367751330e-02,3.0677041016e+04
94,1.9968899488e+00,-1.6532995505e-04,-9.9215370178e+01,1.0094673634e+00,1.5688782558e-02,3.0669564453e+04
95,1.9964814186e+00,1.1685353456e-05,-7.8162704468e+01,9.6334975958e-01,-3.0299223959e-02,3.0665175781e+04
96,1.9961969852e+00,-1.7792423023e-05,-5.7735401154e+01,9.3657678366e-01,-1.8376616761e-02,3.0661763672e+04
97,1.9959424734e+00,3.7517573219e-05,-4.1960037231e+01,9.4206696749e-01,2.5772093795e-04,3.0660572266e+04
98,1.9958106279e+00,-9.1382542450e-05,-2.3454542160e+01,9.5877474546e-01,3.8800813258e-02,3.0660992188e+04
99,1.9958244562e+00,2.8099588235e-05,-3.3323564529e+00,9.3289536238e-01,1.3915481977e-02,3.0663701172e+04
100,1.9958765507e+00,-3.9087550249e-05,1.5479882240e+01,9.3142366409e-01,5.7464600541e-03,3.0668658203e+04
101,1.9960428476e+00,1.1535739759e-06,3.2828311920e+01,8.8264584541e-01,-1.9936827943e-02,3.0675205078e+04
102,1.9963537455e+00,-1.0955871403e-05,4.8290046692e+01,8.8510572910e-01,-5.8508301154e-03,3.0684181641e+04
103,1.9966924191e+00,1.4480567188e-05,6.6443679810e+01,9.7859525681e-01,-1.7771148123e-03,3.0693152344e+04
104,1.9971839190e+00,-8.8995220722e-06,8.0225715637e+01,9.9823242426e-01,-2.3223113269e-02,3.0703970703e+04
105,1.9976090193e+00,-8.7954729679e-05,8.8652435303e+01,1.0016092062e+00,1.3399505988e-03,3.0717050781e+04
106,1.9981621504e+00,7.7556222095e-05,9.9933128357e+01,8.7747895718e-01,1.4064788818e-02,3.0731794922e+04
107,1.9987094402e+00,1.0488121916e-05,9.6418731689e+01,9.1453737020e-01,-1.9935531542e-02,3.0746093750e+04
108,1.9992126226e+00,6.1044520407e-05,9.6820915222e+01,9.4345307350e-01,-1.3135986403e-02,3.0760681641e+04
109,1.9998244047e+00,-4.8938374675e-05,1.0123886108e+02,9.2366170883e-01,2.1039580926e-02,3.0775458984e+04
110,2.0002954006e+00,3.7019166484e-05,9.9874458313e+01,9.7799837589e-01,9.5677189529e-03,3.0789662109e+04
111,2.0008401871e+00,8.6873435066e-05,9.6940475464e+01,9.7701036930e-01,-4.4159698300e-03,3.0804144531e+04
112,2.0013537407e+00,4.1440245695e-05,9.2174041748e+01,9.5516645908e-01,-4.3766782619e-03,3.0817925781e+04
113,2.0018246174e+00,2.5001430186e-04,8.8950920105e+01,9.3492174149e-01,4.3684922159e-02,3.0831253906e+04
114,2.0022566319e+00,2.1612539422e-04,7.8147720337e+01,9.1085159779e-01,4.4407653622e-03,3.0842542969e+04
