step,vx_300_100,vy_300_100,pressure_300_100,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.4750000000e+03
1,4.9218125343e+00,-1.0000000475e-03,9.7400350000e+05,2.5794561386e+01,-7.4999994831e-04,9.8742675000e+05
2,5.0288295746e+00,3.8904396934e-04,2.1915669922e+04,1.5625798702e+00,-1.0018228786e-03,1.0169005625e+06
3,5.0276422501e+00,4.1035070899e-04,-2.2184156799e+02,1.2984441519e+00,-3.4429684747e-03,1.0166383750e+06
4,5.0251927376e+00,4.1495135520e-04,-4.8587469482e+02,1.2196594477e+00,-8.5835931823e-03,1.0161763125e+06
5,5.0215821266e+00,3.1371571822e-04,-7.2449511719e+02,1.1917217970e+00,-1.1995702051e-02,1.0154162500e+06
6,5.0178112984e+00,2.1610486147e-04,-7.7313323975e+02,1.1895639896e+00,-2.2369790531e-04,1.0146411875e+06
7,5.0138969421e+00,1.6600644449e-04,-8.0283898926e+02,1.1937580109e+00,-8.1175779924e-03,1.0138374375e+06
8,5.0098834038e+00,1.1195776460e-04,-8.1905780029e+02,1.1870223284e+00,-1.1369270273e-02,1.0130497500e+06
9,5.0058560371e+00,5.3979521908e-05,-8.2261480713e+02,1.1875840425e+00,-5.4484372959e-03,1.0122243750e+06
10,5.0018672943e+00,-1.6326026525e-05,-8.1664514160e+02,1.1801326275e+00,-3.7877601571e-03,1.0114511250e+06
11,4.9979333878e+00,-8.6022133473e-05,-8.0217364502e+02,1.1826063395e+00,-3.4093747381e-03,1.0106479375e+06
12,4.9941105843e+00,-1.1595318938e-04,-7.7973175049e+02,1.1746014357e+00,-7.1826819330e-03,1.0099022500e+06
13,4.9904456139e+00,-1.7072143964e-04,-7.4919897461e+02,1.1681066751e+00,-1.0506379418e-02,1.0091903125e+06
14,4.9869489670e+00,-2.1626714442e-04,-7.1103851318e+02,1.1606222391e+00,-9.6320305020e-03,1.0085294375e+06
15,4.9836916924e+00,-2.2399635054e-04,-6.6538586426e+02,1.1575323343e+00,-4.5449868776e-03,1.0079073125e+06
16,4.9806852341e+00,-2.4502366432e-04,-6.0697436523e+02,1.1431527138e+00,-8.8455723599e-03,1.0073607500e+06
17,4.9781479836e+00,-2.5902892230e-04,-5.0993457031e+02,1.1309897900e+00,-5.9243487194e-03,1.0069370625e+06
