step,vx_168_75,vy_168_75,pressure_168_75,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9600000000e+02
1,1.9738624096e+00,5.9999997029e-04,5.5222812500e+05,1.0446905518e+02,-3.5156249069e-03,6.6920367188e+04
2,2.0067534447e+00,-1.7236219719e-04,9.8828222656e+03,2.8871152401e+00,-2.2921143100e-02,6.8555375000e+04
3,2.0072669983e+00,-1.7184391618e-04,1.6079562378e+02,1.3770735264e+00,2.0681304857e-02,6.8582664062e+04
4,2.0074303150e+00,-1.7853715690e-04,5.4745468140e+01,1.1736102104e+00,5.2285995334e-02,6.8588898438e+04
5,2.0073847771e+00,-1.7467177531e-04,-1.2288913727e+01,1.0390887260e+00,2.8756104410e-02,6.8585539062e+04
6,2.0070993900e+00,-1.5792483464e-04,-6.9504615784e+01,9.9466073513e-01,8.5484310985e-03,6.8577375000e+04
7,2.0067014694e+00,-1.2789553148e-04,-1.2979116821e+02,9.6377480030e-01,1.4646911295e-03,6.8559968750e+04
8,2.0060727596e+00,-1.1153894593e-04,-1.7998751831e+02,9.7295135260e-01,1.9754180685e-02,6.8532234375e+04
9,2.0053868294e+00,-9.1213791166e-05,-2.1311491394e+02,9.5489579439e-01,-9.5083620399e-03,6.8500515625e+04
10,2.0047430992e+00,-5.6462518842e-05,-2.3002635193e+02,9.3798989058e-01,2.5598602369e-02,6.8465125000e+04
11,2.0038559437e+00,-9.5687879366e-05,-2.4874882507e+02,9.7002172470e-01,1.4889068902e-02,6.8427109375e+04
12,2.0030884743e+00,-5.9476842580e-06,-2.6373153687e+02,9.3039780855e-01,2.3995513096e-02,6.8384718750e+04
13,2.0020456314e+00,-2.1477702830e-05,-2.7614819336e+02,9.3777602911e-01,7.1873473935e-03,6.8340234375e+04
14,2.0011324883e+00,5.6725602917e-06,-2.7799044800e+02,9.3473130465e-01,-8.2334904000e-03,6.8296031250e+04
15,2.0000708103e+00,1.5653826267e-05,-2.8444427490e+02,8.8091135025e-01,-3.8909911382e-05,6.8251515625e+04
16,1.9992094040e+00,7.3558403528e-05,-2.7972671509e+02,9.0187531710e-01,-5.6684873998e-03,6.8206843750e+04
17,1.9981148243e+00,9.8100554169e-06,-2.8185842896e+02,9.1519361734e-01,-1.0330658406e-02,6.8162179688e+04
18,1.9973419905e+00,6.5826607170e-05,-2.7511291504e+02,9.6949249506e-01,2.0642090589e-02,6.8119687500e+04
