step,vx_187_62,vy_187_62,pressure_187_62,Cd,Cl
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,4.9179687500e+00,1.7187501071e-03,6.0916037500e+05,1.6740341187e+02,0.0000000000e+00
2,5.0347275734e+00,-7.3042919394e-04,1.5443330078e+04,1.8292690277e+01,-7.2337963502e-05
3,5.0293321609e+00,-6.2098406488e-04,-6.9624432373e+02,1.4446572304e+01,7.1614580520e-05
4,5.0232057571e+00,-4.8407999566e-04,-7.9753991699e+02,1.3652401924e+01,-1.1574074051e-05
5,5.0167603493e+00,-3.0711479485e-04,-8.5443847656e+02,1.3362573624e+01,-5.0636572269e-05
6,5.0103716850e+00,-1.0076658509e-04,-8.7153845215e+02,1.3289658546e+01,-2.8211805329e-05
7,5.0042996407e+00,1.5233391605e-04,-8.5813916016e+02,1.3279834747e+01,-1.7361111531e-05
8,4.9980750084e+00,2.9199229903e-04,-8.1916363525e+02,1.3036232948e+01,8.6805557657e-06
9,4.9922609329e+00,3.0559205334e-04,-7.6670849609e+02,1.2872011185e+01,1.4467592564e-06
10,4.9870181084e+00,6.5411219839e-04,-7.1862408447e+02,1.2686598778e+01,7.2337961683e-06
11,4.9812550545e+00,4.2046338785e-04,-6.5923077393e+02,1.2512594223e+01,3.3998843719e-05
12,4.9766120911e+00,4.8924633302e-04,-5.9212969971e+02,1.2337203026e+01,1.6637732188e-05
13,4.9728922844e+00,5.7915772777e-04,-4.9705886841e+02,1.2202563286e+01,1.9531249563e-05
14,4.9704251289e+00,6.1034050304e-04,-3.2073330688e+02,1.2093201637e+01,2.1701389414e-05
15,4.9704360962e+00,5.7975132950e-04,9.0248098373e+00,1.2016183853e+01,1.8084490875e-05
16,4.9711694717e+00,5.2318820963e-04,1.1545812988e+02,1.1936470032e+01,2.2424768758e-05
17,4.9725985527e+00,5.0750002265e-04,1.9348962402e+02,1.1845141411e+01,6.0763890360e-05
18,4.9743466377e+00,4.3521111365e-04,2.5134916687e+02,1.1732163429e+01,9.3315975391e-05
19,4.9765839577e+00,3.3733027522e-04,3.0005001831e+02,1.1615253448e+01,7.7401622548e-05
20,4.9788832664e+00,2.7979465085e-04,3.2974111938e+02,1.1515028000e+01,4.9913192925e-05
21,4.9815268517e+00,3.3764744876e-04,3.6323278809e+02,1.1416347504e+01,1.2297453395e-05
22,4.9851112366e+00,5.5201450596e-04,3.8589819336e+02,1.1319496155e+01,1.3020833649e-05
23,4.9874458313e+00,1.7182431475e-04,4.1108734131e+02,1.1241476059e+01,2.1701389414e-06
24,4.9900035858e+00,-2.7598615270e-04,4.2716394043e+02,1.1164187431e+01,-1.5190972590e-05
25,4.9938240051e+00,4.7859799815e-04,4.3196508789e+02,1.1099309921e+01,-1.5190972590e-05
26,4.9969086647e+00,-1.5265827824e-04,4.4970806885e+02,1.1033693314e+01,-3.5445602407e-05
27,4.9991803169e+00,-3.3315611654e-04,4.4665255737e+02,1.0975490570e+01,-3.0381945180e-05
28,5.0038266182e+00,2.2505385277e-04,4.5929064941e+02,1.0921502113e+01,-5.4253472626e-05
29,5.0059018135e+00,3.1421496533e-04,4.5929064941e+02,1.0921502113e+01,-5.4253472626e-05
30,5.0074591637e+00,-5.9829733800e-04,4.2814343262e+02,1.0752032280e+01,-7.2699651355e-05
31,5.0101208687e+00,-7.4862281326e-04,4.2366815186e+02,1.0755594254e+01,-8.1018515630e-05
32,5.0129446983e+00,-1.0320591973e-03,4.0316775513e+02,1.0701171875e+01,-7.0167821832e-05
33,5.0159516335e+00,-1.0879248148e-03,4.0316775513e+02,1.0701171875e+01,-7.0167821832e-05
34,5.0171685219e+00,-8.0913089914e-04,3.1482070923e+02,1.0549342155e+01,-7.9210069089e-05
35,5.0185861588e+00,-7.5372186257e-04,2.6353689575e+02,1.0573941231e+01,-6.7274304456e-05
36,5.0187907219e+00,-9.4242766500e-04,1.8078855896e+02,1.0525069237e+01,-5.0636572269e-05
37,5.0187511444e+00,-9.2751375632e-04,1.8078855896e+02,1.0525069237e+01,-5.0636572269e-05
38,5.0176172256e+00,-8.2957907580e-04,-1.0672476196e+02,1.0368851662e+01,-3.9062499127e-05
39,5.0162353516e+00,-8.7130849715e-04,-1.0672476196e+02,1.0368851662e+01,-3.9062499127e-05
40,5.0133776665e+00,-8.5606612265e-04,-1.4425662231e+02,1.0339921951e+01,4.1956020141e-05
41,5.0103211403e+00,-7.3352217441e-04,-1.8616694641e+02,1.0267787933e+01,2.6041667297e-05
42,5.0068125725e+00,-7.8667292837e-04,-1.8616694641e+02,1.0267787933e+01,2.6041667297e-05
43,5.0033421516e+00,-7.2780670598e-04,-1.9321821594e+02,1.0190679550e+01,9.1869209427e-05
44,4.9993977547e+00,-8.1027927808e-04,-1.9321821594e+02,1.0190679550e+01,9.1869209427e-05
45,4.9950361252e+00,-1.1738319881e-03,-2.3239157104e+02,1.0049216270e+01,1.3020834012e-04
46,4.9912915230e+00,-5.4996600375e-04,-2.2325233459e+02,1.0053500175e+01,1.3816550199e-04
47,4.9844326973e+00,-6.9776829332e-04,-2.2919395447e+02,1.0026865959e+01,1.7505786673e-04
48,4.9769625664e+00,-1.0526906699e-03,-2.2919395447e+02,1.0026865959e+01,1.7505786673e-04
49,4.9685521126e+00,-2.2919485345e-03,-2.0327864075e+02,9.9893789291e+00,1.8301504315e-04
50,4.9630899429e+00,-7.9573958647e-04,-2.2562150574e+02,9.9168052673e+00,1.9531250291e-04
51,4.9538593292e+00,-1.1485243449e-03,-2.2562150574e+02,9.9168052673e+00,1.9531250291e-04
52,4.9405679703e+00,-1.9132114248e-03,-2.2562150574e+02,9.9168052673e+00,1.9531250291e-04
53,4.9166412354e+00,-3.7389863282e-03,-2.0891046143e+02,9.7145338058e+00,2.0616319671e-04
54,4.8910574913e+00,-6.3270591199e-03,-2.1077622986e+02,9.8575592041e+00,1.5046296176e-04
55,4.8609023094e+00,-6.9685913622e-03,-2.3140254211e+02,9.7221393585e+00,1.2225116370e-04
56,4.8214592934e+00,-8.9362803847e-03,-2.3140254211e+02,9.7221393585e+00,1.2225116370e-04
57,4.7697644234e+00,-1.1895510368e-02,-9.4609268188e+01,9.7622241974e+00,1.4467592337e-05
58,4.7088837624e+00,-1.4281891286e-02,-2.1990612793e+02,9.6949815750e+00,-2.1701389414e-05
59,4.6417579651e+00,-1.5936128795e-02,-2.1990612793e+02,9.6949815750e+00,-2.1701389414e-05
60,4.5653162003e+00,-1.5687920153e-02,-3.5109809875e+01,9.4859027863e+00,-1.9820602029e-04
61,4.4883728027e+00,-1.7267966643e-02,-2.1041467285e+02,9.7185621262e+00,-2.1918403218e-04
62,4.4041209221e+00,-1.7313025892e-02,-3.5903411865e+01,9.4666957855e+00,-3.1467014924e-04
63,4.3178086281e+00,-1.7387377098e-02,-3.5903411865e+01,9.4666957855e+00,-3.1467014924e-04
64,4.2494645119e+00,-1.6907135025e-02,-6.8053398132e+01,9.7047262192e+00,-4.6657986240e-04
65,4.1851367950e+00,-1.6264725477e-02,-6.8053398132e+01,9.7047262192e+00,-4.6657986240e-04
66,4.1089024544e+00,-1.6344029456e-02,-6.5240074158e+01,9.4340114594e+00,-6.2065973179e-04
67,4.0368199348e+00,-1.6277881339e-02,-6.5240074158e+01,9.4340114594e+00,-6.2065973179e-04
68,3.9678404331e+00,-1.5313539654e-02,-1.0725697517e+01,9.4837598801e+00,-6.6297745798e-04
69,3.8987636566e+00,-1.5131548047e-02,-1.0725697517e+01,9.4837598801e+00,-6.6297745798e-04
70,3.8434731960e+00,-1.3988067396e-02,1.8371528625e+02,9.4166822433e+00,-7.0276332553e-04
71,3.7837805748e+00,-1.6324345022e-02,2.2813606262e+01,9.3961095810e+00,-6.7816837691e-04
72,3.7272713184e+00,-1.8758792430e-02,2.2813606262e+01,9.3961095810e+00,-6.7816837691e-04
73,3.6767647266e+00,-1.1716915295e-02,8.5156501770e+01,9.3314437866e+00,-5.8629916748e-04
74,3.6232328415e+00,-1.4910375699e-02,1.5282817078e+02,9.4675130844e+00,-5.0781248137e-04
75,3.5731012821e+00,-1.7207626253e-02,1.5282817078e+02,9.4675130844e+00,-5.0781248137e-04
76,3.5282688141e+00,-1.4210642315e-02,-1.9713024139e+01,9.1568851471e+00,-2.4775753263e-04
77,3.4847822189e+00,-1.2441526167e-02,-1.9713024139e+01,9.1568851471e+00,-2.4775753263e-04
78,3.4392845631e+00,-1.4336451888e-02,3.3558828735e+02,9.5659837723e+00,1.0416666919e-04
79,3.3948550224e+00,-1.4873263426e-02,3.3558828735e+02,9.5659837723e+00,1.0416666919e-04
80,3.3670158386e+00,-9.2905964702e-03,-1.2379142761e+02,9.1055288315e+00,4.7851563431e-04
81,3.3222000599e+00,-1.0116985999e-02,1.9853848267e+02,9.3271093369e+00,6.4742477844e-04
82,3.2799017429e+00,-1.0073470883e-02,1.9853848267e+02,9.3271093369e+00,6.4742477844e-04
83,3.2396650314e+00,-9.5313796774e-03,1.9853848267e+02,9.3271093369e+00,6.4742477844e-04
84,3.2011237144e+00,-8.8977832347e-03,1.9853848267e+02,9.3271093369e+00,6.4742477844e-04
85,3.1898262501e+00,-9.8152738065e-03,4.0249206543e+01,9.1214094162e+00,2.0348669495e-03
86,3.1563875675e+00,-9.5457900316e-03,9.7338279724e+01,9.3130016327e+00,1.5863715671e-03
87,3.1239409447e+00,-9.2824716121e-03,9.7338279724e+01,9.3130016327e+00,1.5863715671e-03
88,3.1058545113e+00,-1.0079756379e-02,9.9222740173e+01,9.0658502579e+00,2.1274595056e-03
89,3.0899605751e+00,-9.8492158577e-03,9.9222740173e+01,9.0658502579e+00,2.1274595056e-03
90,3.0493006706e+00,-8.8939992711e-03,-4.7961326599e+01,9.3621263504e+00,1.9097222248e-03
91,3.0094356537e+00,-8.1554427743e-03,-4.7961326599e+01,9.3621263504e+00,1.9097222248e-03
92,2.9929990768e+00,-9.2823440209e-03,2.5844757080e+02,9.0896396637e+00,1.9549333956e-03
93,2.9667568207e+00,-1.0495091788e-02,5.5970764160e-01,9.2035198212e+00,1.6876446316e-03
94,2.9440603256e+00,-1.0045389645e-02,5.5970764160e-01,9.2035198212e+00,1.6876446316e-03
95,2.9228937626e+00,-9.5759844407e-03,5.5970764160e-01,9.2035198212e+00,1.6876446316e-03
96,2.9035170078e+00,-9.2751365155e-03,5.5970764160e-01,9.2035198212e+00,1.6876446316e-03
97,2.8849346638e+00,-7.0111639798e-03,1.7913587952e+02,8.9525184631e+00,1.7722800840e-04
98,2.8661496639e+00,-6.2062498182e-03,-1.2722163391e+02,9.2521915436e+00,-2.1918403218e-04
99,2.8483169079e+00,-5.9219175018e-03,-1.2722163391e+02,9.2521915436e+00,-2.1918403218e-04
100,2.8310413361e+00,-6.4398827963e-03,1.8558396912e+02,8.8214178085e+00,-1.4648437500e-03
101,2.8125407696e+00,-6.5653100610e-03,1.8558396912e+02,8.8214178085e+00,-1.4648437500e-03
