step,vx_168_75,vy_168_75,pressure_168_75,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9600000000e+02
1,1.9691123962e+00,6.6249998054e-04,5.5084281250e+05,1.0442079163e+02,-4.6093747951e-03,6.6698828125e+04
2,2.0090315342e+00,-2.0898861112e-04,1.1945011719e+04,2.6400158405e+00,-7.9467776231e-04,6.8671054688e+04
3,2.0087194443e+00,-2.0161883731e-04,-8.9681175232e+01,1.6150655746e+00,-1.8989562523e-04,6.8656632812e+04
4,2.0082228184e+00,-1.9028405950e-04,-1.4509173584e+02,1.4672318697e+00,-1.7158508126e-04,6.8636421875e+04
5,2.0076162815e+00,-1.7748074606e-04,-1.7790826416e+02,1.3851851225e+00,-1.7395018949e-04,6.8612007812e+04
6,2.0069384575e+00,-1.6254321963e-04,-1.9947268677e+02,1.3300528526e+00,-1.5960693418e-04,6.8584453125e+04
7,2.0062055588e+00,-1.4716210717e-04,-2.1594984436e+02,1.2842975855e+00,-1.4602660667e-04,6.8554492188e+04
8,2.0054237843e+00,-1.3045838568e-04,-2.3087976074e+02,1.2469875813e+00,-1.6189574671e-04,6.8521851562e+04
9,2.0046133995e+00,-1.0729503992e-04,-2.4242634583e+02,1.2264732122e+00,-1.6128539573e-04,6.8487210938e+04
10,2.0040299892e+00,1.8879058189e-05,-2.4852619934e+02,1.2035958767e+00,-2.1347045549e-04,6.8450960938e+04
11,2.0028591156e+00,-1.0630380712e-04,-2.5262109375e+02,1.1918019056e+00,-1.9866944058e-04,6.8413148438e+04
12,2.0024693012e+00,7.4739713455e-05,-2.5194366455e+02,1.1759780645e+00,-1.4175414981e-04,6.8374515625e+04
13,2.0013926029e+00,-1.1805318354e-04,-2.5272412109e+02,1.1734186411e+00,-2.1957397985e-04,6.8334750000e+04
14,2.0006990433e+00,1.4642681344e-04,-2.5374209595e+02,1.1572123766e+00,-1.6860962205e-04,6.8295031250e+04
15,2.0014479160e+00,6.9711159449e-04,-2.3422027588e+02,1.1586267948e+00,2.5665282737e-04,6.8254992188e+04
16,1.9991803169e+00,2.2822117899e-04,-2.2066806030e+02,1.1568144560e+00,2.2994994652e-04,6.8215234375e+04
17,1.9982106686e+00,2.3264132324e-04,-2.4515209961e+02,1.1531858444e+00,-3.6300660577e-04,6.8176632812e+04
18,1.9976766109e+00,-1.4925174764e-04,-2.1409452820e+02,1.1474131346e+00,-2.5878904853e-04,6.8139328125e+04
19,1.9968082905e+00,1.9331675139e-04,-2.1310243225e+02,1.1553889513e+00,6.6528322350e-05,6.8103671875e+04
20,1.9957855940e+00,3.3306574915e-04,-2.0836378479e+02,1.1446727514e+00,-9.5062256150e-05,6.8070484375e+04
21,1.9942624569e+00,-4.3500578613e-04,-2.1346910095e+02,1.1481262445e+00,1.6021727788e-05,6.8039453125e+04
22,1.9940859079e+00,1.9112558221e-04,-1.9792231750e+02,1.1496773958e+00,-3.4309388138e-04,6.8012625000e+04
23,1.9936828613e+00,7.7313583461e-05,-1.8850012207e+02,1.1629799604e+00,-1.2893677194e-05,6.7988484375e+04
24,1.9932276011e+00,1.0637073137e-04,-1.7854048157e+02,1.1535964012e+00,-2.7290344588e-04,6.7969898438e+04
25,1.9927999973e+00,1.2700950901e-04,-1.1247525787e+02,1.1688559055e+00,-2.1484374884e-04,6.7964015625e+04
26,1.9928481579e+00,1.7176402616e-04,-1.2060510635e+01,1.1771353483e+00,-2.5962828659e-04,6.7974664062e+04
27,1.9928758144e+00,1.8837263633e-04,-1.2060510635e+01,1.1771353483e+00,-2.5962828659e-04,6.7985476562e+04
28,1.9929969311e+00,2.0837146440e-04,3.3143550873e+01,1.1903985739e+00,-2.1903991001e-04,6.8002398438e+04
29,1.9931001663e+00,2.1121231839e-04,3.3143550873e+01,1.1903985739e+00,-2.1903991001e-04,6.8019351562e+04
30,1.9932005405e+00,2.1225863020e-04,3.3143550873e+01,1.1903985739e+00,-2.1903991001e-04,6.8036375000e+04
31,1.9934929609e+00,2.3542871349e-04,5.8480613708e+01,1.2066918612e+00,-3.0342102400e-04,6.8056156250e+04
32,1.9936268330e+00,1.4372818987e-04,8.1937553406e+01,1.2057110071e+00,-2.4719239445e-04,6.8078179688e+04
33,1.9941004515e+00,2.1588240634e-04,1.0122369385e+02,1.2116717100e+00,-2.1179199393e-04,6.8101929688e+04
