step,vx_600_200,vy_600_200,pressure_600_200,Cd,Cl,singularity_count
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,3.9317500591e+00,-8.7500002701e-04,6.2527250000e+06,2.5682202148e+02,-1.7187499907e-03,0.0000000000e+00
2,4.0318465233e+00,2.4854994263e-04,1.6866909375e+05,3.6175787449e+00,-1.2792968191e-03,0.0000000000e+00
3,4.0276527405e+00,2.1934913821e-04,-6.9588393555e+03,1.4143697023e+00,-3.7292481284e-04,0.0000000000e+00
4,4.0234041214e+00,1.8921005540e-04,-7.0468125000e+03,1.2553033829e+00,-3.6102294689e-04,0.0000000000e+00
5,4.0191316605e+00,1.6187930305e-04,-7.0923525391e+03,1.1438522339e+00,-3.0242919456e-04,0.0000000000e+00
6,4.0148453712e+00,1.3277516700e-04,-7.1217089844e+03,1.0492393970e+00,-2.4322509125e-04,0.0000000000e+00
7,4.0105481148e+00,1.0516602924e-04,-7.1403037109e+03,9.6915328503e-01,-1.9592285389e-04,0.0000000000e+00
8,4.0062441826e+00,7.6047406765e-05,-7.1526977539e+03,9.0461105108e-01,-1.5075683768e-04,0.0000000000e+00
9,4.0019335747e+00,4.4660748244e-05,-7.1612080078e+03,8.4878724813e-01,-1.0223388381e-04,0.0000000000e+00
10,3.9976248741e+00,1.3659103388e-05,-7.1639042969e+03,8.0120587349e-01,-7.1716305683e-05,0.0000000000e+00
11,3.9933173656e+00,-1.9911123673e-05,-7.1613950195e+03,7.7290070057e-01,-4.3640135118e-05,0.0000000000e+00
12,3.9890110493e+00,-5.4466854635e-05,-7.1466376953e+03,7.4023252726e-01,-2.9602051654e-05,0.0000000000e+00
13,3.9847266674e+00,-9.3794398708e-05,-7.1117304688e+03,7.2393220663e-01,-1.6479492842e-05,0.0000000000e+00
14,3.9808981419e+00,-1.2870017963e-04,-6.3847768555e+03,6.4815574884e-01,3.1616209890e-04,0.0000000000e+00
15,3.9805891514e+00,-1.3681748533e-04,-6.9723126221e+02,6.7388200760e-01,9.3322753673e-04,0.0000000000e+00
16,3.9812891483e+00,-1.1009836453e-04,1.3371827393e+03,7.7068877220e-01,4.0573120350e-04,0.0000000000e+00
17,3.9821319580e+00,-8.0092111602e-05,1.6209489746e+03,7.8330671787e-01,2.7046204195e-04,0.0000000000e+00
18,3.9830312729e+00,-4.9815993407e-05,1.7337442627e+03,7.9078400135e-01,1.7852782912e-04,0.0000000000e+00
19,3.9839544296e+00,-1.9851908291e-05,1.7773770752e+03,7.9565721750e-01,1.1665344209e-04,0.0000000000e+00
20,3.9848854542e+00,8.8458637038e-06,1.7899071045e+03,7.9922258854e-01,6.5917971369e-05,0.0000000000e+00
21,3.9858179092e+00,3.5740391468e-05,1.7867569580e+03,8.0251383781e-01,2.5405883207e-05,0.0000000000e+00
22,3.9867222309e+00,3.6008179450e-05,1.7867569580e+03,8.0251383781e-01,2.5405883207e-05,0.0000000000e+00
23,3.9876730442e+00,8.8519511337e-05,1.7421683350e+03,8.0907177925e-01,-4.1351318941e-05,0.0000000000e+00
24,3.9885697365e+00,8.8499582489e-05,1.7421683350e+03,8.0907177925e-01,-4.1351318941e-05,0.0000000000e+00
25,3.9895009995e+00,1.3007011148e-04,1.7090096436e+03,8.1503522396e-01,-6.8740846473e-05,0.0000000000e+00
26,3.9903900623e+00,1.3009633403e-04,1.7090096436e+03,8.1503522396e-01,-6.8740846473e-05,0.0000000000e+00
27,3.9913096428e+00,1.7256039428e-04,1.6492204590e+03,8.2125413418e-01,-9.9105833215e-05,0.0000000000e+00
28,3.9921855927e+00,1.7229755758e-04,1.6492204590e+03,8.2125413418e-01,-9.9105833215e-05,0.0000000000e+00
29,3.9930834770e+00,2.0388141274e-04,1.5970717773e+03,8.3117699623e-01,-1.2336731015e-04,0.0000000000e+00
30,3.9939477444e+00,2.0340074843e-04,1.5970717773e+03,8.3117699623e-01,-1.2336731015e-04,0.0000000000e+00
31,3.9948267937e+00,2.3253221298e-04,1.5222752686e+03,8.3864563704e-01,-1.4366149844e-04,0.0000000000e+00
32,3.9956774712e+00,2.3303707712e-04,1.5222752686e+03,8.3864563704e-01,-1.4366149844e-04,0.0000000000e+00
33,3.9965391159e+00,2.5511762942e-04,1.4537835693e+03,8.5113328695e-01,-1.4869689767e-04,0.0000000000e+00
34,3.9973618984e+00,2.5032984558e-04,1.3853177490e+03,8.6073899269e-01,-1.6265868908e-04,0.0000000000e+00
35,3.9981880188e+00,2.4835794466e-04,1.3853177490e+03,8.6073899269e-01,-1.6265868908e-04,0.0000000000e+00
36,3.9990103245e+00,2.6019616053e-04,1.3169885254e+03,8.5925841331e-01,-1.5380859259e-04,0.0000000000e+00
37,3.9998228550e+00,2.6945682475e-04,1.2404863281e+03,8.8126218319e-01,-1.6738892009e-04,0.0000000000e+00
38,4.0006237030e+00,2.6694408734e-04,1.2404863281e+03,8.8126218319e-01,-1.6738892009e-04,0.0000000000e+00
39,4.0013728142e+00,2.2571875888e-04,1.1800321045e+03,8.7219190598e-01,-1.4610290236e-04,0.0000000000e+00
40,4.0021800995e+00,2.5609281147e-04,1.1014967041e+03,9.0447509289e-01,-1.5945434279e-04,0.0000000000e+00
41,4.0028948784e+00,2.0101165865e-04,1.0469359131e+03,8.9344286919e-01,-1.2947081996e-04,0.0000000000e+00
42,4.0036683083e+00,2.2084444936e-04,9.8293725586e+02,9.1796374321e-01,-1.3755798864e-04,0.0000000000e+00
43,4.0044231415e+00,2.2137878113e-04,9.8293725586e+02,9.1796374321e-01,-1.3755798864e-04,0.0000000000e+00
44,4.0051298141e+00,2.0600069547e-04,9.1044177246e+02,9.1420674324e-01,-6.2561033701e-05,0.0000000000e+00
45,4.0058484077e+00,2.0363598014e-04,9.1044177246e+02,9.1420674324e-01,-6.2561033701e-05,0.0000000000e+00
46,4.0065164566e+00,1.2525328202e-04,8.4686029053e+02,9.5265871286e-01,-1.3542175293e-04,0.0000000000e+00
47,4.0072011948e+00,1.4011358144e-04,8.2032177734e+02,9.5037865639e-01,-4.8675537982e-05,0.0000000000e+00
48,4.0078682899e+00,1.3663743448e-04,8.2032177734e+02,9.5037865639e-01,-4.8675537982e-05,0.0000000000e+00
49,4.0085353851e+00,1.3447208039e-04,8.2032177734e+02,9.5037865639e-01,-4.8675537982e-05,0.0000000000e+00
50,4.0092782974e+00,3.4739161492e-05,7.8773779297e+02,9.6825307608e-01,-7.6751712186e-05,0.0000000000e+00
51,4.0098762512e+00,2.0350844352e-05,7.9843670654e+02,9.7929412127e-01,2.8457641747e-05,0.0000000000e+00
52,4.0105137825e+00,-3.1270101317e-05,8.0035479736e+02,9.8276245594e-01,3.4179687646e-05,0.0000000000e+00
53,4.0111989975e+00,-3.4434124245e-05,8.0035479736e+02,9.8276245594e-01,3.4179687646e-05,0.0000000000e+00
54,4.0117421150e+00,-4.4359261665e-05,8.2468316650e+02,1.0017035007e+00,1.5869140043e-05,0.0000000000e+00
55,4.0123081207e+00,-3.5685006878e-05,8.2468316650e+02,1.0017035007e+00,1.5869140043e-05,0.0000000000e+00
56,4.0126104355e+00,1.6464458895e-05,1.1990755615e+03,9.8753267527e-01,2.1377563826e-04,0.0000000000e+00
57,4.0128483772e+00,1.1206135241e-05,1.1990755615e+03,9.8753267527e-01,2.1377563826e-04,0.0000000000e+00
