step,vx_20_50,pressure_20_50,singularity_count
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,8.5469058831e-05,0.0000000000e+00,1.7000000000e+01
2,1.7192280211e-04,0.0000000000e+00,1.3000000000e+01
3,2.5904789800e-04,0.0000000000e+00,8.0000000000e+00
4,3.5380374175e-04,0.0000000000e+00,1.0000000000e+01
5,4.3458698201e-04,0.0000000000e+00,1.1000000000e+01
6,5.5407272885e-04,0.0000000000e+00,6.0000000000e+00
7,5.5046501802e-04,0.0000000000e+00,8.0000000000e+00
8,6.4671842847e-04,0.0000000000e+00,1.6000000000e+01
9,7.4530515121e-04,0.0000000000e+00,5.0000000000e+00
10,8.4027100820e-04,0.0000000000e+00,6.0000000000e+00
11,1.0007044766e-03,0.0000000000e+00,8.0000000000e+00
12,9.3787506921e-04,0.0000000000e+00,8.0000000000e+00
13,1.1472245678e-03,0.0000000000e+00,1.0000000000e+01
14,1.0025949450e-03,0.0000000000e+00,1.0000000000e+01
15,1.1710475665e-03,0.0000000000e+00,1.2000000000e+01
16,1.1454194319e-03,0.0000000000e+00,1.5000000000e+01
17,1.2985583162e-03,0.0000000000e+00,1.3000000000e+01
18,1.4713588171e-03,0.0000000000e+00,1.4000000000e+01
19,1.3221964473e-03,0.0000000000e+00,1.2000000000e+01
20,1.3805975905e-03,0.0000000000e+00,7.0000000000e+00
21,1.9963039085e-03,0.0000000000e+00,8.0000000000e+00
22,1.7465385608e-03,0.0000000000e+00,6.0000000000e+00
23,1.9230141770e-03,0.0000000000e+00,8.0000000000e+00
24,1.5059910947e-03,0.0000000000e+00,1.1000000000e+01
25,1.5618641628e-03,0.0000000000e+00,6.0000000000e+00
26,1.6468735412e-03,0.0000000000e+00,1.2000000000e+01
27,1.7536263913e-03,0.0000000000e+00,1.4000000000e+01
28,1.5591357369e-03,0.0000000000e+00,7.0000000000e+00
29,1.9846977666e-03,0.0000000000e+00,9.0000000000e+00
30,2.3940936662e-03,0.0000000000e+00,1.9000000000e+01
31,1.7638569698e-03,0.0000000000e+00,1.5000000000e+01
32,2.4905726314e-03,0.0000000000e+00,7.0000000000e+00
33,1.8623282667e-03,0.0000000000e+00,1.3000000000e+01
34,2.1388349123e-03,0.0000000000e+00,7.0000000000e+00
35,2.1835092921e-03,0.0000000000e+00,1.2000000000e+01
36,2.4038478732e-03,0.0000000000e+00,1.4000000000e+01
37,1.5657517361e-03,0.0000000000e+00,7.0000000000e+00
38,1.7231508391e-03,0.0000000000e+00,1.1000000000e+01
39,1.9678471144e-03,0.0000000000e+00,5.0000000000e+00
40,1.7128506443e-03,0.0000000000e+00,9.0000000000e+00
41,1.6552055022e-03,0.0000000000e+00,1.6000000000e+01
42,2.4751853198e-03,0.0000000000e+00,1.2000000000e+01
43,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
44,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
45,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
46,0.0000000000e+00,0.0000000000e+00,1.4000000000e+01
47,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
48,0.0000000000e+00,0.0000000000e+00,1.5000000000e+01
49,0.0000000000e+00,0.0000000000e+00,1.5000000000e+01
50,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
51,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
52,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
53,0.0000000000e+00,0.0000000000e+00,1.4000000000e+01
54,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
55,0.0000000000e+00,0.0000000000e+00,5.0000000000e+00
56,0.0000000000e+00,0.0000000000e+00,1.4000000000e+01
57,0.0000000000e+00,0.0000000000e+00,1.8000000000e+01
58,0.0000000000e+00,0.0000000000e+00,7.0000000000e+00
59,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
60,0.0000000000e+00,0.0000000000e+00,6.0000000000e+00
61,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
62,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
63,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
64,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
65,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
66,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
67,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
68,0.0000000000e+00,0.0000000000e+00,1.8000000000e+01
69,0.0000000000e+00,0.0000000000e+00,1.6000000000e+01
70,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
71,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
72,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
73,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
74,0.0000000000e+00,0.0000000000e+00,7.0000000000e+00
75,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
76,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
77,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
78,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
79,0.0000000000e+00,0.0000000000e+00,5.0000000000e+00
80,0.0000000000e+00,0.0000000000e+00,5.0000000000e+00
81,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
82,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
83,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
84,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
85,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
86,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
87,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
88,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
89,0.0000000000e+00,0.0000000000e+00,1.4000000000e+01
90,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
91,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
92,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
93,0.0000000000e+00,0.0000000000e+00,1.6000000000e+01
94,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
95,0.0000000000e+00,0.0000000000e+00,1.7000000000e+01
96,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
97,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
98,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
99,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
100,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
101,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
102,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
103,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
104,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
105,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
106,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
107,0.0000000000e+00,0.0000000000e+00,1.6000000000e+01
108,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
109,0.0000000000e+00,0.0000000000e+00,1.9000000000e+01
110,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
111,0.0000000000e+00,0.0000000000e+00,5.0000000000e+00
112,0.0000000000e+00,0.0000000000e+00,1.6000000000e+01
113,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
114,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
115,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
116,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
117,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
118,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
119,0.0000000000e+00,0.0000000000e+00,6.0000000000e+00
120,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
121,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
122,0.0000000000e+00,0.0000000000e+00,1.6000000000e+01
123,0.0000000000e+00,0.0000000000e+00,1.5000000000e+01
124,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
125,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
126,0.0000000000e+00,0.0000000000e+00,1.9000000000e+01
127,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
128,0.0000000000e+00,0.0000000000e+00,1.4000000000e+01
129,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
130,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
131,0.0000000000e+00,0.0000000000e+00,1.5000000000e+01
132,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
133,0.0000000000e+00,0.0000000000e+00,2.2000000000e+01
134,0.0000000000e+00,0.0000000000e+00,3.0000000000e+00
135,0.0000000000e+00,0.0000000000e+00,1.7000000000e+01
136,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
137,0.0000000000e+00,0.0000000000e+00,1.7000000000e+01
138,0.0000000000e+00,0.0000000000e+00,4.0000000000e+00
139,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
140,0.0000000000e+00,0.0000000000e+00,1.6000000000e+01
141,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
142,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
143,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
144,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
145,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
146,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
147,0.0000000000e+00,0.0000000000e+00,1.4000000000e+01
148,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
149,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
150,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
151,0.0000000000e+00,0.0000000000e+00,6.0000000000e+00
152,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
153,0.0000000000e+00,0.0000000000e+00,7.0000000000e+00
154,0.0000000000e+00,0.0000000000e+00,1.7000000000e+01
155,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
156,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
157,0.0000000000e+00,0.0000000000e+00,6.0000000000e+00
158,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
159,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
160,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
161,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
162,0.0000000000e+00,0.0000000000e+00,7.0000000000e+00
163,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
164,0.0000000000e+00,0.0000000000e+00,7.0000000000e+00
165,0.0000000000e+00,0.0000000000e+00,1.5000000000e+01
166,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
167,0.0000000000e+00,0.0000000000e+00,6.0000000000e+00
168,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
169,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
170,0.0000000000e+00,0.0000000000e+00,1.0000000000e+01
171,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
172,0.0000000000e+00,0.0000000000e+00,1.6000000000e+01
173,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
174,0.0000000000e+00,0.0000000000e+00,1.3000000000e+01
175,0.0000000000e+00,0.0000000000e+00,1.6000000000e+01
176,0.0000000000e+00,0.0000000000e+00,1.5000000000e+01
177,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
178,0.0000000000e+00,0.0000000000e+00,1.1000000000e+01
179,0.0000000000e+00,0.0000000000e+00,1.6000000000e+01
180,0.0000000000e+00,0.0000000000e+00,1.5000000000e+01
181,0.0000000000e+00,0.0000000000e+00,1.2000000000e+01
182,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
183,0.0000000000e+00,0.0000000000e+00,1.4000000000e+01
184,0.0000000000e+00,0.0000000000e+00,1.4000000000e+01
185,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
186,0.0000000000e+00,0.0000000000e+00,9.0000000000e+00
187,0.0000000000e+00,0.0000000000e+00,8.0000000000e+00
