step,vx_20_50,pressure_20_50,singularity_count
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,6.0942506790e-01,5.3012568750e+05,0.0000000000e+00
2,6.0790377855e-01,2.4311567383e+03,0.0000000000e+00
3,6.0591822863e-01,1.1326912842e+03,0.0000000000e+00
4,6.0514545441e-01,8.7054553223e+02,0.0000000000e+00
5,6.0546207428e-01,7.5576843262e+02,0.0000000000e+00
6,6.0643255711e-01,6.5418463135e+02,0.0000000000e+00
7,6.0709184408e-01,6.3108850098e+02,0.0000000000e+00
8,6.0750675201e-01,6.1450598145e+02,0.0000000000e+00
9,6.0774934292e-01,6.0191949463e+02,0.0000000000e+00
10,6.0774075985e-01,5.8594256592e+02,0.0000000000e+00
11,6.0828155279e-01,5.7573614502e+02,0.0000000000e+00
12,6.0969704390e-01,5.6805987549e+02,0.0000000000e+00
13,6.1068952084e-01,5.6806268311e+02,0.0000000000e+00
14,6.1177909374e-01,5.6068835449e+02,0.0000000000e+00
15,6.1366528273e-01,5.5496716309e+02,0.0000000000e+00
16,6.1542946100e-01,5.5893426514e+02,0.0000000000e+00
17,6.1740887165e-01,5.5778143311e+02,0.0000000000e+00
18,6.1923474073e-01,5.6135400391e+02,0.0000000000e+00
19,6.2034833431e-01,5.6414276123e+02,0.0000000000e+00
20,6.2103855610e-01,5.7531811523e+02,0.0000000000e+00
21,6.2198543549e-01,5.7968017578e+02,0.0000000000e+00
22,6.2339705229e-01,5.9055151367e+02,0.0000000000e+00
23,6.2506079674e-01,5.9249389648e+02,0.0000000000e+00
24,6.2690681219e-01,5.9561260986e+02,0.0000000000e+00
25,6.2882810831e-01,5.9871588135e+02,0.0000000000e+00
26,6.3024586439e-01,5.9874139404e+02,0.0000000000e+00
27,6.3177388906e-01,6.0026068115e+02,0.0000000000e+00
28,6.3339072466e-01,6.0575183105e+02,0.0000000000e+00
29,6.3537180424e-01,6.1305908203e+02,0.0000000000e+00
30,6.3724362850e-01,6.1942352295e+02,0.0000000000e+00
31,6.3942885399e-01,6.1872369385e+02,0.0000000000e+00
32,6.4137470722e-01,6.1676373291e+02,0.0000000000e+00
33,6.4302551746e-01,6.2246997070e+02,0.0000000000e+00
34,6.4460891485e-01,6.1689007568e+02,0.0000000000e+00
35,6.4661782980e-01,6.1701989746e+02,0.0000000000e+00
36,6.4811497927e-01,6.1523205566e+02,0.0000000000e+00
37,6.4948123693e-01,6.1257818604e+02,0.0000000000e+00
38,6.5092223883e-01,6.1264154053e+02,0.0000000000e+00
39,6.5296798944e-01,6.1491613770e+02,0.0000000000e+00
40,6.5534305573e-01,6.2034667969e+02,0.0000000000e+00
41,6.5805935860e-01,6.2750482178e+02,0.0000000000e+00
42,6.5974384546e-01,6.3135217285e+02,0.0000000000e+00
43,6.6179031134e-01,6.3142572021e+02,0.0000000000e+00
44,6.6375356913e-01,6.3263055420e+02,0.0000000000e+00
45,6.6533643007e-01,6.3981195068e+02,0.0000000000e+00
46,6.6730874777e-01,6.4877539062e+02,0.0000000000e+00
47,6.7068034410e-01,6.5030505371e+02,0.0000000000e+00
48,6.7389810085e-01,6.5743157959e+02,0.0000000000e+00
49,6.7617356777e-01,6.6525445557e+02,0.0000000000e+00
50,6.7787390947e-01,6.7116912842e+02,0.0000000000e+00
