step,volume,free_surface_area,vx_10_20,pressure_25_30
0,1.5625336170e+00,2.4999988079e+00,0.0000000000e+00,0.0000000000e+00
1,1.5625336170e+00,2.4999990463e+00,2.7832030901e-04,6.7443867188e+03
2,1.5627335310e+00,2.5799989700e+00,5.7916057995e-04,6.8035839844e+03
3,1.5632336140e+00,2.7499988079e+00,8.8380707894e-04,6.8162280273e+03
4,1.5637587309e+00,2.8499987125e+00,1.1937440140e-03,6.8286669922e+03
5,1.5641587973e+00,2.8949985504e+00,1.5077566495e-03,6.8402416992e+03
6,1.5647089481e+00,2.9549987316e+00,1.8254520837e-03,6.8526879883e+03
7,1.5652588606e+00,3.0049986839e+00,2.1455017850e-03,6.8640166016e+03
8,1.5657589436e+00,2.9849987030e+00,2.4704015814e-03,6.8754628906e+03
9,1.5663092136e+00,2.9449989796e+00,2.7972522657e-03,6.8891845703e+03
10,1.5666593313e+00,2.8949987888e+00,3.1250722241e-03,6.8995708008e+03
11,1.5669343472e+00,2.8349986076e+00,3.4544914961e-03,6.9067729492e+03
12,1.5671093464e+00,2.7749989033e+00,3.7897108123e-03,6.9130927734e+03
13,1.5673093796e+00,2.7649986744e+00,4.1187480092e-03,6.9176733398e+03
14,1.5674093962e+00,2.7549986839e+00,4.4453246519e-03,6.9221816406e+03
15,1.5674842596e+00,2.7549986839e+00,4.7667459585e-03,6.9260258789e+03
16,1.5676094294e+00,2.7349989414e+00,5.1102740690e-03,6.9305922852e+03
17,1.5677343607e+00,2.7049987316e+00,5.4478701204e-03,6.9336933594e+03
18,1.5678343773e+00,2.7049987316e+00,5.7422257960e-03,6.9374765625e+03
19,1.5679844618e+00,2.6999988556e+00,6.0996548273e-03,6.9416630859e+03
20,1.5681093931e+00,2.6899988651e+00,6.3088363968e-03,6.9455893555e+03
21,1.5682344437e+00,2.6799988747e+00,6.6442955285e-03,6.9504091797e+03
22,1.5683845282e+00,2.6499986649e+00,7.0642004721e-03,6.9530922852e+03
23,1.5685344934e+00,2.5999987125e+00,7.5961663388e-03,6.9560537109e+03
24,1.5686595440e+00,2.5899989605e+00,7.5844177045e-03,6.9641748047e+03
25,1.5687845945e+00,2.5999989510e+00,8.1610474735e-03,6.9514877930e+03
26,1.5688846111e+00,2.5949988365e+00,8.1888521090e-03,6.9743925781e+03
27,1.5691345930e+00,2.5649988651e+00,8.6568389088e-03,6.9551000977e+03
28,1.5692347288e+00,2.5949988365e+00,8.6051700637e-03,6.9717377930e+03
29,1.5693846941e+00,2.5849990845e+00,9.3743260950e-03,6.9494013672e+03
30,1.5695847273e+00,2.5749990940e+00,9.4817969948e-03,6.9800981445e+03
31,1.5697348118e+00,2.5749988556e+00,1.0575869121e-02,6.9481723633e+03
32,1.5697346926e+00,2.6399989128e+00,9.8367678002e-03,6.9715527344e+03
33,1.5696347952e+00,2.6599988937e+00,1.0981013998e-02,6.9458457031e+03
34,1.5694849491e+00,2.6399989128e+00,1.0683157481e-02,6.9754125977e+03
35,1.5694597960e+00,2.6199989319e+00,1.1014973745e-02,6.9580766602e+03
36,1.5692849159e+00,2.6099989414e+00,1.1244262569e-02,6.9600234375e+03
37,1.5691850185e+00,2.6149988174e+00,1.1972908862e-02,6.9628652344e+03
38,1.5690600872e+00,2.6249988079e+00,1.1978168041e-02,6.9702138672e+03
39,1.5690600872e+00,2.6649987698e+00,1.2513047084e-02,6.9713784180e+03
40,1.5686850548e+00,2.6649987698e+00,1.2702864595e-02,6.9737094727e+03
41,1.5688101053e+00,2.6699988842e+00,1.3237201609e-02,6.9943740234e+03
42,1.5686602592e+00,2.6999990940e+00,1.3296546414e-02,6.9864047852e+03
43,1.5684353113e+00,2.7199990749e+00,1.3851628639e-02,7.0060747070e+03
44,1.5680103302e+00,2.7199988365e+00,1.3863432221e-02,7.0029941406e+03
45,1.5677604675e+00,2.7349987030e+00,1.4094521292e-02,7.0216406250e+03
46,1.5676354170e+00,2.6099989414e+00,1.4092684723e-02,7.0214790039e+03
47,1.5677354336e+00,2.5699989796e+00,1.4032017440e-02,7.0397001953e+03
48,1.5677604675e+00,2.5899989605e+00,1.5881733969e-02,7.0475429688e+03
49,1.5679354668e+00,2.5649988651e+00,1.5044060536e-02,7.0718647461e+03
50,1.5679854155e+00,2.5949988365e+00,1.6799317673e-02,7.0760444336e+03
51,1.5680353642e+00,2.5949988365e+00,1.5674391761e-02,7.0772138672e+03
52,1.5682605505e+00,2.5799987316e+00,1.7272809520e-02,7.1039541016e+03
53,1.5683354139e+00,2.5899987221e+00,1.6426645219e-02,7.0988168945e+03
54,1.5686355829e+00,2.5799987316e+00,1.7703155056e-02,7.1234443359e+03
55,1.5687855482e+00,2.5799989700e+00,1.6815984622e-02,7.1178759766e+03
56,1.5689107180e+00,2.6449985504e+00,1.8220931292e-02,7.1464487305e+03
57,1.5686357021e+00,2.6449985504e+00,1.9172023982e-02,7.1516416016e+03
58,1.5686106682e+00,2.6249988079e+00,1.7947196960e-02,7.1648515625e+03
59,1.5686606169e+00,2.6699988842e+00,1.8930463120e-02,7.1797998047e+03
60,1.5686855316e+00,2.6499986649e+00,1.7561931163e-02,7.1828510742e+03
61,1.5684355497e+00,2.6699986458e+00,1.7285877839e-02,7.2099643555e+03
62,1.5684105158e+00,2.6949987411e+00,1.9627751783e-02,7.2105771484e+03
63,1.5681353807e+00,2.6649987698e+00,2.0749934018e-02,7.2253803711e+03
64,1.5678604841e+00,2.6449987888e+00,2.0396742970e-02,7.2446367188e+03
65,1.5676854849e+00,2.6149988174e+00,1.9213857129e-02,7.2380747070e+03
66,1.5676352978e+00,2.6049985886e+00,2.0743539557e-02,7.2801860352e+03
67,1.5677354336e+00,2.6199989319e+00,2.1112259477e-02,7.2683408203e+03
68,1.5679855347e+00,2.6299986839e+00,1.9340461120e-02,7.2883710938e+03
69,1.5679603815e+00,2.6499986649e+00,2.1010279655e-02,7.2944687500e+03
70,1.5681855679e+00,2.6249985695e+00,2.2991720587e-02,7.3009863281e+03
71,1.5684355497e+00,2.6249988079e+00,2.1118856966e-02,7.3008784180e+03
72,1.5686105490e+00,2.6249988079e+00,2.1675571799e-02,7.3257670898e+03
73,1.5685856342e+00,2.6599986553e+00,2.3732442409e-02,7.3076093750e+03
74,1.5684856176e+00,2.6399986744e+00,2.3099556565e-02,7.3382124023e+03
75,1.5684854984e+00,2.6349987984e+00,2.2581800818e-02,7.3382338867e+03
76,1.5684604645e+00,2.6649987698e+00,2.3864666000e-02,7.3209609375e+03
77,1.5683856010e+00,2.6649990082e+00,2.3786988109e-02,7.3589970703e+03
78,1.5682854652e+00,2.6899986267e+00,2.4175470695e-02,7.3366166992e+03
79,1.5678606033e+00,2.6699986458e+00,2.4387160316e-02,7.3593764648e+03
80,1.5677604675e+00,2.6099987030e+00,2.4311861023e-02,7.3671982422e+03
81,1.5677354336e+00,2.6499989033e+00,2.4600749835e-02,7.3701547852e+03
82,1.5680105686e+00,2.6249990463e+00,2.4773878977e-02,7.3897192383e+03
83,1.5681355000e+00,2.6249990463e+00,2.4327749386e-02,7.3916538086e+03
84,1.5682855844e+00,2.6149990559e+00,2.5860261172e-02,7.4010737305e+03
85,1.5684105158e+00,2.6299989223e+00,2.5311328471e-02,7.4334062500e+03
86,1.5685606003e+00,2.6199989319e+00,2.6960700750e-02,7.4084282227e+03
87,1.5683856010e+00,2.6449987888e+00,2.6764916256e-02,7.4670971680e+03
88,1.5684856176e+00,2.6349987984e+00,2.6983855292e-02,7.4528051758e+03
89,1.5683856010e+00,2.6599986553e+00,2.6737170294e-02,7.4703442383e+03
90,1.5683106184e+00,2.6799986362e+00,2.6897568256e-02,7.5011010742e+03
91,1.5680605173e+00,2.7049987316e+00,2.6960542426e-02,7.4891020508e+03
92,1.5675603151e+00,2.6799988747e+00,2.8278008103e-02,7.4939599609e+03
93,1.5678104162e+00,2.6349985600e+00,2.6681743562e-02,7.5329946289e+03
94,1.5679603815e+00,2.6249988079e+00,2.9971173033e-02,7.5408027344e+03
95,1.5680104494e+00,2.6299986839e+00,2.9261119664e-02,7.5521962891e+03
96,1.5682605505e+00,2.6599986553e+00,2.9064251110e-02,7.5908081055e+03
97,1.5682855844e+00,2.6349987984e+00,2.8895491734e-02,7.5659394531e+03
98,1.5684103966e+00,2.6249988079e+00,2.9775978997e-02,7.6029707031e+03
99,1.5683104992e+00,2.6699986458e+00,2.8408607468e-02,7.6216826172e+03
100,1.5682605505e+00,2.6699986458e+00,3.0188880861e-02,7.6194667969e+03
