step,volume,free_surface_area,singularity_count
0,6.0024924576e-02,4.8999986053e-01,0.0000000000e+00
1,6.0024924576e-02,4.8999989033e-01,1.0000000000e+01
2,6.0124918818e-02,5.2999985218e-01,9.0000000000e+00
3,6.0224927962e-02,5.5499988794e-01,8.0000000000e+00
4,6.0349918902e-02,5.7499986887e-01,9.0000000000e+00
5,6.0424923897e-02,5.9499984980e-01,1.0000000000e+01
6,6.0474924743e-02,5.8499985933e-01,9.0000000000e+00
7,6.0524925590e-02,5.8499985933e-01,1.9000000000e+01
8,6.0649927706e-02,5.7499980927e-01,9.0000000000e+00
9,6.0724928975e-02,5.6499981880e-01,1.2000000000e+01
10,6.0749933124e-02,5.5499982834e-01,8.0000000000e+00
11,6.0799926519e-02,5.5499976873e-01,1.2000000000e+01
12,6.0899928212e-02,5.3499984741e-01,2.1000000000e+01
13,6.0924924910e-02,5.2499985695e-01,7.0000000000e+00
14,6.0924928635e-02,5.2499985695e-01,7.0000000000e+00
15,6.0974925756e-02,5.4499983788e-01,1.5000000000e+01
16,6.1024922878e-02,5.4499983788e-01,1.2000000000e+01
17,6.1049927026e-02,5.4499983788e-01,7.0000000000e+00
18,6.1099927872e-02,5.3499984741e-01,1.3000000000e+01
19,6.1074927449e-02,5.4499983788e-01,1.3000000000e+01
20,6.1049930751e-02,5.5499982834e-01,1.3000000000e+01
21,6.1099931598e-02,5.3499984741e-01,1.2000000000e+01
22,6.1174929142e-02,5.1999986172e-01,1.1000000000e+01
23,6.1199925840e-02,5.1999986172e-01,1.5000000000e+01
24,6.1224929988e-02,5.1999986172e-01,5.0000000000e+00
25,6.1249930412e-02,5.0999987125e-01,6.0000000000e+00
26,6.1299923807e-02,5.0999987125e-01,8.0000000000e+00
27,6.1299927533e-02,5.0999987125e-01,1.0000000000e+01
28,6.1349928379e-02,4.9999988079e-01,6.0000000000e+00
29,6.1349928379e-02,5.0999987125e-01,1.2000000000e+01
30,6.1399929225e-02,5.1499986649e-01,1.3000000000e+01
31,6.1424937099e-02,5.1499986649e-01,1.4000000000e+01
32,6.1499930918e-02,5.1499986649e-01,9.0000000000e+00
33,6.1499934644e-02,5.1499986649e-01,5.0000000000e+00
34,6.1424929649e-02,5.0499987602e-01,1.5000000000e+01
35,6.1424929649e-02,5.0499987602e-01,1.1000000000e+01
36,6.1324931681e-02,5.1499986649e-01,1.4000000000e+01
37,6.1299931258e-02,5.2999985218e-01,1.1000000000e+01
38,6.1324931681e-02,5.2999985218e-01,1.0000000000e+01
39,6.1299931258e-02,5.0999987125e-01,1.3000000000e+01
40,6.1299934983e-02,5.1999986172e-01,1.5000000000e+01
41,6.1274930835e-02,5.2999985218e-01,1.4000000000e+01
42,6.1324931681e-02,5.2499985695e-01,9.0000000000e+00
43,6.1224929988e-02,5.2499985695e-01,1.5000000000e+01
44,6.1249934137e-02,5.2499985695e-01,1.9000000000e+01
45,6.1174929142e-02,5.3999984264e-01,1.0000000000e+01
46,6.1074938625e-02,5.4999983311e-01,5.0000000000e+00
47,6.0974933207e-02,5.1499986649e-01,1.1000000000e+01
48,6.0999937356e-02,5.1499986649e-01,1.2000000000e+01
49,6.1049930751e-02,5.1499986649e-01,1.1000000000e+01
50,6.1049934477e-02,5.1499986649e-01,1.4000000000e+01
51,6.1124935746e-02,5.2999985218e-01,1.4000000000e+01
52,6.1099931598e-02,5.2999985218e-01,2.0000000000e+00
53,6.1149932444e-02,5.2999985218e-01,1.2000000000e+01
54,6.1174944043e-02,5.1999986172e-01,9.0000000000e+00
55,6.1199944466e-02,5.3499984741e-01,8.0000000000e+00
56,6.1249941587e-02,5.2499985695e-01,1.3000000000e+01
57,6.1274942011e-02,5.2499985695e-01,1.8000000000e+01
58,6.1274938285e-02,5.2499985695e-01,1.0000000000e+01
59,6.1274938285e-02,5.3999984264e-01,1.6000000000e+01
60,6.1249945313e-02,5.3999984264e-01,7.0000000000e+00
61,6.1249945313e-02,5.3999984264e-01,3.0000000000e+00
62,6.1249945313e-02,5.2999985218e-01,1.2000000000e+01
63,6.1174944043e-02,5.3499984741e-01,1.8000000000e+01
64,6.1249952763e-02,5.3499984741e-01,8.0000000000e+00
65,6.1199948192e-02,5.4499983788e-01,1.0000000000e+01
66,6.1099946499e-02,5.7499986887e-01,1.5000000000e+01
67,6.1049953103e-02,5.4499983788e-01,9.0000000000e+00
68,6.1024948955e-02,5.3499984741e-01,1.6000000000e+01
69,6.0999959707e-02,5.4499983788e-01,1.2000000000e+01
70,6.1049953103e-02,5.3999984264e-01,1.6000000000e+01
71,6.1174958944e-02,5.3999984264e-01,1.2000000000e+01
72,6.1199963093e-02,5.3999984264e-01,1.5000000000e+01
73,6.1199963093e-02,5.4499983788e-01,1.3000000000e+01
74,6.1224967241e-02,5.4499983788e-01,9.0000000000e+00
75,6.1174966395e-02,5.5499982834e-01,1.2000000000e+01
76,6.1249971390e-02,5.4999989271e-01,1.3000000000e+01
77,6.1224967241e-02,5.4999989271e-01,1.0000000000e+01
78,6.1299972236e-02,5.4999983311e-01,1.6000000000e+01
79,6.1249975115e-02,5.5499988794e-01,8.0000000000e+00
80,6.1174973845e-02,5.5499988794e-01,1.0000000000e+01
81,6.1174973845e-02,5.7499986887e-01,7.0000000000e+00
82,6.1249986291e-02,5.5999988317e-01,1.0000000000e+01
83,6.1074987054e-02,5.7499986887e-01,1.5000000000e+01
84,6.1024982482e-02,5.5499988794e-01,8.0000000000e+00
85,6.1074987054e-02,5.6999987364e-01,7.0000000000e+00
86,6.1174988747e-02,5.5999988317e-01,1.1000000000e+01
87,6.1124995351e-02,5.5999988317e-01,1.0000000000e+01
88,6.1149995774e-02,5.6499987841e-01,1.6000000000e+01
89,6.1174996197e-02,5.6499993801e-01,8.0000000000e+00
90,6.1224993318e-02,5.7499986887e-01,1.1000000000e+01
91,6.1224997044e-02,5.6999987364e-01,1.1000000000e+01
92,6.1200000346e-02,5.6999993324e-01,1.3000000000e+01
93,6.1225011945e-02,5.6999993324e-01,8.0000000000e+00
94,6.1300009489e-02,5.7499992847e-01,1.2000000000e+01
95,6.1275012791e-02,5.7499992847e-01,7.0000000000e+00
96,6.1175011098e-02,5.9499984980e-01,1.4000000000e+01
97,6.1200011522e-02,5.7999998331e-01,1.0000000000e+01
98,6.1200015247e-02,5.9999996424e-01,1.0000000000e+01
99,6.1075024307e-02,5.8499991894e-01,1.2000000000e+01
100,6.1100024730e-02,5.7999998331e-01,5.0000000000e+00
101,6.1150021851e-02,5.7999998331e-01,7.0000000000e+00
102,6.1150029302e-02,5.7999992371e-01,7.0000000000e+00
103,6.1150021851e-02,5.8499991894e-01,9.0000000000e+00
104,6.1150029302e-02,5.8499997854e-01,1.8000000000e+01
105,6.1200030148e-02,5.8999997377e-01,1.2000000000e+01
106,6.1300035566e-02,5.8999991417e-01,1.3000000000e+01
107,6.1250038445e-02,5.8999997377e-01,1.3000000000e+01
108,6.1175040901e-02,5.9499996901e-01,8.0000000000e+00
109,6.1325043440e-02,5.9499996901e-01,1.1000000000e+01
110,6.1225049198e-02,5.9499996901e-01,1.0000000000e+01
111,6.1225041747e-02,5.9999990463e-01,6.0000000000e+00
112,6.1175048351e-02,6.0999995470e-01,7.0000000000e+00
113,6.1100050807e-02,6.0499995947e-01,1.0000000000e+01
114,6.1275057495e-02,5.9999996424e-01,1.1000000000e+01
115,6.1125054955e-02,5.9999990463e-01,9.0000000000e+00
116,6.1150059104e-02,6.0499989986e-01,1.3000000000e+01
117,6.1250060797e-02,6.0499989986e-01,1.1000000000e+01
118,6.1225056648e-02,6.0499989986e-01,1.2000000000e+01
119,6.1250060797e-02,6.0999989510e-01,1.1000000000e+01
120,6.1250068247e-02,6.0999989510e-01,1.3000000000e+01
121,6.1250075698e-02,6.0999989510e-01,8.0000000000e+00
122,6.1375074089e-02,6.1499989033e-01,6.0000000000e+00
123,6.1275068671e-02,6.2499994040e-01,1.0000000000e+01
124,6.1200074852e-02,6.1999988556e-01,1.3000000000e+01
125,6.1175078154e-02,6.1999988556e-01,1.4000000000e+01
126,6.1250090599e-02,6.2999993563e-01,1.3000000000e+01
127,6.1275087297e-02,6.2999987602e-01,1.5000000000e+01
128,6.1050079763e-02,6.1999982595e-01,1.5000000000e+01
129,6.1200086027e-02,6.2499988079e-01,1.5000000000e+01
130,6.1325088143e-02,6.2499988079e-01,1.2000000000e+01
131,6.1250090599e-02,6.2499988079e-01,1.4000000000e+01
132,6.1325095594e-02,6.2999987602e-01,7.0000000000e+00
133,6.1200089753e-02,6.2999987602e-01,1.0000000000e+01
134,6.1200097203e-02,6.3499993086e-01,8.0000000000e+00
135,6.1300098896e-02,6.3499993086e-01,1.1000000000e+01
136,6.1375103891e-02,6.4499992132e-01,1.0000000000e+01
137,6.1350107193e-02,6.3999986649e-01,6.0000000000e+00
138,6.1250098050e-02,6.3999986649e-01,1.1000000000e+01
139,6.1225108802e-02,6.4499992132e-01,1.2000000000e+01
140,6.1225108802e-02,6.5499985218e-01,9.0000000000e+00
141,6.1175115407e-02,6.3999986649e-01,1.1000000000e+01
142,6.1350107193e-02,6.4499986172e-01,1.4000000000e+01
143,6.1225119978e-02,6.4499986172e-01,1.7000000000e+01
144,6.1300117522e-02,6.4999991655e-01,8.0000000000e+00
145,6.1325125396e-02,6.4999991655e-01,2.0000000000e+01
146,6.1275124550e-02,6.4999991655e-01,1.4000000000e+01
147,6.1300121248e-02,6.5499991179e-01,1.0000000000e+01
148,6.1400130391e-02,6.5499991179e-01,1.5000000000e+01
149,6.1350129545e-02,6.6999989748e-01,1.1000000000e+01
150,6.1325132847e-02,6.5999990702e-01,1.1000000000e+01
151,6.1275139451e-02,6.6499990225e-01,1.1000000000e+01
152,6.1225138605e-02,6.6499996185e-01,1.4000000000e+01
153,6.1250142753e-02,6.6499990225e-01,1.1000000000e+01
154,6.1275146902e-02,6.7999988794e-01,7.0000000000e+00
155,6.1275146902e-02,6.6499990225e-01,1.5000000000e+01
156,6.1350144446e-02,6.6999995708e-01,1.3000000000e+01
157,6.1325144023e-02,6.6999995708e-01,5.0000000000e+00
158,6.1425149441e-02,6.7499995232e-01,1.2000000000e+01
159,6.1375148594e-02,6.7499995232e-01,1.0000000000e+01
160,6.1375156045e-02,6.7500001192e-01,9.0000000000e+00
161,6.1450153589e-02,6.7999994755e-01,1.8000000000e+01
162,6.1350159347e-02,6.7999994755e-01,1.1000000000e+01
163,6.1425160617e-02,6.8500000238e-01,1.0000000000e+01
164,6.1300158501e-02,6.8499994278e-01,1.5000000000e+01
165,6.1325162649e-02,6.8999999762e-01,8.0000000000e+00
166,6.1350166798e-02,6.8999999762e-01,9.0000000000e+00
167,6.1350166798e-02,6.9999992847e-01,1.3000000000e+01
168,6.1175175011e-02,6.8499994278e-01,1.8000000000e+01
169,6.1350174248e-02,6.8000000715e-01,1.2000000000e+01
170,6.1375170946e-02,6.8000000715e-01,1.1000000000e+01
171,6.1300184578e-02,6.8000000715e-01,1.8000000000e+01
172,6.1350181699e-02,6.7500001192e-01,2.1000000000e+01
173,6.1400182545e-02,6.7000001669e-01,8.0000000000e+00
174,6.1350181699e-02,6.7000001669e-01,1.5000000000e+01
175,6.1425190419e-02,6.7500001192e-01,1.6000000000e+01
176,6.1325185001e-02,6.6499996185e-01,1.7000000000e+01
177,6.1350189149e-02,6.6999995708e-01,8.0000000000e+00
178,6.1375185847e-02,6.7500001192e-01,9.0000000000e+00
179,6.1375189573e-02,6.7000001669e-01,1.4000000000e+01
180,6.1350189149e-02,6.7499995232e-01,1.0000000000e+01
181,6.1275199056e-02,6.7500001192e-01,2.2000000000e+01
182,6.1325192451e-02,6.7999994755e-01,1.4000000000e+01
183,6.1375200748e-02,6.7500001192e-01,1.6000000000e+01
184,6.1375208199e-02,6.8000000715e-01,1.2000000000e+01
185,6.1450205743e-02,6.8500000238e-01,6.0000000000e+00
186,6.1375200748e-02,6.8999993801e-01,7.0000000000e+00
187,6.1425209045e-02,6.9499993324e-01,9.0000000000e+00
188,6.1400212348e-02,6.9999992847e-01,7.0000000000e+00
189,6.1425212771e-02,6.9499999285e-01,1.6000000000e+01
190,6.1425216496e-02,6.9999998808e-01,1.5000000000e+01
