step,vx_150_50,vy_150_50,pressure_150_50,Cd,Cl,energy
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.4100000000e+02
1,2.9523127079e+00,-7.7500002226e-04,7.2313681250e+05,1.1086597443e+02,-2.7699653059e-02,9.1347484375e+04
2,3.0432038307e+00,9.6934603062e-04,2.2835230469e+04,2.7612130642e+00,-4.8343639821e-02,9.5226609375e+04
3,3.0276792049e+00,6.2755733961e-04,-3.8808618164e+03,1.2048850060e+00,-1.2252163142e-02,9.4556859375e+04
4,3.0118262768e+00,2.9188813642e-04,-3.9707871094e+03,1.0697224140e+00,-3.7222290412e-03,9.3889335938e+04
5,2.9963850975e+00,6.7681045039e-04,-3.9751013184e+03,9.6011948586e-01,4.6503362246e-03,9.3241710938e+04
6,2.9816029072e+00,-3.7065157085e-04,-3.8867194824e+03,8.8415187597e-01,1.0503472295e-03,9.2612054688e+04
7,2.9752388000e+00,-3.2890966395e-04,-1.5795345459e+03,8.6971896887e-01,-2.7226697654e-02,9.2297335938e+04
8,2.9752938747e+00,-3.8876081817e-04,-8.8709037781e+01,1.0149486065e+00,-1.7890013754e-02,9.2276476562e+04
9,2.9770197868e+00,7.6056137914e-04,1.0893099213e+02,1.0027987957e+00,-2.6612684596e-03,9.2297093750e+04
10,2.9780564308e+00,1.6267350875e-03,2.7815261841e+02,1.0503495932e+00,-1.2077772059e-02,9.2356476562e+04
11,2.9783313274e+00,2.2522963118e-03,4.1054284668e+02,1.0306887627e+00,-1.2272135355e-02,9.2447570312e+04
12,2.9782252312e+00,1.7031290336e-03,5.1497418213e+02,1.0397686958e+00,9.5586478710e-03,9.2562046875e+04
13,2.9792466164e+00,8.5695623420e-04,6.0301831055e+02,1.0843386650e+00,-1.6761966050e-02,9.2690765625e+04
14,2.9817109108e+00,5.4875737987e-05,6.7732373047e+02,1.0858798027e+00,-1.2158737518e-02,9.2830820312e+04
15,2.9845952988e+00,-8.0863403855e-04,7.3937329102e+02,1.0987545252e+00,-3.1056723092e-03,9.2984414062e+04
16,2.9888305664e+00,-7.5660611037e-04,7.9007409668e+02,1.1435678005e+00,-1.2727186549e-03,9.3143515625e+04
17,2.9925291538e+00,-8.5594237316e-04,8.2504382324e+02,1.1652486324e+00,-1.7058376223e-02,9.3311804688e+04
18,2.9962770939e+00,-5.1023898413e-04,8.4369763184e+02,1.2086262703e+00,-1.5522168018e-02,9.3482414062e+04
19,2.9998621941e+00,-2.9793608701e-04,8.3779071045e+02,1.2244559526e+00,-1.5759879723e-02,9.3654234375e+04
20,3.0034663677e+00,-1.0102946544e-04,8.2066638184e+02,1.2596806288e+00,-8.4584550932e-03,9.3826351562e+04
21,3.0067124367e+00,6.8936496973e-05,7.8318334961e+02,1.2911202908e+00,8.0112036085e-04,9.3991265625e+04
22,3.0096302032e+00,5.9491634602e-05,7.3291522217e+02,1.3142063618e+00,6.3697644509e-03,9.4151125000e+04
23,3.0122809410e+00,2.0604641759e-04,6.6720672607e+02,1.3665747643e+00,-4.6653090976e-03,9.4305843750e+04
24,3.0145523548e+00,2.5761779398e-04,5.8954492188e+02,1.3839069605e+00,-1.6986422241e-02,9.4451781250e+04
25,3.0165796280e+00,4.5873495401e-04,4.9131140137e+02,1.4048215151e+00,-2.7772352099e-02,9.4585484375e+04
26,3.0179457664e+00,5.1539589185e-04,3.8423263550e+02,1.4298285246e+00,3.0299886130e-03,9.4700828125e+04
27,3.0189578533e+00,5.1665166393e-04,2.6954592896e+02,1.4505654573e+00,-6.2594264746e-03,9.4802437500e+04
28,3.0196411610e+00,4.2753614252e-04,1.5308782959e+02,1.4814304113e+00,-1.4017978683e-02,9.4881250000e+04
29,3.0196528435e+00,4.5068567852e-04,4.0571994781e+01,1.5046058893e+00,-9.0166553855e-03,9.4944125000e+04
30,3.0194716454e+00,6.3751178095e-04,-7.1143051147e+01,1.5209544897e+00,-1.9171142951e-02,9.4986265625e+04
31,3.0186300278e+00,7.9472601647e-04,-1.6956040955e+02,1.5476769209e+00,-1.1096072383e-02,9.5008273438e+04
32,3.0176904202e+00,6.6441437230e-04,-2.6818777466e+02,1.5480473042e+00,-1.7184957396e-03,9.5014937500e+04
33,3.0162220001e+00,6.0291541740e-04,-3.5024273682e+02,1.5620421171e+00,-4.7990586609e-03,9.5005351562e+04
34,3.0144248009e+00,7.7976856846e-04,-4.2083187866e+02,1.5680006742e+00,-2.4790683761e-02,9.4984640625e+04
35,3.0123083591e+00,4.4317831635e-04,-4.8456021118e+02,1.5824533701e+00,-2.2475976497e-02,9.4955093750e+04
36,3.0103013515e+00,3.2830709824e-04,-5.4003375244e+02,1.5945540667e+00,-9.8607046530e-03,9.4916781250e+04
37,3.0077939034e+00,1.7773220316e-04,-5.8362792969e+02,1.5893722773e+00,7.2018769570e-03,9.4869492188e+04
38,3.0051207542e+00,3.2987029408e-04,-6.2255523682e+02,1.6160006523e+00,-3.4870062955e-03,9.4818679688e+04
39,3.0027086735e+00,-1.0287254117e-03,-6.4729107666e+02,1.5985577106e+00,-1.3763953000e-02,9.4764125000e+04
40,2.9999728203e+00,8.0115732271e-04,-6.4543145752e+02,1.5853165388e+00,-2.3821868002e-02,9.4711601562e+04
41,2.9974224567e+00,-3.3437000820e-04,-6.4491021729e+02,1.5811692476e+00,-2.1007893607e-02,9.4653140625e+04
42,2.9949271679e+00,5.0620816182e-04,-6.4300262451e+02,1.6027166843e+00,-2.5032315403e-02,9.4599937500e+04
43,2.9923696518e+00,1.2726464774e-05,-5.9995867920e+02,1.5840260983e+00,-1.4228515327e-02,9.4552835938e+04
44,2.9892506599e+00,-2.1242569346e-05,-5.6785260010e+02,1.5711797476e+00,-2.0613878965e-02,9.4507320312e+04
45,2.9874196053e+00,-7.8688631766e-04,-5.1573754883e+02,1.5819400549e+00,-1.7158389091e-02,9.4468773438e+04
46,2.9858460426e+00,-6.2476191670e-04,-4.6025619507e+02,1.5450394154e+00,-1.4945204370e-02,9.4439554688e+04
47,2.9842379093e+00,-8.0682092812e-04,-3.9304010010e+02,1.5461175442e+00,-1.5645344974e-03,9.4421117188e+04
48,2.9832270145e+00,-8.5758103523e-04,-3.2186395264e+02,1.5555428267e+00,-1.2191975489e-02,9.4412945312e+04
49,2.9822525978e+00,-6.4614601433e-04,-2.5074645996e+02,1.5450792313e+00,-1.7680842429e-02,9.4415429688e+04
50,2.9822347164e+00,-1.1749472469e-03,-1.5821441650e+02,1.5219156742e+00,-2.7076797560e-02,9.4430664062e+04
51,2.9815115929e+00,3.5383724025e-04,-8.2167175293e+01,1.5233145952e+00,-2.0993787795e-02,9.4460281250e+04
52,2.9818134308e+00,-1.0340631707e-04,1.2483267784e+01,1.5310465097e+00,-1.3595378026e-02,9.4504718750e+04
53,2.9817595482e+00,-1.6786062042e-04,8.4169433594e+01,1.5183979273e+00,-1.8795233220e-02,9.4564312500e+04
54,2.9825842381e+00,-6.4158882014e-04,1.6070381165e+02,1.5275838375e+00,-1.5094120987e-02,9.4635992188e+04
55,2.9834256172e+00,1.9911240088e-04,2.2468817139e+02,1.5170233250e+00,-2.6856079698e-02,9.4718281250e+04
56,2.9847633839e+00,-2.4547282374e-04,2.8252691650e+02,1.5307370424e+00,-2.1419813856e-02,9.4811039062e+04
57,2.9858968258e+00,2.3128348403e-05,3.3697354126e+02,1.5386433601e+00,-2.9893264174e-02,9.4914679688e+04
58,2.9873075485e+00,-3.7415247061e-04,3.8706280518e+02,1.5397433043e+00,-3.1266886741e-02,9.5029007812e+04
59,2.9892663956e+00,-2.5967121474e-04,4.2841644287e+02,1.5405136347e+00,-2.6470201090e-02,9.5148914062e+04
60,2.9911496639e+00,-1.0441744962e-04,4.6400347900e+02,1.5573951006e+00,-2.6008820161e-02,9.5272539062e+04
61,2.9933273792e+00,-9.9179938843e-05,4.9152188110e+02,1.5435862541e+00,-2.9529804364e-02,9.5405429688e+04
62,2.9953796864e+00,-1.4034204651e-03,5.0524368286e+02,1.5345700979e+00,-3.2399937510e-02,9.5542812500e+04
63,2.9970204830e+00,-1.9454505527e-03,5.2129199219e+02,1.5531361103e+00,-2.6253992692e-02,9.5678468750e+04
64,2.9988067150e+00,-1.2787547894e-04,5.1653131104e+02,1.5444526672e+00,-1.9512888044e-02,9.5811976562e+04
