step,vx_15_15,vy_15_15
0,4.1340145469e-01,-4.1340145469e-01
1,4.1071841121e-01,-4.1067638993e-01
2,4.1038343310e-01,-4.1044402122e-01
3,4.1037237644e-01,-4.1064643860e-01
4,4.1032072902e-01,-4.1064062715e-01
5,4.1028535366e-01,-4.1059643030e-01
6,4.1019418836e-01,-4.1075560451e-01
7,4.1026613116e-01,-4.1072937846e-01
8,4.1021502018e-01,-4.1074088216e-01
9,4.1033172607e-01,-4.1063567996e-01
10,4.1023632884e-01,-4.1074723005e-01
11,4.1030794382e-01,-4.1061514616e-01
12,4.1015842557e-01,-4.1077286005e-01
13,4.1015914083e-01,-4.1086155176e-01
14,4.1021880507e-01,-4.1077494621e-01
15,4.1022443771e-01,-4.1093444824e-01
16,4.1026473045e-01,-4.1084110737e-01
17,4.1023781896e-01,-4.1094958782e-01
18,4.1020956635e-01,-4.1105404496e-01
19,4.1024652123e-01,-4.1111853719e-01
20,4.1016259789e-01,-4.1125231981e-01
21,4.1021546721e-01,-4.1130265594e-01
22,4.1018107533e-01,-4.1138657928e-01
23,4.1014340520e-01,-4.1145694256e-01
24,4.1003492475e-01,-4.1148766875e-01
25,4.1013950109e-01,-4.1151499748e-01
26,4.1013950109e-01,-4.1150280833e-01
27,4.0997782350e-01,-4.1158163548e-01
28,4.1011929512e-01,-4.1150015593e-01
29,4.0994924307e-01,-4.1154980659e-01
30,4.0985435247e-01,-4.1158813238e-01
31,4.0990918875e-01,-4.1157191992e-01
32,4.0987533331e-01,-4.1147112846e-01
33,4.0989622474e-01,-4.1146573424e-01
34,4.0990421176e-01,-4.1161432862e-01
35,4.0980449319e-01,-4.1170591116e-01
36,4.0989893675e-01,-4.1166242957e-01
37,4.0989395976e-01,-4.1162210703e-01
38,4.0988218784e-01,-4.1155958176e-01
39,4.0983733535e-01,-4.1163271666e-01
40,4.0986543894e-01,-4.1165754199e-01
41,4.0981668234e-01,-4.1185104847e-01
42,4.0989857912e-01,-4.1177445650e-01
43,4.0985137224e-01,-4.1186258197e-01
44,4.0996348858e-01,-4.1198718548e-01
45,4.0993091464e-01,-4.1207587719e-01
46,4.0987762809e-01,-4.1209059954e-01
47,4.0971240401e-01,-4.1215240955e-01
48,4.0986150503e-01,-4.1219404340e-01
49,4.0967831016e-01,-4.1232386231e-01
50,4.0971404314e-01,-4.1244649887e-01
51,4.0971222520e-01,-4.1246086359e-01
52,4.0964627266e-01,-4.1254860163e-01
53,4.0967726707e-01,-4.1250291467e-01
54,4.0958887339e-01,-4.1267406940e-01
55,4.0949261189e-01,-4.1275984049e-01
56,4.0952223539e-01,-4.1271963716e-01
57,4.0938019753e-01,-4.1283878684e-01
58,4.0943810344e-01,-4.1292521358e-01
59,4.0931031108e-01,-4.1303116083e-01
60,4.0941366553e-01,-4.1319337487e-01
61,4.0938776731e-01,-4.1318726540e-01
62,4.0931072831e-01,-4.1325929761e-01
63,4.0929532051e-01,-4.1344165802e-01
64,4.0923231840e-01,-4.1342583299e-01
65,4.0925630927e-01,-4.1354930401e-01
66,4.0933015943e-01,-4.1358917952e-01
67,4.0927183628e-01,-4.1355809569e-01
68,4.0924328566e-01,-4.1364070773e-01
69,4.0916427970e-01,-4.1376307607e-01
70,4.0919905901e-01,-4.1378578544e-01
