step,vx_25_10,vy_25_10,Cd,Cl,singularity_count
0,3.8463690877e-01,-1.5119099617e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,3.8324677944e-01,-1.4647907019e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2,3.8322204351e-01,-1.4647419751e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3,3.8315859437e-01,-1.4644360542e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4,3.8315212727e-01,-1.4643914998e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5,3.8314577937e-01,-1.4643454552e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6,3.8314330578e-01,-1.4643234015e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7,3.8314089179e-01,-1.4643004537e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8,3.8313856721e-01,-1.4642769098e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9,3.8313633204e-01,-1.4642526209e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
10,3.8313415647e-01,-1.4642275870e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
11,3.8313457370e-01,-1.4642231166e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
12,3.8313499093e-01,-1.4642184973e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
13,3.8313546777e-01,-1.4642138779e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
14,3.8313594460e-01,-1.4642089605e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
15,3.8313645124e-01,-1.4642040431e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
16,3.8313698769e-01,-1.4641991258e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
17,3.8313752413e-01,-1.4641940594e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
18,3.8313809037e-01,-1.4641889930e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
19,3.8313868642e-01,-1.4641837776e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
20,3.8314339519e-01,-1.4642184973e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
21,3.8314819336e-01,-1.4642512798e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
22,3.8315305114e-01,-1.4642821252e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
23,3.8315579295e-01,-1.4642578363e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
24,3.8316163421e-01,-1.4642581344e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
25,3.8316905499e-01,-1.4643330872e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
26,3.8317096233e-01,-1.4643135667e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
27,3.8317683339e-01,-1.4643834531e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
28,3.8318467140e-01,-1.4644329250e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
29,3.8317933679e-01,-1.4643713832e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
30,3.8316783309e-01,-1.4643196762e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
31,3.8315361738e-01,-1.4643326402e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
32,3.8314497471e-01,-1.4642404020e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
33,3.8315388560e-01,-1.4642257988e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
34,3.8313582540e-01,-1.4642097056e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
35,3.8314694166e-01,-1.4640620351e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
36,3.8311964273e-01,-1.4641132951e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
37,3.8310545683e-01,-1.4639630914e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38,3.8313370943e-01,-1.4641769230e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39,3.8311523199e-01,-1.4640703797e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
40,3.8311722875e-01,-1.4639686048e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
41,3.8311484456e-01,-1.4639163017e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
42,3.8311114907e-01,-1.4640204608e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
43,3.8309255242e-01,-1.4639428258e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
44,3.8312700391e-01,-1.4640454948e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
45,3.8309097290e-01,-1.4638920128e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
46,3.8312357664e-01,-1.4640469849e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
47,3.8310173154e-01,-1.4639461040e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
48,3.8311615586e-01,-1.4640340209e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
49,3.8311183453e-01,-1.4639361203e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
50,3.8311162591e-01,-1.4640276134e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
51,3.8311272860e-01,-1.4639446139e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
52,3.8311141729e-01,-1.4639754593e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
53,3.8310071826e-01,-1.4639177918e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
54,3.8311222196e-01,-1.4639416337e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
55,3.8308829069e-01,-1.4638711512e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
56,3.8310799003e-01,-1.4639313519e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
57,3.8307771087e-01,-1.4638011158e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
58,3.8310059905e-01,-1.4639201760e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
59,3.8307011127e-01,-1.4637215436e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
60,3.8308992982e-01,-1.4638854563e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
61,3.8306602836e-01,-1.4636835456e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
62,3.8306590915e-01,-1.4637443423e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
63,3.8306170702e-01,-1.4637203515e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
64,3.8305842876e-01,-1.4636789262e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
65,3.8305538893e-01,-1.4636355639e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
66,3.8305914402e-01,-1.4635922015e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
67,3.8306766748e-01,-1.4636674523e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
68,3.8304531574e-01,-1.4636704326e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
69,3.8306105137e-01,-1.4636331797e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
70,3.8305151463e-01,-1.4636386931e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
71,3.8304385543e-01,-1.4636853337e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
72,3.8306272030e-01,-1.4636960626e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
73,3.8304114342e-01,-1.4636398852e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
74,3.8306069374e-01,-1.4635545015e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
