step,vx_5_10,singularity_count,dirichlet
0,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1,2.5652999878e+00,3.3000000000e+01,5.8510000000e+03
2,2.5704109669e+00,3.5000000000e+01,5.2580000000e+03
3,2.5674312115e+00,3.3000000000e+01,7.0620000000e+03
4,2.5600678921e+00,4.1000000000e+01,7.0090000000e+03
5,2.5605494976e+00,4.5000000000e+01,7.4930000000e+03
6,2.5620427132e+00,3.7000000000e+01,7.0260000000e+03
7,2.5534963608e+00,4.0000000000e+01,7.1940000000e+03
8,2.5496304035e+00,3.1000000000e+01,7.1200000000e+03
9,2.5459208488e+00,3.3000000000e+01,7.1730000000e+03
10,2.5417625904e+00,3.3000000000e+01,7.2260000000e+03
11,2.5392806530e+00,4.5000000000e+01,6.9950000000e+03
12,2.5379774570e+00,3.9000000000e+01,7.1970000000e+03
13,2.5385599136e+00,4.1000000000e+01,7.2000000000e+03
14,2.5401463509e+00,4.0000000000e+01,7.1460000000e+03
15,2.5408260822e+00,3.1000000000e+01,7.2380000000e+03
16,2.5459239483e+00,4.9000000000e+01,7.1110000000e+03
17,2.5492358208e+00,4.7000000000e+01,7.0980000000e+03
18,2.5443909168e+00,4.1000000000e+01,7.1310000000e+03
19,2.5480172634e+00,3.3000000000e+01,7.1110000000e+03
20,2.5468320847e+00,3.5000000000e+01,7.1130000000e+03
21,2.5435156822e+00,2.9000000000e+01,7.0940000000e+03
22,2.5397076607e+00,3.4000000000e+01,7.1930000000e+03
23,2.5430088043e+00,3.3000000000e+01,7.0340000000e+03
24,2.5366823673e+00,4.8000000000e+01,7.2590000000e+03
25,2.5352516174e+00,4.0000000000e+01,7.2350000000e+03
26,2.5390899181e+00,4.9000000000e+01,7.2990000000e+03
27,2.5399022102e+00,5.1000000000e+01,7.1250000000e+03
28,2.5413281918e+00,4.8000000000e+01,7.1100000000e+03
29,2.5412685871e+00,4.4000000000e+01,7.2130000000e+03
30,2.5439004898e+00,5.0000000000e+01,7.0180000000e+03
31,2.5434255600e+00,4.4000000000e+01,7.1800000000e+03
32,2.5437543392e+00,4.3000000000e+01,7.1340000000e+03
33,2.5453205109e+00,3.9000000000e+01,7.0470000000e+03
34,2.5445713997e+00,4.4000000000e+01,7.0530000000e+03
35,2.5406501293e+00,4.0000000000e+01,7.1090000000e+03
36,2.5444533825e+00,4.3000000000e+01,7.0730000000e+03
37,2.5396268368e+00,4.4000000000e+01,7.1300000000e+03
38,2.5423176289e+00,3.3000000000e+01,7.1710000000e+03
39,2.5421223640e+00,4.0000000000e+01,7.1690000000e+03
40,2.5482089520e+00,3.8000000000e+01,7.1690000000e+03
41,2.5410301685e+00,4.2000000000e+01,7.1690000000e+03
42,2.5423736572e+00,3.1000000000e+01,7.1340000000e+03
43,2.5411939621e+00,3.9000000000e+01,7.0430000000e+03
44,2.5423905849e+00,2.5000000000e+01,7.2840000000e+03
45,2.5442662239e+00,4.2000000000e+01,7.0920000000e+03
46,2.5429756641e+00,3.2000000000e+01,7.1510000000e+03
47,2.5409183502e+00,4.4000000000e+01,7.0930000000e+03
48,2.5424621105e+00,3.4000000000e+01,7.2110000000e+03
49,2.5375132561e+00,4.7000000000e+01,7.0490000000e+03
50,2.5406854153e+00,3.9000000000e+01,7.4250000000e+03
51,2.5444345474e+00,3.6000000000e+01,7.0350000000e+03
52,2.5425300598e+00,4.8000000000e+01,7.1770000000e+03
53,2.5429177284e+00,3.1000000000e+01,7.1980000000e+03
54,2.5369701385e+00,4.5000000000e+01,7.1270000000e+03
55,2.5401022434e+00,4.0000000000e+01,7.1260000000e+03
56,2.5437536240e+00,4.2000000000e+01,7.1950000000e+03
57,2.5416831970e+00,3.3000000000e+01,7.2760000000e+03
58,2.5412483215e+00,4.4000000000e+01,7.2420000000e+03
59,2.5412411690e+00,5.4000000000e+01,7.1760000000e+03
60,2.5457949638e+00,4.0000000000e+01,7.0700000000e+03
61,2.5439229012e+00,5.4000000000e+01,7.1190000000e+03
62,2.5413339138e+00,4.6000000000e+01,7.2150000000e+03
63,2.5373437405e+00,4.4000000000e+01,7.0960000000e+03
64,2.5345425606e+00,4.3000000000e+01,7.0880000000e+03
65,2.5301413536e+00,3.6000000000e+01,7.1450000000e+03
66,2.5386641026e+00,4.2000000000e+01,7.0790000000e+03
